카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년07월_계_총인구수,"462,588","32,169","31,392","36,129","34,953","20,355","43,238","47,990","42,381","33,608","46,817","27,028","25,963","18,709","21,856"
2021년07월_계_연령구간인구수,"462,588","32,169","31,392","36,129","34,953","20,355","43,238","47,990","42,381","33,608","46,817","27,028","25,963","18,709","21,856"
2021년07월_계_0~9세,"33,649","1,125","1,729","2,195","2,349","1,432","2,711","3,409","3,607","2,719","6,508","1,865","1,491","1,067","1,442"
2021년07월_계_10~19세,"41,735","1,607","2,082","2,812","3,373","2,021","3,780","5,004","3,634","4,179","5,243","2,428","1,997","1,511","2,064"
2021년07월_계_20~29세,"64,870","6,689","5,408","4,670","4,514","2,374","6,041","6,878","5,831","4,590","5,078","3,781","3,547","2,508","2,961"
2021년07월_계_30~39세,"59,955","4,967","4,580","4,456","3,905","2,207","5,005","5,473","6,327","3,744","8,022","3,223","3,291","2,217","2,538"
2021년07월_계_40~49세,"73,889","4,362","4,738","5,668","5,507","3,371","6,553","7,530","6,814","6,169","9,220","4,077","3,769","2,657","3,454"
2021년07월_계_50~59세,"80,614","5,441","5,525","5,948","6,000","3,409","8,527","8,867","7,219","6,058","6,188","5,084","4,913","3,498","3,937"
2021년07월_계_60~69세,"60,065","4,611","4,162","5,388","4,684","2,898","6,130","6,301","5,257","3,149","3,965","3,661","3,894","2,931","3,034"
2021년07월_계_70~79세,"31,179","2,193","2,114","3,479","3,016","1,700","2,937","2,919","2,275","1,904","1,756","1,841","2,022","1,488","1,535"
2021년07월_계_80~89세,"14,657","1,033",938,"1,368","1,436",818,"1,381","1,388","1,240",957,726,952,926,734,760
2021년07월_계_90~99세,"1,900",133,112,143,162,115,169,217,169,136,108,111,107,89,129
2021년07월_계_100세 이상,75,8,4,2,7,10,4,4,8,3,3,5,6,9,2
2021년07월_남_총인구수,"227,975","16,465","15,604","17,617","16,936","9,722","21,252","23,299","21,057","16,634","22,749","13,239","12,957","9,535","10,909"
2021년07월_남_연령구간인구수,"227,975","16,465","15,604","17,617","16,936","9,722","21,252","23,299","21,057","16,634","22,749","13,239","12,957","9,535","10,909"
2021년07월_남_0~9세,"17,353",602,908,"1,134","1,209",716,"1,428","1,778","1,834","1,414","3,332",923,754,553,768
2021년07월_남_10~19세,"21,576",806,"1,130","1,428","1,709","1,046","1,934","2,630","1,886","2,142","2,622","1,273","1,050",800,"1,120"
2021년07월_남_20~29세,"32,861","3,116","2,627","2,275","2,308","1,185","3,140","3,498","3,015","2,424","2,521","1,970","1,844","1,363","1,575"
2021년07월_남_30~39세,"30,624","2,756","2,426","2,254","1,965","1,104","2,583","2,767","3,247","1,850","3,782","1,628","1,773","1,204","1,285"
2021년07월_남_40~49세,"37,161","2,454","2,467","2,951","2,659","1,669","3,215","3,623","3,446","2,972","4,640","2,001","1,904","1,428","1,732"
2021년07월_남_50~59세,"39,647","2,982","2,752","2,882","2,942","1,602","4,097","4,160","3,504","3,111","2,972","2,470","2,432","1,770","1,971"
2021년07월_남_60~69세,"29,087","2,356","1,979","2,475","2,185","1,388","3,000","3,022","2,638","1,523","1,848","1,799","1,942","1,480","1,452"
2021년07월_남_70~79세,"13,734",980,915,"1,582","1,299",708,"1,331","1,281","1,041",801,786,802,886,641,681
2021년07월_남_80~89세,"5,477",382,365,594,601,285,492,491,417,368,218,343,352,280,289
2021년07월_남_90~99세,441,29,33,41,58,18,32,49,27,28,27,29,19,15,36
2021년07월_남_100세 이상,14,2,2,1,1,1,0,0,2,1,1,1,1,1,0
2021년07월_여_총인구수,"234,613","15,704","15,788","18,512","18,017","10,633","21,986","24,691","21,324","16,974","24,068","13,789","13,006","9,174","10,947"
2021년07월_여_연령구간인구수,"234,613","15,704","15,788","18,512","18,017","10,633","21,986","24,691","21,324","16,974","24,068","13,789","13,006","9,174","10,947"
2021년07월_여_0~9세,"16,296",523,821,"1,061","1,140",716,"1,283","1,631","1,773","1,305","3,176",942,737,514,674
2021년07월_여_10~19세,"20,159",801,952,"1,384","1,664",975,"1,846","2,374","1,748","2,037","2,621","1,155",947,711,944
2021년07월_여_20~29세,"32,009","3,573","2,781","2,395","2,206","1,189","2,901","3,380","2,816","2,166","2,557","1,811","1,703","1,145","1,386"
2021년07월_여_30~39세,"29,331","2,211","2,154","2,202","1,940","1,103","2,422","2,706","3,080","1,894","4,240","1,595","1,518","1,013","1,253"
2021년07월_여_40~49세,"36,728","1,908","2,271","2,717","2,848","1,702","3,338","3,907","3,368","3,197","4,580","2,076","1,865","1,229","1,722"
2021년07월_여_50~59세,"40,967","2,459","2,773","3,066","3,058","1,807","4,430","4,707","3,715","2,947","3,216","2,614","2,481","1,728","1,966"
2021년07월_여_60~69세,"30,978","2,255","2,183","2,913","2,499","1,510","3,130","3,279","2,619","1,626","2,117","1,862","1,952","1,451","1,582"
2021년07월_여_70~79세,"17,445","1,213","1,199","1,897","1,717",992,"1,606","1,638","1,234","1,103",970,"1,039","1,136",847,854
2021년07월_여_80~89세,"9,180",651,573,774,835,533,889,897,823,589,508,609,574,454,471
2021년07월_여_90~99세,"1,459",104,79,102,104,97,137,168,142,108,81,82,88,74,93
2021년07월_여_100세 이상,61,6,2,1,6,9,4,4,6,2,2,4,5,8,2
