,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년05월_계_총인구수,"414,525","14,782","38,278","26,637","1,849","1,692","2,201","4,067","3,135","24,232","3,748","2,852","29,418","2,194","38,930","14,388","16,704","3,313","3,225","13,227","4,377","31,008","18,826","48,151","16,399","46,502","4,390"
2021년05월_계_연령구간인구수,"414,525","14,782","38,278","26,637","1,849","1,692","2,201","4,067","3,135","24,232","3,748","2,852","29,418","2,194","38,930","14,388","16,704","3,313","3,225","13,227","4,377","31,008","18,826","48,151","16,399","46,502","4,390"
2021년05월_계_0~9세,"40,140",851,"3,643","5,582",43,12,40,64,70,"1,749",69,73,"2,263",72,"3,718","1,039",806,141,279,"1,681",324,"2,772","2,116","4,594",917,"6,638",584
2021년05월_계_10~19세,"44,353","1,132","3,896","2,323",57,52,114,150,194,"2,415",95,119,"3,399",121,"4,964","1,575","1,865",169,223,"1,096",345,"3,727","2,503","5,918","1,066","6,616",219
2021년05월_계_20~29세,"55,827","1,388","4,742","2,493",101,100,143,276,237,"3,367",476,284,"3,796",210,"5,107","1,915","2,674",607,407,"1,852",626,"4,688","2,397","7,132","4,232","5,890",687
2021년05월_계_30~39세,"64,505","1,234","4,902","7,871",81,73,99,213,179,"3,365",505,238,"3,383",152,"4,962","1,628","1,597",496,540,"2,795",686,"4,353","2,905","8,353","4,308","8,523","1,064"
2021년05월_계_40~49세,"72,671","1,920","5,856","4,501",126,138,191,403,370,"3,827",704,310,"4,897",271,"7,269","2,365","2,635",456,438,"2,175",760,"6,056","3,853","9,496","2,751","10,181",722
2021년05월_계_50~59세,"69,903","2,928","7,945","2,085",357,319,392,810,616,"4,453",831,552,"5,955",468,"7,131","2,975","3,840",611,632,"2,192",820,"6,016","3,157","7,033","1,763","5,387",635
2021년05월_계_60~69세,"41,496","2,766","4,521","1,059",487,436,515,933,655,"3,405",653,696,"3,842",532,"3,936","1,904","2,324",489,415,"1,017",496,"2,242","1,276","3,617",890,"2,022",368
2021년05월_계_70~79세,"16,119","1,454","1,627",392,295,271,373,659,466,"1,196",297,394,"1,233",238,"1,237",686,684,243,185,293,228,749,403,"1,317",325,790,84
2021년05월_계_80~89세,"8,267",942,981,285,259,253,295,494,309,410,96,163,581,114,524,273,245,89,93,111,80,347,186,604,118,395,20
2021년05월_계_90~99세,"1,205",162,162,44,43,37,39,62,37,43,21,22,69,15,80,27,32,12,10,15,11,57,29,86,27,57,6
