,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년04월_계_총인구수,"279,613","2,679","8,599","1,935","20,410","6,302","6,499","2,800","1,337",812,"2,051","4,789","3,175","4,375","4,046","6,130","3,783","5,429","11,475","6,926","18,919","21,619","11,836","10,271","10,505","32,544","37,101","21,474","8,200","2,425","1,167"
2021년04월_계_연령구간인구수,"279,613","2,679","8,599","1,935","20,410","6,302","6,499","2,800","1,337",812,"2,051","4,789","3,175","4,375","4,046","6,130","3,783","5,429","11,475","6,926","18,919","21,619","11,836","10,271","10,505","32,544","37,101","21,474","8,200","2,425","1,167"
2021년04월_계_0~9세,"20,399",52,554,29,"2,034",264,134,63,14,18,58,241,106,146,112,215,144,164,687,434,"1,180","1,842",627,752,"1,027","2,659","4,619","1,168",969,66,21
2021년04월_계_10~19세,"26,086",85,660,74,"2,069",317,282,125,31,38,83,287,191,282,221,299,235,260,904,628,"1,861","2,324","1,083","1,191",929,"3,843","4,455","2,004","1,134",130,61
2021년04월_계_20~29세,"33,572",183,753,142,"2,213",459,572,134,62,51,144,484,370,414,353,662,423,458,"1,226",718,"2,525","2,732","1,790","1,406","1,078","5,142","4,531","3,297",891,250,109
2021년04월_계_30~39세,"30,511",124,796,85,"2,519",433,366,117,61,28,132,467,315,337,298,550,295,433,"1,085",645,"1,979","2,554","1,234","1,120","1,378","3,948","5,578","2,269","1,124",178,63
2021년04월_계_40~49세,"41,702",235,"1,279",150,"3,219",729,600,237,89,77,209,573,344,550,473,747,434,627,"1,572",945,"2,759","3,578","1,793","1,665","1,567","5,466","6,469","3,278","1,650",268,120
2021년04월_계_50~59세,"48,396",457,"1,390",313,"3,516","1,032","1,210",446,181,137,454,705,467,707,648,"1,028",599,893,"2,047","1,139","3,407","3,507","2,225","1,889","1,557","5,958","6,117","4,565","1,081",488,233
2021년04월_계_60~69세,"41,507",619,"1,624",465,"2,603","1,255","1,415",650,318,163,487,982,598,959,839,"1,262",798,"1,223","2,132","1,378","3,110","2,882","1,712","1,409","1,546","3,397","3,396","2,891",705,468,221
2021년04월_계_70~79세,"24,715",570,987,383,"1,369","1,069","1,123",616,326,174,298,757,539,704,778,979,570,960,"1,316",768,"1,395","1,480",929,620,991,"1,465","1,273","1,294",454,340,188
2021년04월_계_80~89세,"10,923",308,481,246,766,621,664,354,209,106,154,247,223,242,288,337,244,355,448,241,615,606,390,183,372,565,559,605,165,201,128
2021년04월_계_90~99세,"1,700",45,74,45,96,119,129,56,44,19,31,39,21,27,31,45,39,49,50,27,86,114,53,35,53,94,103,102,25,26,23
2021년04월_계_100세 이상,102,1,1,3,6,4,4,2,2,1,1,7,1,7,5,6,2,7,8,3,2,0,0,1,7,7,1,1,2,10,0
2021년04월_남_총인구수,"142,638","1,352","4,487",951,"10,408","3,262","3,350","1,423",660,403,"1,153","2,428","1,583","2,174","2,088","3,169","1,870","2,762","5,795","3,474","9,326","10,871","6,351","5,181","5,292","16,732","18,622","11,345","4,201","1,319",606
2021년04월_남_연령구간인구수,"142,638","1,352","4,487",951,"10,408","3,262","3,350","1,423",660,403,"1,153","2,428","1,583","2,174","2,088","3,169","1,870","2,762","5,795","3,474","9,326","10,871","6,351","5,181","5,292","16,732","18,622","11,345","4,201","1,319",606
2021년04월_남_0~9세,"10,324",25,287,15,"1,067",141,72,32,7,10,26,107,44,70,68,125,60,74,352,217,572,958,320,377,516,"1,328","2,339",593,482,33,7
2021년04월_남_10~19세,"13,560",43,339,39,"1,059",174,159,65,16,17,48,157,100,157,110,171,116,124,470,319,965,"1,174",582,630,479,"1,994","2,350",996,611,70,26
2021년04월_남_20~29세,"19,048",105,446,84,"1,258",270,330,83,30,29,84,275,192,238,211,377,234,265,706,399,"1,424","1,508","1,075",759,592,"2,985","2,418","1,965",471,170,65
2021년04월_남_30~39세,"16,370",80,429,47,"1,266",246,218,77,42,12,83,271,190,185,183,330,167,235,605,339,"1,029","1,340",722,617,727,"2,086","2,736","1,377",575,111,45
2021년04월_남_40~49세,"22,042",162,756,94,"1,697",487,383,157,67,47,150,337,198,313,292,449,246,403,877,498,"1,375","1,784",984,790,844,"2,651","3,169","1,727",850,168,87
