,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년04월_계_총인구수,"139,652","6,601","7,036","4,335","51,419","30,271","2,393","33,779","3,818"
2021년04월_계_연령구간인구수,"139,652","6,601","7,036","4,335","51,419","30,271","2,393","33,779","3,818"
2021년04월_계_0~9세,"19,948",182,480,81,"9,661","5,040",47,"4,347",110
2021년04월_계_10~19세,"12,161",267,462,128,"4,330","4,253",69,"2,510",142
2021년04월_계_20~29세,"12,481",634,822,343,"4,383","2,458",191,"3,345",305
2021년04월_계_30~39세,"27,178",578,868,346,"13,111","4,834",180,"6,914",347
2021년04월_계_40~49세,"24,452",671,876,343,"9,215","6,722",201,"5,977",447
2021년04월_계_50~59세,"16,956","1,225","1,080",872,"4,777","3,333",458,"4,452",759
2021년04월_계_60~69세,"16,334","1,631","1,343","1,306","3,970","2,466",624,"4,022",972
2021년04월_계_70~79세,"6,939",972,712,602,"1,396",839,400,"1,548",470
2021년04월_계_80~89세,"2,737",385,335,262,493,280,187,575,220
2021년04월_계_90~99세,444,55,56,50,74,45,34,88,42
2021년04월_계_100세 이상,22,1,2,2,9,1,2,1,4
2021년04월_남_총인구수,"72,239","3,645","3,946","2,308","25,801","15,109","1,270","18,164","1,996"
2021년04월_남_연령구간인구수,"72,239","3,645","3,946","2,308","25,801","15,109","1,270","18,164","1,996"
2021년04월_남_0~9세,"10,285",87,258,43,"4,913","2,625",20,"2,282",57
2021년04월_남_10~19세,"6,197",149,247,66,"2,119","2,177",42,"1,329",68
2021년04월_남_20~29세,"6,760",377,547,219,"2,160","1,274",116,"1,885",182
2021년04월_남_30~39세,"13,871",331,508,206,"6,478","2,174",107,"3,847",220
2021년04월_남_40~49세,"13,646",422,531,217,"5,062","3,458",131,"3,559",266
2021년04월_남_50~59세,"8,720",706,628,464,"2,265","1,683",256,"2,333",385
2021년04월_남_60~69세,"8,271",908,731,713,"1,904","1,188",325,"2,005",497
2021년04월_남_70~79세,"3,489",509,367,285,719,422,208,736,243
2021년04월_남_80~89세,918,147,123,83,167,95,58,174,71
2021년04월_남_90~99세,76,9,5,11,11,12,7,14,7
2021년04월_남_100세 이상,6,0,1,1,3,1,0,0,0
2021년04월_여_총인구수,"67,413","2,956","3,090","2,027","25,618","15,162","1,123","15,615","1,822"
2021년04월_여_연령구간인구수,"67,413","2,956","3,090","2,027","25,618","15,162","1,123","15,615","1,822"
2021년04월_여_0~9세,"9,663",95,222,38,"4,748","2,415",27,"2,065",53
2021년04월_여_10~19세,"5,964",118,215,62,"2,211","2,076",27,"1,181",74
2021년04월_여_20~29세,"5,721",257,275,124,"2,223","1,184",75,"1,460",123
2021년04월_여_30~39세,"13,307",247,360,140,"6,633","2,660",73,"3,067",127
2021년04월_여_40~49세,"10,806",249,345,126,"4,153","3,264",70,"2,418",181
2021년04월_여_50~59세,"8,236",519,452,408,"2,512","1,650",202,"2,119",374
2021년04월_여_60~69세,"8,063",723,612,593,"2,066","1,278",299,"2,017",475
2021년04월_여_70~79세,"3,450",463,345,317,677,417,192,812,227
2021년04월_여_80~89세,"1,819",238,212,179,326,185,129,401,149
2021년04월_여_90~99세,368,46,51,39,63,33,27,74,35
2021년04월_여_100세 이상,16,1,1,1,6,0,2,1,4
