카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년07월_계_총인구수,"374,353","20,101","21,259","17,637","20,605","21,826","17,014","25,516","26,134","19,024","19,076","36,541","36,629","48,961","44,030"
2020년07월_계_연령구간인구수,"374,353","20,101","21,259","17,637","20,605","21,826","17,014","25,516","26,134","19,024","19,076","36,541","36,629","48,961","44,030"
2020년07월_계_0~9세,"37,144","1,482","1,580",942,"1,051","1,466","1,076","1,381","2,371","1,479","1,651","3,188","4,866","7,322","7,289"
2020년07월_계_10~19세,"41,625","1,959","2,303","1,123","1,697","1,788","1,332","1,834","2,741","2,061","2,895","5,346","6,292","5,917","4,337"
2020년07월_계_20~29세,"50,851","2,813","3,139","2,578","3,307","3,451","2,323","3,612","3,752","2,839","2,590","5,866","3,717","6,043","4,821"
2020년07월_계_30~39세,"55,668","2,432","2,544","2,371","2,718","3,311","2,335","3,127","4,005","2,629","1,906","4,262","4,551","9,655","9,822"
2020년07월_계_40~49세,"66,320","3,220","3,452","2,376","3,424","3,157","2,337","3,836","4,284","3,109","3,465","6,678","8,530","9,928","8,524"
2020년07월_계_50~59세,"62,945","3,811","4,069","3,577","4,110","4,022","3,179","5,322","4,762","3,581","3,432","6,162","5,413","5,975","5,530"
2020년07월_계_60~69세,"36,222","2,385","2,366","2,793","2,570","2,690","2,415","3,711","2,745","2,069","1,829","3,232","2,092","2,692","2,633"
2020년07월_계_70~79세,"15,229","1,316","1,164","1,251","1,176","1,182","1,164","1,734",907,788,842,"1,190",756,"1,005",754
2020년07월_계_80~89세,"7,071",597,542,538,475,644,702,832,456,420,378,505,345,365,272
2020년07월_계_90~99세,"1,226",83,96,84,73,111,146,119,99,46,87,111,66,59,46
2020년07월_계_100세 이상,52,3,4,4,4,4,5,8,12,3,1,1,1,0,2
2020년07월_남_총인구수,"186,133","9,994","10,523","9,132","11,257","10,699","8,111","13,197","12,841","9,301","9,307","17,973","17,969","24,047","21,782"
2020년07월_남_연령구간인구수,"186,133","9,994","10,523","9,132","11,257","10,699","8,111","13,197","12,841","9,301","9,307","17,973","17,969","24,047","21,782"
2020년07월_남_0~9세,"18,960",775,797,498,549,765,550,718,"1,216",760,825,"1,636","2,482","3,708","3,681"
2020년07월_남_10~19세,"21,367","1,028","1,184",580,936,908,702,939,"1,368","1,057","1,483","2,740","3,224","3,015","2,203"
2020년07월_남_20~29세,"26,337","1,530","1,655","1,444","1,856","1,808","1,141","2,010","1,924","1,466","1,356","2,951","1,887","2,917","2,392"
2020년07월_남_30~39세,"27,491","1,238","1,261","1,358","1,626","1,736","1,228","1,807","1,997","1,320",842,"1,995","1,899","4,527","4,657"
2020년07월_남_40~49세,"32,636","1,578","1,695","1,333","1,948","1,546","1,117","2,026","2,046","1,438","1,583","3,071","3,995","4,916","4,344"
2020년07월_남_50~59세,"31,154","1,861","1,962","1,687","2,223","1,875","1,459","2,719","2,251","1,698","1,718","3,098","2,900","3,005","2,698"
2020년07월_남_60~69세,"18,649","1,181","1,208","1,453","1,384","1,362","1,204","1,891","1,427","1,064",958,"1,716","1,106","1,361","1,334"
2020년07월_남_70~79세,"6,977",578,550,574,567,496,488,782,444,355,390,575,340,458,380
2020년07월_남_80~89세,"2,266",201,185,185,153,175,198,274,142,129,129,166,121,122,86
2020년07월_남_90~99세,283,24,24,20,15,27,22,27,23,13,23,25,15,18,7
2020년07월_남_100세 이상,13,0,2,0,0,1,2,4,3,1,0,0,0,0,0
2020년07월_여_총인구수,"188,220","10,107","10,736","8,505","9,348","11,127","8,903","12,319","13,293","9,723","9,769","18,568","18,660","24,914","22,248"
2020년07월_여_연령구간인구수,"188,220","10,107","10,736","8,505","9,348","11,127","8,903","12,319","13,293","9,723","9,769","18,568","18,660","24,914","22,248"
2020년07월_여_0~9세,"18,184",707,783,444,502,701,526,663,"1,155",719,826,"1,552","2,384","3,614","3,608"
2020년07월_여_10~19세,"20,258",931,"1,119",543,761,880,630,895,"1,373","1,004","1,412","2,606","3,068","2,902","2,134"
2020년07월_여_20~29세,"24,514","1,283","1,484","1,134","1,451","1,643","1,182","1,602","1,828","1,373","1,234","2,915","1,830","3,126","2,429"
2020년07월_여_30~39세,"28,177","1,194","1,283","1,013","1,092","1,575","1,107","1,320","2,008","1,309","1,064","2,267","2,652","5,128","5,165"
2020년07월_여_40~49세,"33,684","1,642","1,757","1,043","1,476","1,611","1,220","1,810","2,238","1,671","1,882","3,607","4,535","5,012","4,180"
2020년07월_여_50~59세,"31,791","1,950","2,107","1,890","1,887","2,147","1,720","2,603","2,511","1,883","1,714","3,064","2,513","2,970","2,832"
2020년07월_여_60~69세,"17,573","1,204","1,158","1,340","1,186","1,328","1,211","1,820","1,318","1,005",871,"1,516",986,"1,331","1,299"
2020년07월_여_70~79세,"8,252",738,614,677,609,686,676,952,463,433,452,615,416,547,374
2020년07월_여_80~89세,"4,805",396,357,353,322,469,504,558,314,291,249,339,224,243,186
2020년07월_여_90~99세,943,59,72,64,58,84,124,92,76,33,64,86,51,41,39
2020년07월_여_100세 이상,39,3,2,4,4,3,3,4,9,2,1,1,1,0,2
