카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년05월_계_총인구수,"155,284","40,122","5,788","19,740","11,698","14,905","20,719","8,829","21,250","12,233"
2021년05월_계_연령구간인구수,"155,284","40,122","5,788","19,740","11,698","14,905","20,719","8,829","21,250","12,233"
2021년05월_계_0~9세,"14,278","3,495",230,"2,132",889,"1,306","2,043",640,"2,310","1,233"
2021년05월_계_10~19세,"15,579","4,091",358,"1,925","1,172","1,381","2,297",926,"2,136","1,293"
2021년05월_계_20~29세,"17,418","4,594",723,"1,972","1,500","1,909","2,351",896,"2,349","1,124"
2021년05월_계_30~39세,"22,159","5,763",756,"2,841","1,474","2,128","2,653","1,068","3,692","1,784"
2021년05월_계_40~49세,"26,009","7,313",830,"3,239","1,957","2,301","3,438","1,409","3,421","2,101"
2021년05월_계_50~59세,"25,126","6,578","1,032","3,154","2,236","2,352","3,691","1,391","2,895","1,797"
2021년05월_계_60~69세,"23,305","5,472","1,179","2,885","1,729","2,270","2,956","1,655","3,236","1,923"
2021년05월_계_70~79세,"8,490","2,064",509,"1,121",540,980,955,645,971,705
2021년05월_계_80~89세,"2,554",649,153,422,177,244,289,174,208,238
2021년05월_계_90~99세,357,101,18,48,22,33,44,24,32,35
2021년05월_계_100세 이상,9,2,0,1,2,1,2,1,0,0
2021년05월_남_총인구수,"81,102","21,566","3,117","10,175","6,123","7,665","10,557","4,498","11,208","6,193"
2021년05월_남_연령구간인구수,"81,102","21,566","3,117","10,175","6,123","7,665","10,557","4,498","11,208","6,193"
2021년05월_남_0~9세,"7,288","1,777",116,"1,082",456,676,"1,007",327,"1,210",637
2021년05월_남_10~19세,"8,250","2,205",192,"1,015",628,760,"1,164",472,"1,149",665
2021년05월_남_20~29세,"9,773","2,639",422,"1,092",825,950,"1,321",526,"1,382",616
2021년05월_남_30~39세,"12,189","3,335",473,"1,445",831,"1,167","1,369",577,"2,045",947
2021년05월_남_40~49세,"14,153","4,170",488,"1,793","1,012","1,259","1,759",744,"1,832","1,096"
2021년05월_남_50~59세,"12,572","3,472",534,"1,600","1,142","1,141","1,827",659,"1,349",848
2021년05월_남_60~69세,"11,622","2,735",564,"1,454",884,"1,090","1,498",818,"1,611",968
2021년05월_남_70~79세,"4,340","1,019",269,556,277,524,500,314,541,340
2021년05월_남_80~89세,862,205,55,126,67,91,106,60,83,69
2021년05월_남_90~99세,51,9,4,12,1,6,5,1,6,7
2021년05월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년05월_여_총인구수,"74,182","18,556","2,671","9,565","5,575","7,240","10,162","4,331","10,042","6,040"
2021년05월_여_연령구간인구수,"74,182","18,556","2,671","9,565","5,575","7,240","10,162","4,331","10,042","6,040"
2021년05월_여_0~9세,"6,990","1,718",114,"1,050",433,630,"1,036",313,"1,100",596
2021년05월_여_10~19세,"7,329","1,886",166,910,544,621,"1,133",454,987,628
2021년05월_여_20~29세,"7,645","1,955",301,880,675,959,"1,030",370,967,508
2021년05월_여_30~39세,"9,970","2,428",283,"1,396",643,961,"1,284",491,"1,647",837
2021년05월_여_40~49세,"11,856","3,143",342,"1,446",945,"1,042","1,679",665,"1,589","1,005"
2021년05월_여_50~59세,"12,554","3,106",498,"1,554","1,094","1,211","1,864",732,"1,546",949
2021년05월_여_60~69세,"11,683","2,737",615,"1,431",845,"1,180","1,458",837,"1,625",955
2021년05월_여_70~79세,"4,150","1,045",240,565,263,456,455,331,430,365
2021년05월_여_80~89세,"1,692",444,98,296,110,153,183,114,125,169
2021년05월_여_90~99세,306,92,14,36,21,27,39,23,26,28
2021년05월_여_100세 이상,7,2,0,1,2,0,1,1,0,0
