카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년03월_계_총인구수,"347,034","8,150","4,116","8,292","2,216","1,901","2,590","1,593","1,492","1,464","3,235","20,987","4,728","1,592","4,006","1,045","2,225","27,473","10,670","11,055","14,064","19,577","24,594","11,641","26,805","27,532","11,673","12,036","21,106","27,028","32,148"
2021년03월_계_연령구간인구수,"347,034","8,150","4,116","8,292","2,216","1,901","2,590","1,593","1,492","1,464","3,235","20,987","4,728","1,592","4,006","1,045","2,225","27,473","10,670","11,055","14,064","19,577","24,594","11,641","26,805","27,532","11,673","12,036","21,106","27,028","32,148"
2021년03월_계_0~9세,"27,847",617,353,922,43,44,98,27,29,39,53,"2,135",230,18,134,23,57,"1,523",439,322,579,984,"1,353",719,"3,305","2,063",643,659,"2,375","2,384","5,677"
2021년03월_계_10~19세,"34,906",649,450,503,107,54,183,44,47,69,137,"2,733",415,51,204,44,97,"2,448",726,652,"1,044","1,577","2,439","1,037","4,016","3,448","1,102","1,245","3,001","2,570","3,814"
2021년03월_계_20~29세,"44,827",785,425,"1,052",147,125,209,73,63,108,210,"2,258",427,78,327,95,140,"4,241","1,446","1,070","1,798","2,910","3,750","1,497","3,318","4,077","1,603","1,551","2,324","5,318","3,402"
2021년03월_계_30~39세,"41,277",923,423,"1,590",123,119,174,69,72,64,158,"2,425",368,56,221,49,102,"2,671","1,170",825,"1,282","2,037","2,518","1,344","3,661","3,001","1,125","1,093","2,454","4,140","7,020"
2021년03월_계_40~49세,"53,798","1,022",656,"1,146",178,144,273,95,151,142,265,"3,695",653,105,427,90,212,"3,864","1,555","1,353","1,865","2,784","3,643","1,714","5,262","4,622","1,589","1,762","4,075","4,094","6,362"
2021년03월_계_50~59세,"57,367","1,397",693,"1,271",379,338,500,281,213,253,584,"3,362",883,284,744,186,408,"4,518","1,780","1,903","2,605","3,561","4,955","2,071","4,065","5,127","2,071","2,321","3,236","3,977","3,401"
2021년03월_계_60~69세,"46,877","1,399",577,"1,039",475,484,511,424,364,308,710,"2,493",824,382,980,247,518,"4,092","1,864","2,415","2,538","3,214","3,634","1,917","1,919","2,967","1,944","1,961","2,203","2,730","1,744"
2021년03월_계_70~79세,"25,655",809,324,466,407,287,354,313,305,254,585,"1,203",544,324,564,157,345,"2,724","1,118","1,700","1,588","1,785","1,574",956,850,"1,371","1,028",994,973,"1,247",506
