,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년08월_계_총인구수,"223,728","5,066","25,777","12,479","12,754","8,809","16,901","15,362","10,618","14,084","18,675","20,844","12,505","11,177","14,802","2,535","21,340"
2020년08월_계_연령구간인구수,"223,728","5,066","25,777","12,479","12,754","8,809","16,901","15,362","10,618","14,084","18,675","20,844","12,505","11,177","14,802","2,535","21,340"
2020년08월_계_0~9세,"15,370",112,"2,744",945,871,300,985,"1,495",397,824,"1,018","1,170",922,621,855,78,"2,033"
2020년08월_계_10~19세,"20,240",154,"3,381",929,"1,026",411,"1,542","1,405",858,"1,158","1,846","1,544",967,830,"1,323",146,"2,720"
2020년08월_계_20~29세,"30,298",383,"2,674","1,417","1,539",853,"2,747","1,854","2,618","2,027","2,952","3,926","1,447","1,957","1,598",205,"2,101"
2020년08월_계_30~39세,"26,215",419,"3,196","1,716","1,569",770,"1,738","2,154","1,100","1,484","1,997","3,142","1,548","1,342","1,500",164,"2,376"
2020년08월_계_40~49세,"34,216",571,"4,929","1,855","1,772","1,004","2,546","2,358","1,275","2,083","2,812","3,159","1,839","1,638","2,234",285,"3,856"
2020년08월_계_50~59세,"37,043","1,046","3,658","1,977","2,228","1,608","3,016","2,446","1,571","2,436","3,308","3,430","2,154","1,907","2,626",479,"3,153"
2020년08월_계_60~69세,"31,924","1,167","2,869","1,854","1,930","1,841","2,400","1,901","1,486","2,163","2,641","2,588","1,910","1,596","2,381",546,"2,651"
2020년08월_계_70~79세,"19,028",810,"1,600","1,210","1,176","1,272","1,301","1,157",916,"1,294","1,445","1,332","1,158",873,"1,539",344,"1,601"
2020년08월_계_80~89세,"8,179",346,625,489,567,666,548,506,353,548,587,479,472,363,650,252,728
2020년08월_계_90~99세,"1,116",46,93,74,72,82,71,75,39,62,69,71,78,48,89,34,113
2020년08월_계_100세 이상,99,12,8,13,4,2,7,11,5,5,0,3,10,2,7,2,8
2020년08월_남_총인구수,"112,774","2,839","12,663","6,157","6,194","4,301","8,543","7,695","5,551","7,254","9,335","10,749","6,189","5,719","7,534","1,326","10,725"
2020년08월_남_연령구간인구수,"112,774","2,839","12,663","6,157","6,194","4,301","8,543","7,695","5,551","7,254","9,335","10,749","6,189","5,719","7,534","1,326","10,725"
2020년08월_남_0~9세,"7,921",53,"1,358",484,464,145,511,798,207,419,522,612,489,344,410,38,"1,067"
