,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년06월_계_총인구수,"146,029","12,024","9,371","2,498","9,703","18,204","8,318","10,167","4,210","7,226","5,150","7,347","16,489","4,966","8,057","6,708","5,942","9,649"
2021년06월_계_연령구간인구수,"146,029","12,024","9,371","2,498","9,703","18,204","8,318","10,167","4,210","7,226","5,150","7,347","16,489","4,966","8,057","6,708","5,942","9,649"
2021년06월_계_0~9세,"7,275",773,566,106,522,"1,162",687,839,183,188,105,231,646,134,220,364,278,271
2021년06월_계_10~19세,"10,684","1,142",671,181,880,"1,605",992,821,333,219,253,395,"1,317",225,461,492,356,341
2021년06월_계_20~29세,"23,147","1,573","1,237",313,"1,282","2,413",921,"1,244",487,924,"1,089","1,611","4,403",606,"1,152",956,788,"2,148"
2021년06월_계_30~39세,"19,595","1,599","1,458",321,"1,212","2,214",921,"1,608",566,929,720,"1,250","2,044",534,879,926,815,"1,599"
2021년06월_계_40~49세,"21,433","2,112","1,458",353,"1,596","2,693","1,428","1,808",723,943,575,927,"2,164",596,"1,023",918,885,"1,231"
2021년06월_계_50~59세,"24,939","1,910","1,509",390,"1,676","3,240","1,407","1,573",708,"1,318",907,"1,094","2,323","1,055","1,797","1,236","1,142","1,654"
2021년06월_계_60~69세,"20,192","1,383","1,203",408,"1,313","2,613","1,019","1,175",583,"1,424",755,937,"1,645","1,029","1,403","1,033",909,"1,360"
2021년06월_계_70~79세,"11,791",939,723,249,767,"1,324",587,723,400,828,499,554,"1,183",518,766,509,512,710
2021년06월_계_80~89세,"5,985",514,460,143,376,774,309,332,191,385,217,308,665,236,311,238,227,299
2021년06월_계_90~99세,936,72,81,28,75,158,44,43,34,62,30,38,96,33,42,35,30,35
2021년06월_계_100세 이상,52,7,5,6,4,8,3,1,2,6,0,2,3,0,3,1,0,1
2021년06월_남_총인구수,"70,985","5,580","4,225","1,191","4,639","8,478","3,877","4,698","1,944","4,305","2,749","3,472","7,949","2,664","4,135","3,297","2,869","4,913"
2021년06월_남_연령구간인구수,"70,985","5,580","4,225","1,191","4,639","8,478","3,877","4,698","1,944","4,305","2,749","3,472","7,949","2,664","4,135","3,297","2,869","4,913"
2021년06월_남_0~9세,"3,651",391,284,48,259,599,315,431,91,98,49,115,309,65,123,194,145,135
2021년06월_남_10~19세,"5,311",613,295,104,468,805,447,378,180,109,120,187,658,120,238,246,161,182
2021년06월_남_20~29세,"11,255",778,569,162,678,"1,206",424,586,221,465,542,752,"2,163",325,598,509,384,893
2021년06월_남_30~39세,"9,743",738,642,149,587,"1,019",426,721,268,531,413,620,"1,086",307,516,451,416,853
2021년06월_남_40~49세,"10,450",948,652,169,737,"1,208",669,852,341,577,341,458,"1,038",314,536,464,459,687
2021년06월_남_50~59세,"12,579",878,682,198,763,"1,484",736,762,330,916,515,543,"1,126",599,950,593,563,941
2021년06월_남_60~69세,"10,055",621,568,189,624,"1,212",470,537,268,923,434,442,797,581,712,514,433,730
2021년06월_남_70~79세,"5,224",381,298,112,346,595,247,285,161,481,229,234,480,257,323,227,215,353
2021년06월_남_80~89세,"2,413",207,201,48,155,308,128,134,76,183,99,107,263,85,122,82,86,129
2021년06월_남_90~99세,288,24,32,11,21,39,13,12,7,19,7,13,29,11,17,16,7,10
2021년06월_남_100세 이상,16,1,2,1,1,3,2,0,1,3,0,1,0,0,0,1,0,0
2021년06월_여_총인구수,"75,044","6,444","5,146","1,307","5,064","9,726","4,441","5,469","2,266","2,921","2,401","3,875","8,540","2,302","3,922","3,411","3,073","4,736"
2021년06월_여_연령구간인구수,"75,044","6,444","5,146","1,307","5,064","9,726","4,441","5,469","2,266","2,921","2,401","3,875","8,540","2,302","3,922","3,411","3,073","4,736"
2021년06월_여_0~9세,"3,624",382,282,58,263,563,372,408,92,90,56,116,337,69,97,170,133,136
2021년06월_여_10~19세,"5,373",529,376,77,412,800,545,443,153,110,133,208,659,105,223,246,195,159
2021년06월_여_20~29세,"11,892",795,668,151,604,"1,207",497,658,266,459,547,859,"2,240",281,554,447,404,"1,255"
2021년06월_여_30~39세,"9,852",861,816,172,625,"1,195",495,887,298,398,307,630,958,227,363,475,399,746
2021년06월_여_40~49세,"10,983","1,164",806,184,859,"1,485",759,956,382,366,234,469,"1,126",282,487,454,426,544
2021년06월_여_50~59세,"12,360","1,032",827,192,913,"1,756",671,811,378,402,392,551,"1,197",456,847,643,579,713
2021년06월_여_60~69세,"10,137",762,635,219,689,"1,401",549,638,315,501,321,495,848,448,691,519,476,630
2021년06월_여_70~79세,"6,567",558,425,137,421,729,340,438,239,347,270,320,703,261,443,282,297,357
2021년06월_여_80~89세,"3,572",307,259,95,221,466,181,198,115,202,118,201,402,151,189,156,141,170
2021년06월_여_90~99세,648,48,49,17,54,119,31,31,27,43,23,25,67,22,25,19,23,25
2021년06월_여_100세 이상,36,6,3,5,3,5,1,1,1,3,0,1,3,0,3,0,0,1
