,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년11월_계_총인구수,"64,013","12,512","9,808",615,228,"3,167","2,971","4,360","3,892","4,943","1,909","2,661","3,322","2,325","3,134","2,302","3,091","1,284","1,489"
2020년11월_계_연령구간인구수,"64,013","12,512","9,808",615,228,"3,167","2,971","4,360","3,892","4,943","1,909","2,661","3,322","2,325","3,134","2,302","3,091","1,284","1,489"
2020년11월_계_0~9세,"2,628","1,022",522,25,4,70,74,130,90,123,60,45,84,61,122,66,69,27,34
2020년11월_계_10~19세,"3,900","1,449",764,20,12,102,135,196,168,229,89,93,124,105,123,81,103,45,62
2020년11월_계_20~29세,"4,160","1,235",743,13,11,144,143,235,210,248,86,118,228,132,198,114,146,65,91
2020년11월_계_30~39세,"3,712","1,178",725,25,15,141,148,189,151,216,64,91,152,116,168,105,103,49,76
2020년11월_계_40~49세,"6,337","1,872","1,196",30,32,228,228,355,322,433,164,207,253,153,279,151,214,89,131
2020년11월_계_50~59세,"10,258","1,969","1,669",32,44,480,494,691,643,816,295,418,591,360,478,397,445,195,241
2020년11월_계_60~69세,"12,719","1,795","1,881",97,27,706,610,927,854,"1,063",414,593,720,578,681,508,632,275,358
2020년11월_계_70~79세,"11,520","1,224","1,485",191,45,730,591,942,818,"1,024",417,575,619,462,578,469,748,313,289
2020년11월_계_80~89세,"7,493",634,714,154,36,476,466,625,541,690,271,421,464,307,429,356,533,191,185
2020년11월_계_90~99세,"1,235",124,104,28,2,90,81,68,89,92,47,99,83,49,74,54,95,34,22
2020년11월_계_100세 이상,51,10,5,0,0,0,1,2,6,9,2,1,4,2,4,1,3,1,0
2020년11월_남_총인구수,"31,100","6,174","4,797",312,118,"1,581","1,423","2,111","1,875","2,370",929,"1,251","1,586","1,090","1,542","1,112","1,456",619,754
2020년11월_남_연령구간인구수,"31,100","6,174","4,797",312,118,"1,581","1,423","2,111","1,875","2,370",929,"1,251","1,586","1,090","1,542","1,112","1,456",619,754
2020년11월_남_0~9세,"1,310",510,258,11,0,35,36,68,33,59,34,18,43,27,71,36,38,12,21
2020년11월_남_10~19세,"2,086",776,402,10,5,54,65,105,75,123,41,54,72,61,67,54,60,27,35
2020년11월_남_20~29세,"2,447",714,410,3,9,104,78,143,133,149,50,75,129,82,120,72,77,44,55
2020년11월_남_30~39세,"2,013",565,381,12,11,94,93,110,95,120,32,52,90,57,98,64,65,34,40
2020년11월_남_40~49세,"3,678",940,638,17,27,164,140,213,204,269,110,140,161,88,178,104,136,59,90
2020년11월_남_50~59세,"5,696","1,038",885,17,26,301,290,382,351,464,178,233,317,205,279,220,264,110,136
2020년11월_남_60~69세,"6,315",844,912,53,13,364,334,447,418,504,208,302,372,292,335,265,313,144,195
2020년11월_남_70~79세,"4,959",560,655,110,17,296,237,401,393,429,178,245,244,183,246,194,318,127,126
2020년11월_남_80~89세,"2,323",205,238,71,10,148,134,223,159,226,85,116,133,89,119,96,168,53,50
2020년11월_남_90~99세,265,19,17,8,0,21,16,18,14,26,12,16,25,6,29,6,17,9,6
2020년11월_남_100세 이상,8,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년11월_여_총인구수,"32,913","6,338","5,011",303,110,"1,586","1,548","2,249","2,017","2,573",980,"1,410","1,736","1,235","1,592","1,190","1,635",665,735
2020년11월_여_연령구간인구수,"32,913","6,338","5,011",303,110,"1,586","1,548","2,249","2,017","2,573",980,"1,410","1,736","1,235","1,592","1,190","1,635",665,735
2020년11월_여_0~9세,"1,318",512,264,14,4,35,38,62,57,64,26,27,41,34,51,30,31,15,13
2020년11월_여_10~19세,"1,814",673,362,10,7,48,70,91,93,106,48,39,52,44,56,27,43,18,27
2020년11월_여_20~29세,"1,713",521,333,10,2,40,65,92,77,99,36,43,99,50,78,42,69,21,36
2020년11월_여_30~39세,"1,699",613,344,13,4,47,55,79,56,96,32,39,62,59,70,41,38,15,36
2020년11월_여_40~49세,"2,659",932,558,13,5,64,88,142,118,164,54,67,92,65,101,47,78,30,41
2020년11월_여_50~59세,"4,562",931,784,15,18,179,204,309,292,352,117,185,274,155,199,177,181,85,105
2020년11월_여_60~69세,"6,404",951,969,44,14,342,276,480,436,559,206,291,348,286,346,243,319,131,163
2020년11월_여_70~79세,"6,561",664,830,81,28,434,354,541,425,595,239,330,375,279,332,275,430,186,163
2020년11월_여_80~89세,"5,170",429,476,83,26,328,332,402,382,464,186,305,331,218,310,260,365,138,135
2020년11월_여_90~99세,970,105,87,20,2,69,65,50,75,66,35,83,58,43,45,48,78,25,16
2020년11월_여_100세 이상,43,7,4,0,0,0,1,1,6,8,1,1,4,2,4,0,3,1,0
