카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년11월_계_총인구수,"523,708","22,567","27,572","30,667","37,798","39,817","27,549","22,767","25,016","27,536","20,748","35,605","39,165","20,644","27,161","24,742","33,645","23,099","21,273","16,337"
2020년11월_계_연령구간인구수,"523,708","22,567","27,572","30,667","37,798","39,817","27,549","22,767","25,016","27,536","20,748","35,605","39,165","20,644","27,161","24,742","33,645","23,099","21,273","16,337"
2020년11월_계_0~9세,"33,311","1,229","1,780","2,259","2,168","2,915","1,183","1,527","1,569","1,983","1,178","2,111","2,371","1,009","1,417","1,124","2,522","2,538","1,416","1,012"
2020년11월_계_10~19세,"53,482","1,721","2,211","2,164","2,680","4,431","3,206","2,885","4,536","5,794","2,341","3,238","3,380","1,910","2,142","2,069","3,096","2,080","2,191","1,407"
2020년11월_계_20~29세,"73,401","3,870","3,264","3,625","6,838","6,726","4,737","3,097","3,276","2,986","2,608","4,382","5,370","3,331","3,263","3,507","4,657","2,706","2,753","2,405"
2020년11월_계_30~39세,"64,855","2,750","3,265","4,637","5,439","5,224","2,744","2,581","1,916","1,998","2,009","4,325","4,945","2,337","2,996","2,647","4,950","4,756","2,833","2,503"
2020년11월_계_40~49세,"86,485","3,449","4,349","4,709","5,419","6,624","4,268","4,087","5,125","6,665","3,554","5,975","5,745","3,132","4,018","3,740","5,591","3,945","3,529","2,561"
2020년11월_계_50~59세,"87,964","3,595","4,647","4,826","5,855","6,132","4,975","3,933","4,591","4,486","3,625","5,675","7,033","3,958","4,839","4,569","5,663","3,029","3,649","2,884"
2020년11월_계_60~69세,"67,545","3,119","4,365","4,578","5,424","4,429","3,535","2,504","2,253","2,054","2,648","4,810","5,897","2,864","4,323","3,646","3,978","2,257","2,747","2,114"
2020년11월_계_70~79세,"37,512","1,977","2,503","2,603","2,758","2,236","1,832","1,369","1,103",991,"1,891","3,339","2,940","1,425","2,772","2,314","1,995","1,171","1,390",903
2020년11월_계_80~89세,"16,383",726,"1,010","1,106","1,034",945,931,681,549,496,766,"1,522","1,224",572,"1,221",949,998,529,652,472
2020년11월_계_90~99세,"2,486",113,164,145,166,142,130,99,84,70,115,213,210,93,137,151,188,85,109,72
2020년11월_계_100세 이상,284,18,14,15,17,13,8,4,14,13,13,15,50,13,33,26,7,3,4,4
2020년11월_남_총인구수,"252,792","11,623","13,306","14,703","18,390","19,406","13,278","10,851","12,232","13,420","10,009","16,434","19,023","10,216","13,510","12,032","15,625","11,106","10,116","7,512"
2020년11월_남_연령구간인구수,"252,792","11,623","13,306","14,703","18,390","19,406","13,278","10,851","12,232","13,420","10,009","16,434","19,023","10,216","13,510","12,032","15,625","11,106","10,116","7,512"
2020년11월_남_0~9세,"17,122",623,898,"1,162","1,108","1,506",623,791,835,"1,064",593,"1,057","1,234",504,714,572,"1,302","1,306",727,503
2020년11월_남_10~19세,"27,758",937,"1,147","1,130","1,346","2,254","1,798","1,485","2,277","3,070","1,301","1,555","1,757",988,"1,163","1,048","1,610","1,047","1,140",705
2020년11월_남_20~29세,"37,700","2,229","1,746","1,811","3,411","3,322","2,543","1,574","1,716","1,550","1,353","2,265","2,749","1,670","1,757","1,852","2,243","1,334","1,437","1,138"
2020년11월_남_30~39세,"32,290","1,494","1,640","2,331","2,762","2,618","1,383","1,220",900,858,"1,023","2,087","2,462","1,231","1,580","1,402","2,314","2,339","1,428","1,218"
2020년11월_남_40~49세,"41,153","1,786","2,200","2,374","2,760","3,136","1,883","1,902","2,246","2,884","1,644","2,931","2,764","1,510","2,023","1,829","2,570","1,967","1,605","1,139"
2020년11월_남_50~59세,"42,682","1,807","2,232","2,255","2,809","3,009","2,414","1,893","2,386","2,411","1,818","2,673","3,304","1,972","2,454","2,226","2,590","1,429","1,701","1,299"
2020년11월_남_60~69세,"31,430","1,490","1,962","2,040","2,513","2,123","1,622","1,173","1,179",995,"1,236","2,109","2,849","1,421","2,062","1,713","1,769",979,"1,245",950
2020년11월_남_70~79세,"16,206",908,"1,120","1,159","1,238","1,038",696,572,464,414,753,"1,217","1,351",678,"1,232","1,005",857,508,604,392
2020년11월_남_80~89세,"5,739",315,321,405,395,351,272,217,202,149,260,484,473,216,484,340,326,177,206,146
2020년11월_남_90~99세,627,30,39,34,45,44,42,23,24,21,28,53,47,20,32,40,43,20,22,20
2020년11월_남_100세 이상,85,4,1,2,3,5,2,1,3,4,0,3,33,6,9,5,1,0,1,2
2020년11월_여_총인구수,"270,916","10,944","14,266","15,964","19,408","20,411","14,271","11,916","12,784","14,116","10,739","19,171","20,142","10,428","13,651","12,710","18,020","11,993","11,157","8,825"
2020년11월_여_연령구간인구수,"270,916","10,944","14,266","15,964","19,408","20,411","14,271","11,916","12,784","14,116","10,739","19,171","20,142","10,428","13,651","12,710","18,020","11,993","11,157","8,825"
2020년11월_여_0~9세,"16,189",606,882,"1,097","1,060","1,409",560,736,734,919,585,"1,054","1,137",505,703,552,"1,220","1,232",689,509
2020년11월_여_10~19세,"25,724",784,"1,064","1,034","1,334","2,177","1,408","1,400","2,259","2,724","1,040","1,683","1,623",922,979,"1,021","1,486","1,033","1,051",702
2020년11월_여_20~29세,"35,701","1,641","1,518","1,814","3,427","3,404","2,194","1,523","1,560","1,436","1,255","2,117","2,621","1,661","1,506","1,655","2,414","1,372","1,316","1,267"
2020년11월_여_30~39세,"32,565","1,256","1,625","2,306","2,677","2,606","1,361","1,361","1,016","1,140",986,"2,238","2,483","1,106","1,416","1,245","2,636","2,417","1,405","1,285"
