카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년08월_계_총인구수,"474,504","22,657","15,260","17,362","16,320","16,171","12,374","27,383","19,242","11,948","23,895","21,585","25,034","11,277","14,931","21,477","41,780","15,731","50,433","3,727","16,996","36,071","12,854","19,996"
2021년08월_계_연령구간인구수,"474,504","22,657","15,260","17,362","16,320","16,171","12,374","27,383","19,242","11,948","23,895","21,585","25,034","11,277","14,931","21,477","41,780","15,731","50,433","3,727","16,996","36,071","12,854","19,996"
2021년08월_계_0~9세,"36,331","2,058",695,849,"1,038",952,591,"1,655","1,137",787,"1,838","1,109","1,382",362,762,"1,735","5,260","1,248","6,044",91,"1,545","3,109",936,"1,148"
2021년08월_계_10~19세,"48,630","3,030",995,"1,355","1,451","1,221",621,"2,377","1,249","1,075","2,616","1,612","2,004",547,"1,275","2,658","4,853","1,593","6,123",168,"3,409","4,212","1,283","2,903"
2021년08월_계_20~29세,"73,367","2,815","2,511","2,468","1,992","2,129","2,442","5,467","4,561","1,599","3,176","4,253","5,620","2,902","1,858","2,699","5,001","2,769","6,803",290,"1,633","5,395","2,358","2,626"
2021년08월_계_30~39세,"64,914","2,587","1,605","1,807","1,715","1,999","2,174","4,657","3,584","1,424","2,688","3,436","4,219","1,891","1,509","2,605","6,534","2,046","7,838",262,"1,300","5,381","1,985","1,668"
2021년08월_계_40~49세,"76,768","4,291","1,789","2,313","2,235","2,245","1,701","4,405","2,822","1,800","3,990","3,058","3,773","1,506","1,926","3,369","7,875","2,312","9,407",402,"3,974","6,150","2,038","3,387"
2021년08월_계_50~59세,"76,794","3,493","2,631","2,922","3,062","2,869","1,735","4,302","2,503","1,949","3,929","3,354","4,012","1,885","2,791","3,866","5,753","2,795","7,649",671,"2,516","6,309","2,236","3,562"
2021년08월_계_60~69세,"57,825","2,583","2,767","3,133","2,858","2,667","1,693","2,795","2,010","1,839","3,227","3,052","2,641","1,364","2,629","3,066","4,146","1,695","3,947",775,"1,362","3,668","1,303","2,605"
2021년08월_계_70~79세,"26,288","1,234","1,546","1,699","1,297","1,424",935,"1,086",953,"1,007","1,668","1,176",899,555,"1,276",950,"1,594",813,"1,724",575,815,"1,212",468,"1,382"
2021년08월_계_80~89세,"11,807",493,638,731,580,578,422,561,358,411,671,471,437,226,772,452,656,405,777,404,377,558,209,620
2021년08월_계_90~99세,"1,718",70,78,83,90,85,56,75,61,57,91,62,45,37,131,76,102,53,118,85,63,74,38,88
2021년08월_계_100세 이상,62,3,5,2,2,2,4,3,4,0,1,2,2,2,2,1,6,2,3,4,2,3,0,7
2021년08월_남_총인구수,"233,278","11,166","7,745","8,749","7,968","8,204","5,915","13,130","9,404","5,804","11,461","11,026","12,517","6,034","7,103","10,556","20,554","7,488","24,646","1,923","8,361","17,444","6,446","9,634"
2021년08월_남_연령구간인구수,"233,278","11,166","7,745","8,749","7,968","8,204","5,915","13,130","9,404","5,804","11,461","11,026","12,517","6,034","7,103","10,556","20,554","7,488","24,646","1,923","8,361","17,444","6,446","9,634"
2021년08월_남_0~9세,"18,761","1,056",374,464,550,519,313,886,566,406,929,599,682,187,377,897,"2,679",632,"3,123",57,790,"1,609",467,599
2021년08월_남_10~19세,"25,046","1,540",521,704,770,641,320,"1,243",645,539,"1,252",848,962,294,654,"1,429","2,490",837,"3,112",85,"1,778","2,188",668,"1,526"
2021년08월_남_20~29세,"37,408","1,435","1,398","1,353","1,064","1,137","1,113","2,516","2,097",797,"1,653","2,258","2,880","1,565","1,000","1,489","2,523","1,301","3,446",158,866,"2,640","1,319","1,400"
