,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년07월_계_총인구수,"227,972","26,467","6,078","7,114","12,069","10,363","5,439","50,200","9,837","27,092","27,568","45,745"
2020년07월_계_연령구간인구수,"227,972","26,467","6,078","7,114","12,069","10,363","5,439","50,200","9,837","27,092","27,568","45,745"
2020년07월_계_0~9세,"20,066","1,475",156,392,661,512,211,"5,145",645,"1,961","2,377","6,531"
2020년07월_계_10~19세,"24,081","2,599",337,417,909,550,283,"7,119",758,"2,747","3,677","4,685"
2020년07월_계_20~29세,"27,045","3,286",707,836,"1,313","1,073",593,"5,201","1,608","3,533","3,719","5,176"
2020년07월_계_30~39세,"28,027","2,380",493,811,"1,192","1,105",471,"5,618","1,181","2,883","2,982","8,911"
2020년07월_계_40~49세,"39,252","3,961",697,811,"1,756","1,184",639,"10,459","1,396","4,436","5,237","8,676"
2020년07월_계_50~59세,"37,638","5,196","1,322","1,314","2,520","1,777","1,104","7,144","1,824","5,431","4,582","5,424"
2020년07월_계_60~69세,"27,859","4,124","1,327","1,363","2,052","2,149","1,077","4,917","1,305","3,452","2,373","3,720"
2020년07월_계_70~79세,"16,132","2,253",661,717,"1,078","1,287",686,"3,278",745,"1,837","1,687","1,903"
2020년07월_계_80~89세,"6,830","1,040",323,371,517,590,330,"1,154",322,721,839,623
2020년07월_계_90~99세,972,146,52,75,66,129,40,158,40,84,92,90
2020년07월_계_100세 이상,70,7,3,7,5,7,5,7,13,7,3,6
2020년07월_남_총인구수,"115,695","13,355","3,440","3,976","6,519","5,309","2,834","24,597","5,195","13,739","13,652","23,079"
2020년07월_남_연령구간인구수,"115,695","13,355","3,440","3,976","6,519","5,309","2,834","24,597","5,195","13,739","13,652","23,079"
2020년07월_남_0~9세,"10,225",718,87,189,340,276,110,"2,634",327,"1,006","1,206","3,332"
2020년07월_남_10~19세,"12,329","1,348",183,220,486,300,156,"3,591",386,"1,427","1,896","2,336"
2020년07월_남_20~29세,"14,484","1,774",418,536,758,632,319,"2,636",940,"1,859","1,952","2,660"
2020년07월_남_30~39세,"14,477","1,282",313,495,681,611,259,"2,679",654,"1,529","1,458","4,516"
2020년07월_남_40~49세,"20,218","2,016",429,492,"1,005",643,372,"5,177",734,"2,292","2,601","4,457"
2020년07월_남_50~59세,"19,727","2,690",797,779,"1,399",888,578,"3,719",999,"2,776","2,334","2,768"
2020년07월_남_60~69세,"13,950","2,089",743,753,"1,116","1,060",585,"2,181",666,"1,754","1,168","1,835"
2020년07월_남_70~79세,"7,457","1,024",336,357,516,633,319,"1,494",349,807,681,941
2020년07월_남_80~89세,"2,581",381,119,138,201,232,128,444,125,271,322,220
2020년07월_남_90~99세,236,33,15,15,17,30,7,42,13,18,32,14
2020년07월_남_100세 이상,11,0,0,2,0,4,1,0,2,0,2,0
2020년07월_여_총인구수,"112,277","13,112","2,638","3,138","5,550","5,054","2,605","25,603","4,642","13,353","13,916","22,666"
2020년07월_여_연령구간인구수,"112,277","13,112","2,638","3,138","5,550","5,054","2,605","25,603","4,642","13,353","13,916","22,666"
2020년07월_여_0~9세,"9,841",757,69,203,321,236,101,"2,511",318,955,"1,171","3,199"
2020년07월_여_10~19세,"11,752","1,251",154,197,423,250,127,"3,528",372,"1,320","1,781","2,349"
2020년07월_여_20~29세,"12,561","1,512",289,300,555,441,274,"2,565",668,"1,674","1,767","2,516"
2020년07월_여_30~39세,"13,550","1,098",180,316,511,494,212,"2,939",527,"1,354","1,524","4,395"
2020년07월_여_40~49세,"19,034","1,945",268,319,751,541,267,"5,282",662,"2,144","2,636","4,219"
2020년07월_여_50~59세,"17,911","2,506",525,535,"1,121",889,526,"3,425",825,"2,655","2,248","2,656"
2020년07월_여_60~69세,"13,909","2,035",584,610,936,"1,089",492,"2,736",639,"1,698","1,205","1,885"
2020년07월_여_70~79세,"8,675","1,229",325,360,562,654,367,"1,784",396,"1,030","1,006",962
2020년07월_여_80~89세,"4,249",659,204,233,316,358,202,710,197,450,517,403
2020년07월_여_90~99세,736,113,37,60,49,99,33,116,27,66,60,76
2020년07월_여_100세 이상,59,7,3,5,5,3,4,7,11,7,1,6
