,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년10월_계_총인구수,"402,820","23,135","31,196","28,626","25,786","15,809","18,296","32,299","16,496","23,462","9,991","35,531","13,425","9,099","16,587","14,518","24,439","38,492","25,633"
2020년10월_계_연령구간인구수,"402,820","23,135","31,196","28,626","25,786","15,809","18,296","32,299","16,496","23,462","9,991","35,531","13,425","9,099","16,587","14,518","24,439","38,492","25,633"
2020년10월_계_0~9세,"28,703","1,325","2,876","2,824","1,969","1,246","1,268","2,093","1,128","1,762",518,"2,680",529,264,"1,303",392,988,"4,183","1,355"
2020년10월_계_10~19세,"38,312","1,622","3,180","3,131","2,341","1,144","2,094","2,927","1,857","3,052",507,"4,268",700,548,"1,576",806,"1,578","4,912","2,069"
2020년10월_계_20~29세,"49,307","3,089","3,563","2,944","3,300","1,709","2,817","5,102","1,995","3,036","1,211","4,290","1,507","1,006","2,187","1,660","2,503","4,176","3,212"
2020년10월_계_30~39세,"47,056","2,972","3,863","3,406","3,211","2,241","2,107","4,464","1,706","2,358","1,312","3,723","1,615",843,"2,065","1,189","2,084","4,932","2,965"
2020년10월_계_40~49세,"66,072","3,520","5,344","4,995","4,400","2,682","3,281","5,081","2,571","4,128","1,314","6,363","1,805","1,166","2,633","1,814","3,259","7,794","3,922"
2020년10월_계_50~59세,"70,556","3,888","5,406","4,856","4,519","2,774","3,167","5,767","3,022","4,317","1,752","6,344","2,482","1,770","3,043","2,780","4,361","5,490","4,818"
2020년10월_계_60~69세,"57,442","3,649","3,848","3,754","3,322","2,414","1,798","3,755","2,215","2,630","1,897","4,645","2,555","1,857","2,411","2,848","5,101","4,264","4,479"
2020년10월_계_70~79세,"30,693","2,157","2,075","1,842","1,843","1,128","1,069","1,967","1,204","1,366",958,"2,205","1,575","1,121","1,007","2,066","3,124","1,990","1,996"
2020년10월_계_80~89세,"12,816",776,886,764,777,403,617,"1,020",704,713,453,876,585,469,317,832,"1,254",648,722
2020년10월_계_90~99세,"1,703",111,148,106,87,60,76,122,94,100,65,133,57,49,43,104,163,97,88
2020년10월_계_100세 이상,160,26,7,4,17,8,2,1,0,0,4,4,15,6,2,27,24,6,7
2020년10월_남_총인구수,"193,899","11,057","14,870","13,501","12,377","7,520","8,539","14,914","7,766","11,193","4,830","17,601","6,515","4,456","8,164","7,299","11,871","18,962","12,464"
2020년10월_남_연령구간인구수,"193,899","11,057","14,870","13,501","12,377","7,520","8,539","14,914","7,766","11,193","4,830","17,601","6,515","4,456","8,164","7,299","11,871","18,962","12,464"
2020년10월_남_0~9세,"14,847",659,"1,488","1,457","1,029",613,634,"1,081",571,940,288,"1,389",263,139,670,200,519,"2,209",698
2020년10월_남_10~19세,"19,782",828,"1,610","1,563","1,218",593,"1,116","1,510",958,"1,555",273,"2,233",368,290,800,424,824,"2,564","1,055"
2020년10월_남_20~29세,"25,799","1,541","1,853","1,541","1,688",896,"1,325","2,412","1,078","1,606",658,"2,343",833,552,"1,190",931,"1,380","2,190","1,782"
2020년10월_남_30~39세,"22,909","1,477","1,776","1,449","1,533","1,076",957,"2,096",809,"1,090",704,"1,797",902,486,"1,034",699,"1,159","2,316","1,549"
2020년10월_남_40~49세,"31,338","1,690","2,436","2,277","2,026","1,309","1,416","2,217","1,136","1,826",706,"2,973",938,632,"1,281","1,043","1,769","3,726","1,937"
2020년10월_남_50~59세,"33,573","1,829","2,595","2,238","2,164","1,249","1,554","2,600","1,412","2,040",773,"3,186","1,187",870,"1,417","1,431","2,111","2,712","2,205"
2020년10월_남_60~69세,"27,175","1,688","1,787","1,770","1,581","1,127",868,"1,791","1,034","1,282",867,"2,297","1,163",830,"1,183","1,395","2,407","2,022","2,083"
2020년10월_남_70~79세,"13,526","1,001",955,864,803,496,419,801,490,577,403,"1,041",658,491,492,852,"1,294",966,923
2020년10월_남_80~89세,"4,537",314,338,312,309,144,220,375,247,254,148,310,187,152,89,298,376,242,222
2020년10월_남_90~99세,369,23,30,28,23,15,29,31,31,23,10,29,14,12,7,16,26,13,9
2020년10월_남_100세 이상,44,7,2,2,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년10월_여_총인구수,"208,921","12,078","16,326","15,125","13,409","8,289","9,757","17,385","8,730","12,269","5,161","17,930","6,910","4,643","8,423","7,219","12,568","19,530","13,169"
2020년10월_여_연령구간인구수,"208,921","12,078","16,326","15,125","13,409","8,289","9,757","17,385","8,730","12,269","5,161","17,930","6,910","4,643","8,423","7,219","12,568","19,530","13,169"
2020년10월_여_0~9세,"13,856",666,"1,388","1,367",940,633,634,"1,012",557,822,230,"1,291",266,125,633,192,469,"1,974",657
2020년10월_여_10~19세,"18,530",794,"1,570","1,568","1,123",551,978,"1,417",899,"1,497",234,"2,035",332,258,776,382,754,"2,348","1,014"
2020년10월_여_20~29세,"23,508","1,548","1,710","1,403","1,612",813,"1,492","2,690",917,"1,430",553,"1,947",674,454,997,729,"1,123","1,986","1,430"
2020년10월_여_30~39세,"24,147","1,495","2,087","1,957","1,678","1,165","1,150","2,368",897,"1,268",608,"1,926",713,357,"1,031",490,925,"2,616","1,416"
2020년10월_여_40~49세,"34,734","1,830","2,908","2,718","2,374","1,373","1,865","2,864","1,435","2,302",608,"3,390",867,534,"1,352",771,"1,490","4,068","1,985"
2020년10월_여_50~59세,"36,983","2,059","2,811","2,618","2,355","1,525","1,613","3,167","1,610","2,277",979,"3,158","1,295",900,"1,626","1,349","2,250","2,778","2,613"
2020년10월_여_60~69세,"30,267","1,961","2,061","1,984","1,741","1,287",930,"1,964","1,181","1,348","1,030","2,348","1,392","1,027","1,228","1,453","2,694","2,242","2,396"
2020년10월_여_70~79세,"17,167","1,156","1,120",978,"1,040",632,650,"1,166",714,789,555,"1,164",917,630,515,"1,214","1,830","1,024","1,073"
2020년10월_여_80~89세,"8,279",462,548,452,468,259,397,645,457,459,305,566,398,317,228,534,878,406,500
2020년10월_여_90~99세,"1,334",88,118,78,64,45,47,91,63,77,55,104,43,37,36,88,137,84,79
2020년10월_여_100세 이상,116,19,5,2,14,6,1,1,0,0,4,1,13,4,1,17,18,4,6
