,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년09월_계_총인구수,"35,717","10,432","4,394","4,674","1,812","1,569","3,208","2,517","3,481","1,641","1,989"
2021년09월_계_연령구간인구수,"35,717","10,432","4,394","4,674","1,812","1,569","3,208","2,517","3,481","1,641","1,989"
2021년09월_계_0~9세,"1,662",607,271,272,65,38,135,93,91,44,46
2021년09월_계_10~19세,"2,432",965,232,364,117,100,183,167,141,82,81
2021년09월_계_20~29세,"2,628",943,316,381,114,113,194,171,172,103,121
2021년09월_계_30~39세,"2,819",877,658,417,92,84,246,136,157,60,92
2021년09월_계_40~49세,"4,676","1,573",677,731,201,154,433,282,290,152,183
2021년09월_계_50~59세,"6,707","1,872",716,892,348,313,621,481,719,380,365
2021년09월_계_60~69세,"7,798","1,855",833,944,451,369,826,569,938,444,569
2021년09월_계_70~79세,"4,383","1,080",498,475,259,254,363,350,548,235,321
2021년09월_계_80~89세,"2,275",556,177,180,153,126,184,225,372,120,182
2021년09월_계_90~99세,319,100,16,13,12,14,22,42,51,21,28
2021년09월_계_100세 이상,18,4,0,5,0,4,1,1,2,0,1
2021년09월_남_총인구수,"18,607","5,353","2,307","2,454",934,785,"1,707","1,280","1,847",891,"1,049"
2021년09월_남_연령구간인구수,"18,607","5,353","2,307","2,454",934,785,"1,707","1,280","1,847",891,"1,049"
2021년09월_남_0~9세,856,321,140,139,33,14,68,49,42,23,27
2021년09월_남_10~19세,"1,254",507,103,188,54,57,92,83,73,48,49
2021년09월_남_20~29세,"1,532",559,175,220,70,63,116,108,98,64,59
2021년09월_남_30~39세,"1,562",448,380,215,53,55,152,74,102,30,53
2021년09월_남_40~49세,"2,699",834,417,409,118,95,259,157,186,96,128
2021년09월_남_50~59세,"3,762","1,021",405,504,201,178,339,270,408,234,202
2021년09월_남_60~69세,"4,119",978,396,488,249,189,451,290,520,249,309
2021년09월_남_70~79세,"1,972",479,229,218,99,97,164,162,259,107,158
2021년09월_남_80~89세,782,187,59,69,54,31,62,79,147,37,57
2021년09월_남_90~99세,60,17,3,0,3,3,4,8,12,3,7
2021년09월_남_100세 이상,9,2,0,4,0,3,0,0,0,0,0
2021년09월_여_총인구수,"17,110","5,079","2,087","2,220",878,784,"1,501","1,237","1,634",750,940
2021년09월_여_연령구간인구수,"17,110","5,079","2,087","2,220",878,784,"1,501","1,237","1,634",750,940
2021년09월_여_0~9세,806,286,131,133,32,24,67,44,49,21,19
2021년09월_여_10~19세,"1,178",458,129,176,63,43,91,84,68,34,32
2021년09월_여_20~29세,"1,096",384,141,161,44,50,78,63,74,39,62
2021년09월_여_30~39세,"1,257",429,278,202,39,29,94,62,55,30,39
2021년09월_여_40~49세,"1,977",739,260,322,83,59,174,125,104,56,55
2021년09월_여_50~59세,"2,945",851,311,388,147,135,282,211,311,146,163
2021년09월_여_60~69세,"3,679",877,437,456,202,180,375,279,418,195,260
2021년09월_여_70~79세,"2,411",601,269,257,160,157,199,188,289,128,163
2021년09월_여_80~89세,"1,493",369,118,111,99,95,122,146,225,83,125
2021년09월_여_90~99세,259,83,13,13,9,11,18,34,39,18,21
2021년09월_여_100세 이상,9,2,0,1,0,1,1,1,2,0,1
