,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년08월_계_총인구수,"398,117","22,560","30,813","28,802","27,558","15,909","18,154","32,121","16,231","23,263","9,905","34,714","12,770","8,677","16,210","13,977","23,477","38,042","24,934"
2021년08월_계_연령구간인구수,"398,117","22,560","30,813","28,802","27,558","15,909","18,154","32,121","16,231","23,263","9,905","34,714","12,770","8,677","16,210","13,977","23,477","38,042","24,934"
2021년08월_계_0~9세,"27,610","1,250","2,836","2,903","2,174","1,225","1,192","2,014","1,043","1,716",483,"2,521",466,229,"1,243",340,856,"3,891","1,228"
2021년08월_계_10~19세,"37,127","1,531","3,070","3,118","2,514","1,169","1,979","2,817","1,783","2,932",486,"4,113",603,488,"1,539",716,"1,420","4,912","1,937"
2021년08월_계_20~29세,"47,516","2,935","3,400","2,756","3,406","1,664","2,755","5,051","1,904","2,881","1,122","4,103","1,388",946,"2,011","1,570","2,356","4,126","3,142"
2021년08월_계_30~39세,"45,738","2,874","3,748","3,413","3,549","2,204","2,088","4,446","1,638","2,431","1,243","3,566","1,494",781,"1,917","1,111","1,865","4,580","2,790"
2021년08월_계_40~49세,"64,614","3,364","5,211","5,032","4,704","2,716","3,161","4,923","2,488","3,958","1,335","6,027","1,704","1,088","2,597","1,700","3,062","7,742","3,802"
2021년08월_계_50~59세,"69,448","3,834","5,386","4,795","4,790","2,784","3,201","5,686","2,946","4,280","1,700","6,290","2,312","1,638","2,921","2,627","4,089","5,566","4,603"
2021년08월_계_60~69세,"59,702","3,693","4,033","3,965","3,591","2,519","1,948","4,026","2,338","2,823","1,990","4,802","2,566","1,877","2,552","2,866","5,144","4,382","4,587"
2021년08월_계_70~79세,"30,981","2,134","2,077","1,875","1,874","1,122","1,093","1,961","1,227","1,368","1,010","2,256","1,555","1,098","1,043","2,056","3,176","2,072","1,984"
2021년08월_계_80~89세,"13,525",825,905,824,840,420,656,"1,056",754,775,470,897,627,487,340,890,"1,317",679,763
2021년08월_계_90~99세,"1,782",113,143,118,99,79,78,138,109,97,64,137,52,45,45,96,187,88,94
2021년08월_계_100세 이상,74,7,4,3,17,7,3,3,1,2,2,2,3,0,2,5,5,4,4
2021년08월_남_총인구수,"191,483","10,726","14,675","13,639","13,281","7,554","8,474","14,816","7,621","11,035","4,775","17,136","6,208","4,259","7,993","7,003","11,422","18,709","12,157"
2021년08월_남_연령구간인구수,"191,483","10,726","14,675","13,639","13,281","7,554","8,474","14,816","7,621","11,035","4,775","17,136","6,208","4,259","7,993","7,003","11,422","18,709","12,157"
2021년08월_남_0~9세,"14,265",625,"1,475","1,495","1,148",587,604,"1,047",523,903,262,"1,293",221,129,652,169,450,"2,052",630
2021년08월_남_10~19세,"19,145",773,"1,579","1,556","1,308",610,"1,041","1,430",928,"1,482",267,"2,168",322,267,785,364,752,"2,525",988
2021년08월_남_20~29세,"24,768","1,440","1,751","1,457","1,738",861,"1,298","2,375","1,024","1,511",607,"2,222",783,524,"1,076",887,"1,302","2,167","1,745"
2021년08월_남_30~39세,"22,360","1,432","1,721","1,471","1,688","1,043",971,"2,122",789,"1,150",661,"1,706",822,464,972,665,"1,045","2,183","1,455"
2021년08월_남_40~49세,"30,764","1,612","2,361","2,321","2,209","1,324","1,378","2,187","1,100","1,715",712,"2,825",915,582,"1,294",960,"1,670","3,661","1,938"
