카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2021년01월_계_총인구수,"128,084","4,650","12,628","2,937","31,114","2,004","2,019","1,505","8,897","2,990","4,031","9,019","10,620","11,285","10,456","13,929"
2021년01월_계_연령구간인구수,"128,084","4,650","12,628","2,937","31,114","2,004","2,019","1,505","8,897","2,990","4,031","9,019","10,620","11,285","10,456","13,929"
2021년01월_계_0~9세,"9,560",121,"1,214",74,"3,854",42,29,19,379,90,125,474,685,880,489,"1,085"
2021년01월_계_10~19세,"12,832",205,"1,425",125,"4,010",95,53,39,818,180,233,684,985,"1,383",967,"1,630"
2021년01월_계_20~29세,"11,171",294,"1,074",173,"2,698",106,90,64,881,218,281,681,994,"1,030",982,"1,605"
2021년01월_계_30~39세,"13,686",313,"1,441",158,"4,674",109,83,73,721,177,282,855,"1,086","1,116",997,"1,601"
2021년01월_계_40~49세,"21,305",548,"2,246",275,"6,536",269,163,119,"1,278",374,534,"1,336","1,591","1,928","1,520","2,588"
2021년01월_계_50~59세,"22,386",926,"2,145",526,"4,524",415,354,303,"1,661",562,828,"1,810","1,791","2,037","2,029","2,475"
2021년01월_계_60~69세,"20,630","1,060","1,646",751,"2,964",483,473,395,"1,678",692,916,"1,830","2,055","1,844","1,930","1,913"
2021년01월_계_70~79세,"11,099",711,919,527,"1,264",298,447,274,"1,026",476,581,964,"1,028",751,"1,071",762
2021년01월_계_80~89세,"4,762",417,443,294,515,166,298,192,405,193,229,345,350,282,402,231
2021년01월_계_90~99세,625,53,74,34,75,21,27,25,47,26,21,37,51,32,65,37
2021년01월_계_100세 이상,28,2,1,0,0,0,2,2,3,2,1,3,4,2,4,2
2021년01월_남_총인구수,"64,398","2,450","6,326","1,508","15,742","1,105","1,041",751,"4,438","1,465","1,999","4,587","5,107","5,536","5,390","6,953"
2021년01월_남_연령구간인구수,"64,398","2,450","6,326","1,508","15,742","1,105","1,041",751,"4,438","1,465","1,999","4,587","5,107","5,536","5,390","6,953"
2021년01월_남_0~9세,"4,811",53,573,42,"1,972",24,16,9,178,33,57,241,341,452,230,590
2021년01월_남_10~19세,"6,641",103,728,67,"2,074",55,26,18,390,86,115,349,521,722,518,869
2021년01월_남_20~29세,"6,233",178,591,109,"1,428",63,55,43,532,130,165,397,547,553,578,864
2021년01월_남_30~39세,"7,026",178,704,90,"2,281",70,47,53,394,95,165,471,581,534,548,815
2021년01월_남_40~49세,"11,500",357,"1,196",180,"3,466",176,110,66,703,223,317,797,803,983,857,"1,266"
2021년01월_남_50~59세,"11,489",547,"1,121",306,"2,333",242,233,176,841,300,437,912,799,985,"1,070","1,187"
2021년01월_남_60~69세,"10,053",574,845,366,"1,447",246,260,217,810,336,419,849,892,910,966,916
2021년01월_남_70~79세,"5,038",330,396,251,576,166,199,116,451,191,249,453,481,326,480,373
2021년01월_남_80~89세,"1,478",123,154,91,150,61,89,49,133,64,69,109,130,65,124,67
2021년01월_남_90~99세,121,7,17,6,15,2,6,4,5,7,6,9,9,5,18,5
2021년01월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2021년01월_여_총인구수,"63,686","2,200","6,302","1,429","15,372",899,978,754,"4,459","1,525","2,032","4,432","5,513","5,749","5,066","6,976"
2021년01월_여_연령구간인구수,"63,686","2,200","6,302","1,429","15,372",899,978,754,"4,459","1,525","2,032","4,432","5,513","5,749","5,066","6,976"
2021년01월_여_0~9세,"4,749",68,641,32,"1,882",18,13,10,201,57,68,233,344,428,259,495
2021년01월_여_10~19세,"6,191",102,697,58,"1,936",40,27,21,428,94,118,335,464,661,449,761
2021년01월_여_20~29세,"4,938",116,483,64,"1,270",43,35,21,349,88,116,284,447,477,404,741
2021년01월_여_30~39세,"6,660",135,737,68,"2,393",39,36,20,327,82,117,384,505,582,449,786
2021년01월_여_40~49세,"9,805",191,"1,050",95,"3,070",93,53,53,575,151,217,539,788,945,663,"1,322"
2021년01월_여_50~59세,"10,897",379,"1,024",220,"2,191",173,121,127,820,262,391,898,992,"1,052",959,"1,288"
2021년01월_여_60~69세,"10,577",486,801,385,"1,517",237,213,178,868,356,497,981,"1,163",934,964,997
2021년01월_여_70~79세,"6,061",381,523,276,688,132,248,158,575,285,332,511,547,425,591,389
2021년01월_여_80~89세,"3,284",294,289,203,365,105,209,143,272,129,160,236,220,217,278,164
2021년01월_여_90~99세,504,46,57,28,60,19,21,21,42,19,15,28,42,27,47,32
2021년01월_여_100세 이상,20,2,0,0,0,0,2,2,2,2,1,3,1,1,3,1
