카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년06월_계_총인구수,"90,454","30,697","4,160","19,470","5,273","5,219","3,638","3,187","12,095","3,724","2,991"
2020년06월_계_연령구간인구수,"90,454","30,697","4,160","19,470","5,273","5,219","3,638","3,187","12,095","3,724","2,991"
2020년06월_계_0~9세,"6,782","2,921",181,"1,549",205,322,119,96,"1,091",185,113
2020년06월_계_10~19세,"8,871","3,289",269,"2,638",373,443,167,166,"1,126",200,200
2020년06월_계_20~29세,"9,323","3,374",579,"2,155",484,486,283,195,"1,252",283,232
2020년06월_계_30~39세,"9,451","3,771",327,"2,029",409,470,249,205,"1,449",322,220
2020년06월_계_40~49세,"14,747","5,217",553,"3,776",734,763,455,418,"2,007",476,348
2020년06월_계_50~59세,"15,627","5,092",735,"3,498",936,967,609,500,"2,068",647,575
2020년06월_계_60~69세,"13,406","4,222",725,"2,089","1,090",852,800,688,"1,632",703,605
2020년06월_계_70~79세,"8,051","1,892",494,"1,188",706,648,625,595,914,553,436
2020년06월_계_80~89세,"3,666",805,252,479,290,243,285,285,493,310,224
2020년06월_계_90~99세,500,113,44,69,42,19,42,34,61,40,36
2020년06월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년06월_남_총인구수,"45,832","15,248","2,261","10,076","2,581","2,647","1,832","1,573","6,199","1,867","1,548"
2020년06월_남_연령구간인구수,"45,832","15,248","2,261","10,076","2,581","2,647","1,832","1,573","6,199","1,867","1,548"
2020년06월_남_0~9세,"3,493","1,505",85,809,112,158,59,56,565,85,59
2020년06월_남_10~19세,"4,632","1,648",154,"1,432",190,235,86,90,578,111,108
2020년06월_남_20~29세,"5,476","1,942",401,"1,282",270,282,177,103,709,168,142
2020년06월_남_30~39세,"4,976","1,939",194,"1,048",220,259,150,116,756,169,125
2020년06월_남_40~49세,"7,690","2,556",313,"1,872",405,437,280,254,"1,089",276,208
2020년06월_남_50~59세,"8,063","2,435",412,"1,880",448,513,321,275,"1,092",345,342
2020년06월_남_60~69세,"6,457","2,054",356,"1,010",518,382,354,315,815,346,307
2020년06월_남_70~79세,"3,623",868,232,550,312,287,295,231,424,245,179
2020년06월_남_80~89세,"1,308",277,104,179,97,88,96,120,164,111,72
2020년06월_남_90~99세,105,24,9,14,7,5,13,13,7,8,5
2020년06월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년06월_여_총인구수,"44,622","15,449","1,899","9,394","2,692","2,572","1,806","1,614","5,896","1,857","1,443"
2020년06월_여_연령구간인구수,"44,622","15,449","1,899","9,394","2,692","2,572","1,806","1,614","5,896","1,857","1,443"
2020년06월_여_0~9세,"3,289","1,416",96,740,93,164,60,40,526,100,54
2020년06월_여_10~19세,"4,239","1,641",115,"1,206",183,208,81,76,548,89,92
2020년06월_여_20~29세,"3,847","1,432",178,873,214,204,106,92,543,115,90
2020년06월_여_30~39세,"4,475","1,832",133,981,189,211,99,89,693,153,95
2020년06월_여_40~49세,"7,057","2,661",240,"1,904",329,326,175,164,918,200,140
2020년06월_여_50~59세,"7,564","2,657",323,"1,618",488,454,288,225,976,302,233
2020년06월_여_60~69세,"6,949","2,168",369,"1,079",572,470,446,373,817,357,298
2020년06월_여_70~79세,"4,428","1,024",262,638,394,361,330,364,490,308,257
2020년06월_여_80~89세,"2,358",528,148,300,193,155,189,165,329,199,152
2020년06월_여_90~99세,395,89,35,55,35,14,29,21,54,32,31
2020년06월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
