,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년04월_계_총인구수,"21,910","7,343","2,079","2,306","4,373","2,088","2,149","1,572"
2021년04월_계_연령구간인구수,"21,910","7,343","2,079","2,306","4,373","2,088","2,149","1,572"
2021년04월_계_0~9세,"1,105",535,65,69,241,49,79,67
2021년04월_계_10~19세,"1,640",740,114,120,354,94,135,83
2021년04월_계_20~29세,"1,617",638,130,137,363,123,146,80
2021년04월_계_30~39세,"1,507",660,111,119,299,118,119,81
2021년04월_계_40~49세,"2,517","1,013",188,199,560,183,224,150
2021년04월_계_50~59세,"3,629","1,135",339,370,760,361,400,264
2021년04월_계_60~69세,"4,309","1,206",402,555,810,511,445,380
2021년04월_계_70~79세,"3,098",843,375,421,543,354,328,234
2021년04월_계_80~89세,"2,174",503,307,272,390,254,246,202
2021년04월_계_90~99세,303,68,47,42,52,39,26,29
2021년04월_계_100세 이상,11,2,1,2,1,2,1,2
2021년04월_남_총인구수,"10,935","3,634","1,038","1,164","2,218","1,033","1,058",790
2021년04월_남_연령구간인구수,"10,935","3,634","1,038","1,164","2,218","1,033","1,058",790
2021년04월_남_0~9세,578,282,36,44,121,23,43,29
2021년04월_남_10~19세,830,351,63,66,199,48,61,42
2021년04월_남_20~29세,916,350,81,73,211,73,82,46
2021년04월_남_30~39세,784,326,64,70,152,70,64,38
2021년04월_남_40~49세,"1,426",552,116,122,302,107,126,101
2021년04월_남_50~59세,"2,046",634,192,206,437,206,226,145
2021년04월_남_60~69세,"2,204",585,203,293,418,263,230,212
2021년04월_남_70~79세,"1,360",360,171,192,247,148,138,104
2021년04월_남_80~89세,718,181,93,92,120,86,83,63
2021년04월_남_90~99세,71,12,19,6,11,9,5,9
2021년04월_남_100세 이상,2,1,0,0,0,0,0,1
2021년04월_여_총인구수,"10,975","3,709","1,041","1,142","2,155","1,055","1,091",782
2021년04월_여_연령구간인구수,"10,975","3,709","1,041","1,142","2,155","1,055","1,091",782
2021년04월_여_0~9세,527,253,29,25,120,26,36,38
2021년04월_여_10~19세,810,389,51,54,155,46,74,41
2021년04월_여_20~29세,701,288,49,64,152,50,64,34
2021년04월_여_30~39세,723,334,47,49,147,48,55,43
2021년04월_여_40~49세,"1,091",461,72,77,258,76,98,49
2021년04월_여_50~59세,"1,583",501,147,164,323,155,174,119
2021년04월_여_60~69세,"2,105",621,199,262,392,248,215,168
2021년04월_여_70~79세,"1,738",483,204,229,296,206,190,130
2021년04월_여_80~89세,"1,456",322,214,180,270,168,163,139
2021년04월_여_90~99세,232,56,28,36,41,30,21,20
2021년04월_여_100세 이상,9,1,1,2,1,2,1,1
