카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년09월_계_총인구수,"402,749","23,254","31,127","28,558","25,121","15,815","18,325","32,354","16,519","23,548","10,048","35,541","13,432","9,137","16,663","14,581","24,526","38,493","25,707"
2020년09월_계_연령구간인구수,"402,749","23,254","31,127","28,558","25,121","15,815","18,325","32,354","16,519","23,548","10,048","35,541","13,432","9,137","16,663","14,581","24,526","38,493","25,707"
2020년09월_계_0~9세,"28,766","1,346","2,860","2,806","1,846","1,254","1,292","2,126","1,140","1,786",526,"2,696",529,272,"1,323",397,998,"4,193","1,376"
2020년09월_계_10~19세,"38,437","1,635","3,181","3,123","2,300","1,131","2,110","2,951","1,855","3,066",515,"4,278",710,548,"1,589",824,"1,599","4,933","2,089"
2020년09월_계_20~29세,"49,335","3,100","3,537","2,947","3,246","1,715","2,829","5,103","1,996","3,049","1,225","4,262","1,509","1,017","2,194","1,677","2,527","4,180","3,222"
2020년09월_계_30~39세,"47,181","2,997","3,858","3,415","3,040","2,254","2,110","4,494","1,737","2,396","1,331","3,752","1,627",844,"2,097","1,193","2,089","4,949","2,998"
2020년09월_계_40~49세,"66,179","3,554","5,357","4,973","4,287","2,688","3,316","5,102","2,571","4,159","1,312","6,374","1,805","1,191","2,643","1,851","3,279","7,792","3,925"
2020년09월_계_50~59세,"70,524","3,908","5,374","4,848","4,436","2,775","3,146","5,765","3,026","4,317","1,764","6,345","2,493","1,781","3,054","2,789","4,395","5,473","4,835"
2020년09월_계_60~69세,"57,098","3,645","3,857","3,745","3,261","2,401","1,775","3,715","2,196","2,605","1,890","4,621","2,539","1,850","2,410","2,826","5,076","4,230","4,456"
2020년09월_계_70~79세,"30,669","2,163","2,074","1,841","1,825","1,134","1,059","1,960","1,209","1,362",966,"2,196","1,572","1,121",999,"2,065","3,139","1,987","1,997"
2020년09월_계_80~89세,"12,714",772,876,751,775,397,611,"1,017",698,707,453,884,576,457,309,826,"1,236",654,715
2020년09월_계_90~99세,"1,687",108,146,105,89,58,75,120,91,101,62,129,57,50,43,106,164,96,87
2020년09월_계_100세 이상,159,26,7,4,16,8,2,1,0,0,4,4,15,6,2,27,24,6,7
2020년09월_남_총인구수,"193,893","11,123","14,849","13,449","12,062","7,523","8,564","14,943","7,776","11,240","4,868","17,623","6,518","4,473","8,205","7,337","11,907","18,945","12,488"
2020년09월_남_연령구간인구수,"193,893","11,123","14,849","13,449","12,062","7,523","8,564","14,943","7,776","11,240","4,868","17,623","6,518","4,473","8,205","7,337","11,907","18,945","12,488"
2020년09월_남_0~9세,"14,884",668,"1,482","1,450",967,626,654,"1,089",573,953,291,"1,405",264,143,677,198,520,"2,212",712
2020년09월_남_10~19세,"19,861",838,"1,608","1,560","1,199",579,"1,125","1,524",958,"1,563",277,"2,241",370,290,814,439,830,"2,585","1,061"
2020년09월_남_20~29세,"25,809","1,549","1,852","1,532","1,663",902,"1,334","2,404","1,080","1,610",668,"2,332",842,547,"1,193",943,"1,398","2,175","1,785"
2020년09월_남_30~39세,"22,978","1,481","1,772","1,450","1,467","1,085",950,"2,117",824,"1,111",720,"1,816",910,489,"1,050",703,"1,155","2,321","1,557"
2020년09월_남_40~49세,"31,396","1,714","2,453","2,265","1,969","1,306","1,440","2,224","1,136","1,836",703,"2,977",936,649,"1,284","1,057","1,779","3,724","1,944"
2020년09월_남_50~59세,"33,531","1,830","2,580","2,224","2,114","1,245","1,546","2,604","1,418","2,045",777,"3,191","1,192",872,"1,418","1,433","2,131","2,698","2,213"
2020년09월_남_60~69세,"27,003","1,694","1,783","1,766","1,554","1,126",852,"1,772","1,023","1,274",868,"2,278","1,151",827,"1,187","1,385","2,393","2,005","2,065"
2020년09월_남_70~79세,"13,524","1,003",951,866,792,493,415,806,495,575,409,"1,038",654,493,490,855,"1,303",966,920
2020년09월_남_80~89세,"4,499",317,335,307,310,144,219,374,239,250,146,314,183,149,84,297,366,244,221
2020년09월_남_90~99세,364,22,31,27,24,15,28,29,30,23,9,28,14,12,7,17,26,13,9
2020년09월_남_100세 이상,44,7,2,2,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년09월_여_총인구수,"208,856","12,131","16,278","15,109","13,059","8,292","9,761","17,411","8,743","12,308","5,180","17,918","6,914","4,664","8,458","7,244","12,619","19,548","13,219"
2020년09월_여_연령구간인구수,"208,856","12,131","16,278","15,109","13,059","8,292","9,761","17,411","8,743","12,308","5,180","17,918","6,914","4,664","8,458","7,244","12,619","19,548","13,219"
2020년09월_여_0~9세,"13,882",678,"1,378","1,356",879,628,638,"1,037",567,833,235,"1,291",265,129,646,199,478,"1,981",664
2020년09월_여_10~19세,"18,576",797,"1,573","1,563","1,101",552,985,"1,427",897,"1,503",238,"2,037",340,258,775,385,769,"2,348","1,028"
2020년09월_여_20~29세,"23,526","1,551","1,685","1,415","1,583",813,"1,495","2,699",916,"1,439",557,"1,930",667,470,"1,001",734,"1,129","2,005","1,437"
2020년09월_여_30~39세,"24,203","1,516","2,086","1,965","1,573","1,169","1,160","2,377",913,"1,285",611,"1,936",717,355,"1,047",490,934,"2,628","1,441"
2020년09월_여_40~49세,"34,783","1,840","2,904","2,708","2,318","1,382","1,876","2,878","1,435","2,323",609,"3,397",869,542,"1,359",794,"1,500","4,068","1,981"
2020년09월_여_50~59세,"36,993","2,078","2,794","2,624","2,322","1,530","1,600","3,161","1,608","2,272",987,"3,154","1,301",909,"1,636","1,356","2,264","2,775","2,622"
2020년09월_여_60~69세,"30,095","1,951","2,074","1,979","1,707","1,275",923,"1,943","1,173","1,331","1,022","2,343","1,388","1,023","1,223","1,441","2,683","2,225","2,391"
2020년09월_여_70~79세,"17,145","1,160","1,123",975,"1,033",641,644,"1,154",714,787,557,"1,158",918,628,509,"1,210","1,836","1,021","1,077"
2020년09월_여_80~89세,"8,215",455,541,444,465,253,392,643,459,457,307,570,393,308,225,529,870,410,494
2020년09월_여_90~99세,"1,323",86,115,78,65,43,47,91,61,78,53,101,43,38,36,89,138,83,78
2020년09월_여_100세 이상,115,19,5,2,13,6,1,1,0,0,4,1,13,4,1,17,18,4,6
