카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년04월_계_총인구수,"510,098","44,784","36,284","9,961","55,843","12,130","42,276","22,041","16,016","20,309","22,544","32,129","22,937","21,351","71,201","1,977","23,855","31,092","23,368"
2021년04월_계_연령구간인구수,"510,098","44,784","36,284","9,961","55,843","12,130","42,276","22,041","16,016","20,309","22,544","32,129","22,937","21,351","71,201","1,977","23,855","31,092","23,368"
2021년04월_계_0~9세,"49,119","3,497","1,603",437,"7,330",666,"5,843","1,531","1,376","1,141","1,277","2,379","1,709","1,649","10,859",39,"1,717","3,681","2,385"
2021년04월_계_10~19세,"50,411","3,519","3,205",736,"5,689","1,185","3,343","2,188","1,484","1,109","1,962","3,539","2,122","2,689","8,063",52,"2,858","3,964","2,704"
2021년04월_계_20~29세,"70,298","6,801","5,875","1,402","6,674","1,658","4,199","2,880","1,882","3,228","3,801","5,189","3,071","3,570","9,090",160,"3,693","3,933","3,192"
2021년04월_계_30~39세,"78,769","6,975","3,900",965,"9,820","1,104","8,320","2,652","2,349","4,010","3,341","4,335","3,142","2,423","14,456",175,"2,585","4,690","3,527"
2021년04월_계_40~49세,"92,133","6,586","5,241","1,298","9,733","1,926","7,498","3,833","3,178","4,202","4,542","6,153","4,605","3,822","14,862",179,"4,189","6,179","4,107"
2021년04월_계_50~59세,"88,712","8,573","8,075","2,212","8,630","2,479","5,726","4,089","2,704","3,766","4,327","6,233","4,576","4,333","8,612",467,"4,849","5,100","3,961"
2021년04월_계_60~69세,"50,081","5,592","5,195","1,711","5,120","1,701","4,617","2,849","1,796","1,877","2,158","2,642","2,353","1,659","3,784",567,"2,244","2,175","2,041"
2021년04월_계_70~79세,"19,781","2,040","2,103",758,"1,848",891,"1,835","1,301",835,664,746,"1,021",879,730,"1,032",228,"1,074",895,901
2021년04월_계_80~89세,"9,269","1,023",944,377,844,451,755,621,357,268,333,567,399,434,377,87,557,408,467
2021년04월_계_90~99세,"1,422",170,120,56,150,66,126,86,51,41,54,68,79,41,65,19,84,65,81
2021년04월_계_100세 이상,103,8,23,9,5,3,14,11,4,3,3,3,2,1,1,4,5,2,2
2021년04월_남_총인구수,"266,410","22,725","18,752","5,232","27,911","6,359","21,412","11,562","8,346","12,799","13,306","17,360","12,914","10,577","36,487","1,209","12,146","15,690","11,623"
2021년04월_남_연령구간인구수,"266,410","22,725","18,752","5,232","27,911","6,359","21,412","11,562","8,346","12,799","13,306","17,360","12,914","10,577","36,487","1,209","12,146","15,690","11,623"
2021년04월_남_0~9세,"24,972","1,798",861,217,"3,707",321,"2,948",793,680,575,633,"1,195",869,854,"5,499",20,888,"1,885","1,229"
2021년04월_남_10~19세,"25,928","1,809","1,670",387,"2,904",624,"1,713","1,137",782,575,"1,022","1,825","1,105","1,369","4,055",29,"1,492","2,062","1,368"
2021년04월_남_20~29세,"38,173","3,557","3,198",781,"3,414",967,"2,146","1,591","1,007","2,116","2,433","3,013","1,762","1,834","4,779",99,"1,945","1,983","1,548"
2021년04월_남_30~39세,"42,109","3,644","2,170",551,"4,846",584,"4,165","1,493","1,248","2,740","2,105","2,518","1,873","1,226","7,346",119,"1,344","2,297","1,840"
2021년04월_남_40~49세,"49,611","3,397","2,748",678,"5,022","1,023","4,082","2,130","1,745","2,831","2,826","3,394","2,801","1,800","7,881",128,"2,054","3,084","1,987"
2021년04월_남_50~59세,"46,652","4,242","4,137","1,167","4,271","1,373","2,861","2,146","1,475","2,400","2,609","3,309","2,591","2,167","4,345",294,"2,551","2,683","2,031"
2021년04월_남_60~69세,"26,609","2,976","2,755",931,"2,613",907,"2,344","1,450",866,"1,122","1,227","1,466","1,353",884,"1,976",344,"1,190","1,156","1,049"
2021년04월_남_70~79세,"9,018",944,921,365,864,404,891,584,394,344,334,429,406,281,471,132,461,393,400
2021년04월_남_80~89세,"3,027",326,263,131,245,137,234,221,138,88,109,191,144,148,126,37,205,132,152
2021년04월_남_90~99세,281,31,26,19,24,18,24,14,9,7,6,20,9,14,9,5,14,14,18
2021년04월_남_100세 이상,30,1,3,5,1,1,4,3,2,1,2,0,1,0,0,2,2,1,1
2021년04월_여_총인구수,"243,688","22,059","17,532","4,729","27,932","5,771","20,864","10,479","7,670","7,510","9,238","14,769","10,023","10,774","34,714",768,"11,709","15,402","11,745"
2021년04월_여_연령구간인구수,"243,688","22,059","17,532","4,729","27,932","5,771","20,864","10,479","7,670","7,510","9,238","14,769","10,023","10,774","34,714",768,"11,709","15,402","11,745"
2021년04월_여_0~9세,"24,147","1,699",742,220,"3,623",345,"2,895",738,696,566,644,"1,184",840,795,"5,360",19,829,"1,796","1,156"
2021년04월_여_10~19세,"24,483","1,710","1,535",349,"2,785",561,"1,630","1,051",702,534,940,"1,714","1,017","1,320","4,008",23,"1,366","1,902","1,336"
