카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년10월_계_총인구수,"47,603","21,049","3,341","4,369","2,263","1,949","2,400","3,253",959,"2,855","1,877","3,288"
2020년10월_계_연령구간인구수,"47,603","21,049","3,341","4,369","2,263","1,949","2,400","3,253",959,"2,855","1,877","3,288"
2020년10월_계_0~9세,"2,397","1,551",108,173,49,57,74,110,31,87,51,106
2020년10월_계_10~19세,"3,436","2,096",151,310,120,94,109,181,48,113,77,137
2020년10월_계_20~29세,"4,483","2,742",239,295,146,119,112,330,46,158,104,192
2020년10월_계_30~39세,"3,309","1,976",169,269,102,76,110,183,39,125,75,185
2020년10월_계_40~49세,"5,411","3,078",316,430,206,155,187,275,69,220,180,295
2020년10월_계_50~59세,"8,518","3,547",663,816,447,366,416,629,182,518,344,590
2020년10월_계_60~69세,"9,091","2,971",791,970,509,471,580,680,221,705,416,777
2020년10월_계_70~79세,"6,519","1,974",498,680,397,322,476,511,185,514,357,605
2020년10월_계_80~89세,"3,870",987,353,382,249,259,281,316,118,350,224,351
2020년10월_계_90~99세,531,113,47,39,37,29,52,37,19,61,49,48
2020년10월_계_100세 이상,38,14,6,5,1,1,3,1,1,4,0,2
2020년10월_남_총인구수,"23,662","10,387","1,697","2,197","1,111",959,"1,165","1,657",472,"1,438",935,"1,644"
2020년10월_남_연령구간인구수,"23,662","10,387","1,697","2,197","1,111",959,"1,165","1,657",472,"1,438",935,"1,644"
2020년10월_남_0~9세,"1,234",789,59,97,23,30,31,49,18,53,29,56
2020년10월_남_10~19세,"1,772","1,064",74,163,59,53,67,103,27,53,39,70
2020년10월_남_20~29세,"2,517","1,460",140,177,92,69,66,217,23,98,65,110
2020년10월_남_30~39세,"1,749","1,004",101,140,56,42,60,105,24,70,47,100
2020년10월_남_40~49세,"2,938","1,570",174,245,114,96,109,160,43,147,103,177
2020년10월_남_50~59세,"4,506","1,814",368,443,240,197,224,339,101,282,185,313
2020년10월_남_60~69세,"4,623","1,488",412,503,249,241,299,342,116,352,222,399
2020년10월_남_70~79세,"2,858",834,247,289,178,133,208,219,77,237,159,277
2020년10월_남_80~89세,"1,325",336,110,132,90,90,89,114,37,131,69,127
2020년10월_남_90~99세,129,23,11,7,9,8,11,9,6,14,17,14
2020년10월_남_100세 이상,11,5,1,1,1,0,1,0,0,1,0,1
2020년10월_여_총인구수,"23,941","10,662","1,644","2,172","1,152",990,"1,235","1,596",487,"1,417",942,"1,644"
2020년10월_여_연령구간인구수,"23,941","10,662","1,644","2,172","1,152",990,"1,235","1,596",487,"1,417",942,"1,644"
2020년10월_여_0~9세,"1,163",762,49,76,26,27,43,61,13,34,22,50
2020년10월_여_10~19세,"1,664","1,032",77,147,61,41,42,78,21,60,38,67
2020년10월_여_20~29세,"1,966","1,282",99,118,54,50,46,113,23,60,39,82
2020년10월_여_30~39세,"1,560",972,68,129,46,34,50,78,15,55,28,85
2020년10월_여_40~49세,"2,473","1,508",142,185,92,59,78,115,26,73,77,118
2020년10월_여_50~59세,"4,012","1,733",295,373,207,169,192,290,81,236,159,277
2020년10월_여_60~69세,"4,468","1,483",379,467,260,230,281,338,105,353,194,378
2020년10월_여_70~79세,"3,661","1,140",251,391,219,189,268,292,108,277,198,328
2020년10월_여_80~89세,"2,545",651,243,250,159,169,192,202,81,219,155,224
2020년10월_여_90~99세,402,90,36,32,28,21,41,28,13,47,32,34
2020년10월_여_100세 이상,27,9,5,4,0,1,2,1,1,3,0,1
