,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년07월_계_총인구수,"38,064","20,840","1,052","1,444","1,713","2,106","2,248","1,218","1,670","3,751","2,022"
2021년07월_계_연령구간인구수,"38,064","20,840","1,052","1,444","1,713","2,106","2,248","1,218","1,670","3,751","2,022"
2021년07월_계_0~9세,"1,590","1,228",19,31,27,33,40,43,43,86,40
2021년07월_계_10~19세,"2,859","2,127",32,50,78,88,102,38,61,206,77
2021년07월_계_20~29세,"3,149","2,226",47,70,83,126,117,97,93,207,83
2021년07월_계_30~39세,"2,685","1,848",46,53,51,104,116,75,117,183,92
2021년07월_계_40~49세,"4,381","2,875",104,107,150,184,215,110,156,310,170
2021년07월_계_50~59세,"7,123","3,739",190,320,373,423,417,259,290,728,384
2021년07월_계_60~69세,"8,337","3,470",276,397,512,565,649,323,438,"1,059",648
2021년07월_계_70~79세,"4,769","2,068",188,245,261,341,348,164,273,531,350
2021년07월_계_80~89세,"2,804","1,118",137,155,155,210,209,102,172,390,156
2021년07월_계_90~99세,346,137,13,16,23,25,30,7,26,47,22
2021년07월_계_100세 이상,21,4,0,0,0,7,5,0,1,4,0
2021년07월_남_총인구수,"19,724","10,670",546,753,894,"1,101","1,194",685,911,"1,929","1,041"
2021년07월_남_연령구간인구수,"19,724","10,670",546,753,894,"1,101","1,194",685,911,"1,929","1,041"
2021년07월_남_0~9세,838,656,12,12,13,17,18,21,27,43,19
2021년07월_남_10~19세,"1,548","1,163",17,24,40,36,54,24,24,124,42
2021년07월_남_20~29세,"1,838","1,271",31,43,53,80,76,63,57,118,46
2021년07월_남_30~39세,"1,462",965,22,35,32,60,76,41,84,103,44
2021년07월_남_40~49세,"2,372","1,449",69,68,82,118,131,65,109,177,104
2021년07월_남_50~59세,"3,966","2,054",112,177,202,244,249,164,173,389,202
2021년07월_남_60~69세,"4,401","1,768",150,234,276,311,347,177,240,566,332
2021년07월_남_70~79세,"2,182",909,85,100,134,148,168,87,121,252,178
2021년07월_남_80~89세,"1,012",398,47,54,57,77,65,41,64,142,67
2021년07월_남_90~99세,97,36,1,6,5,7,8,2,11,14,7
2021년07월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0
2021년07월_여_총인구수,"18,340","10,170",506,691,819,"1,005","1,054",533,759,"1,822",981
2021년07월_여_연령구간인구수,"18,340","10,170",506,691,819,"1,005","1,054",533,759,"1,822",981
2021년07월_여_0~9세,752,572,7,19,14,16,22,22,16,43,21
2021년07월_여_10~19세,"1,311",964,15,26,38,52,48,14,37,82,35
2021년07월_여_20~29세,"1,311",955,16,27,30,46,41,34,36,89,37
2021년07월_여_30~39세,"1,223",883,24,18,19,44,40,34,33,80,48
2021년07월_여_40~49세,"2,009","1,426",35,39,68,66,84,45,47,133,66
2021년07월_여_50~59세,"3,157","1,685",78,143,171,179,168,95,117,339,182
2021년07월_여_60~69세,"3,936","1,702",126,163,236,254,302,146,198,493,316
2021년07월_여_70~79세,"2,587","1,159",103,145,127,193,180,77,152,279,172
2021년07월_여_80~89세,"1,792",720,90,101,98,133,144,61,108,248,89
2021년07월_여_90~99세,249,101,12,10,18,18,22,5,15,33,15
2021년07월_여_100세 이상,13,3,0,0,0,4,3,0,0,3,0
