카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년04월_계_총인구수,"54,229","8,357","14,884","6,709","1,905","2,082","3,842","3,649","2,309","3,227","1,960","2,996","2,309"
2020년04월_계_연령구간인구수,"54,229","8,357","14,884","6,709","1,905","2,082","3,842","3,649","2,309","3,227","1,960","2,996","2,309"
2020년04월_계_0~9세,"3,856",667,"1,675",696,72,53,123,115,70,108,73,125,79
2020년04월_계_10~19세,"4,609",809,"1,821",736,101,86,204,154,115,180,85,206,112
2020년04월_계_20~29세,"5,001",868,"1,515",851,126,123,289,253,181,247,125,261,162
2020년04월_계_30~39세,"5,117",784,"1,975",972,112,103,250,201,138,159,110,163,150
2020년04월_계_40~49세,"7,650","1,078","2,896","1,338",182,199,390,350,205,313,165,306,228
2020년04월_계_50~59세,"9,420","1,490","2,420","1,281",318,383,697,623,437,553,311,510,397
2020년04월_계_60~69세,"7,763","1,131","1,368",470,336,421,776,794,448,596,381,559,483
2020년04월_계_70~79세,"6,324",909,813,231,323,409,650,683,397,637,389,483,400
2020년04월_계_80~89세,"3,941",522,361,113,299,270,410,416,290,377,281,327,275
2020년04월_계_90~99세,514,95,37,20,32,35,47,58,25,55,36,53,21
2020년04월_계_100세 이상,34,4,3,1,4,0,6,2,3,2,4,3,2
2020년04월_남_총인구수,"27,860","4,131","7,899","3,852",933,"1,041","1,920","1,810","1,176","1,546",936,"1,464","1,152"
2020년04월_남_연령구간인구수,"27,860","4,131","7,899","3,852",933,"1,041","1,920","1,810","1,176","1,546",936,"1,464","1,152"
2020년04월_남_0~9세,"1,940",354,794,357,45,23,50,69,47,68,30,64,39
2020년04월_남_10~19세,"2,469",425,977,389,45,53,111,90,73,99,51,104,52
2020년04월_남_20~29세,"2,824",475,789,520,71,67,192,152,109,142,70,142,95
2020년04월_남_30~39세,"2,836",397,"1,031",587,74,61,147,120,84,90,63,89,93
2020년04월_남_40~49세,"4,539",570,"1,714",820,110,121,226,239,125,190,111,173,140
2020년04월_남_50~59세,"5,372",786,"1,411",792,202,228,375,351,244,300,175,289,219
2020년04월_남_60~69세,"3,912",544,717,258,153,235,395,385,245,282,183,269,246
2020년04월_남_70~79세,"2,632",399,357,98,127,168,270,291,153,247,151,203,168
2020년04월_남_80~89세,"1,221",158,100,27,93,76,142,106,90,118,98,116,97
2020년04월_남_90~99세,108,22,8,4,12,9,9,7,6,10,3,15,3
2020년04월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년04월_여_총인구수,"26,369","4,226","6,985","2,857",972,"1,041","1,922","1,839","1,133","1,681","1,024","1,532","1,157"
2020년04월_여_연령구간인구수,"26,369","4,226","6,985","2,857",972,"1,041","1,922","1,839","1,133","1,681","1,024","1,532","1,157"
2020년04월_여_0~9세,"1,916",313,881,339,27,30,73,46,23,40,43,61,40
2020년04월_여_10~19세,"2,140",384,844,347,56,33,93,64,42,81,34,102,60
2020년04월_여_20~29세,"2,177",393,726,331,55,56,97,101,72,105,55,119,67
2020년04월_여_30~39세,"2,281",387,944,385,38,42,103,81,54,69,47,74,57
2020년04월_여_40~49세,"3,111",508,"1,182",518,72,78,164,111,80,123,54,133,88
2020년04월_여_50~59세,"4,048",704,"1,009",489,116,155,322,272,193,253,136,221,178
2020년04월_여_60~69세,"3,851",587,651,212,183,186,381,409,203,314,198,290,237
2020년04월_여_70~79세,"3,692",510,456,133,196,241,380,392,244,390,238,280,232
2020년04월_여_80~89세,"2,720",364,261,86,206,194,268,310,200,259,183,211,178
2020년04월_여_90~99세,406,73,29,16,20,26,38,51,19,45,33,38,18
2020년04월_여_100세 이상,27,3,2,1,3,0,3,2,3,2,3,3,2
