카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년11월_계_총인구수,"83,621","29,961","28,086",0,"3,235","3,540","2,082","6,085","10,632"
2020년11월_계_연령구간인구수,"83,621","29,961","28,086",0,"3,235","3,540","2,082","6,085","10,632"
2020년11월_계_0~9세,"7,738","2,268","4,243",0,83,127,52,202,763
2020년11월_계_10~19세,"8,140","3,237","2,920",0,191,138,77,392,"1,185"
2020년11월_계_20~29세,"9,216","3,853","3,022",0,206,284,101,529,"1,221"
2020년11월_계_30~39세,"11,531","3,206","6,006",0,177,266,121,463,"1,292"
2020년11월_계_40~49세,"13,498","4,987","5,132",0,309,362,170,716,"1,822"
2020년11월_계_50~59세,"13,772","5,343","3,329",0,650,754,385,"1,233","2,078"
2020년11월_계_60~69세,"10,249","3,668","1,999",0,722,779,552,"1,267","1,262"
2020년11월_계_70~79세,"5,533","2,086",838,0,473,456,337,721,622
2020년11월_계_80~89세,"3,465","1,160",530,0,380,326,249,480,340
2020년11월_계_90~99세,459,148,63,0,43,46,35,77,47
2020년11월_계_100세 이상,20,5,4,0,1,2,3,5,0
2020년11월_남_총인구수,"43,802","15,377","14,855",0,"1,662","1,849","1,061","3,211","5,787"
2020년11월_남_연령구간인구수,"43,802","15,377","14,855",0,"1,662","1,849","1,061","3,211","5,787"
2020년11월_남_0~9세,"3,989","1,188","2,170",0,42,62,26,107,394
2020년11월_남_10~19세,"4,269","1,709","1,489",0,98,69,42,201,661
2020년11월_남_20~29세,"5,320","2,200","1,704",0,122,167,65,335,727
2020년11월_남_30~39세,"6,310","1,690","3,258",0,112,153,71,272,754
2020년11월_남_40~49세,"7,376","2,596","2,843",0,189,228,103,420,997
2020년11월_남_50~59세,"7,515","2,870","1,798",0,374,415,221,688,"1,149"
2020년11월_남_60~69세,"5,233","1,766","1,000",0,385,421,284,687,690
2020년11월_남_70~79세,"2,525",936,383,0,218,220,150,334,284
2020년11월_남_80~89세,"1,175",390,195,0,115,103,92,155,125
2020년11월_남_90~99세,85,30,15,0,7,10,7,10,6
2020년11월_남_100세 이상,5,2,0,0,0,1,0,2,0
2020년11월_여_총인구수,"39,819","14,584","13,231",0,"1,573","1,691","1,021","2,874","4,845"
2020년11월_여_연령구간인구수,"39,819","14,584","13,231",0,"1,573","1,691","1,021","2,874","4,845"
2020년11월_여_0~9세,"3,749","1,080","2,073",0,41,65,26,95,369
2020년11월_여_10~19세,"3,871","1,528","1,431",0,93,69,35,191,524
2020년11월_여_20~29세,"3,896","1,653","1,318",0,84,117,36,194,494
2020년11월_여_30~39세,"5,221","1,516","2,748",0,65,113,50,191,538
2020년11월_여_40~49세,"6,122","2,391","2,289",0,120,134,67,296,825
2020년11월_여_50~59세,"6,257","2,473","1,531",0,276,339,164,545,929
2020년11월_여_60~69세,"5,016","1,902",999,0,337,358,268,580,572
2020년11월_여_70~79세,"3,008","1,150",455,0,255,236,187,387,338
2020년11월_여_80~89세,"2,290",770,335,0,265,223,157,325,215
2020년11월_여_90~99세,374,118,48,0,36,36,28,67,41
2020년11월_여_100세 이상,15,3,4,0,1,1,3,3,0
