카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년07월_계_총인구수,"21,854","7,321","2,072","2,306","4,374","2,072","2,129","1,580"
2021년07월_계_연령구간인구수,"21,854","7,321","2,072","2,306","4,374","2,072","2,129","1,580"
2021년07월_계_0~9세,"1,071",523,64,64,235,47,73,65
2021년07월_계_10~19세,"1,651",739,116,123,356,94,136,87
2021년07월_계_20~29세,"1,597",639,125,134,360,121,144,74
2021년07월_계_30~39세,"1,464",640,106,115,303,105,113,82
2021년07월_계_40~49세,"2,462",997,176,193,546,175,223,152
2021년07월_계_50~59세,"3,638","1,141",352,372,756,361,394,262
2021년07월_계_60~69세,"4,358","1,221",407,559,830,509,437,395
2021년07월_계_70~79세,"3,102",836,372,424,539,365,338,228
2021년07월_계_80~89세,"2,197",516,305,278,402,252,240,204
2021년07월_계_90~99세,302,67,48,41,46,41,29,30
2021년07월_계_100세 이상,12,2,1,3,1,2,2,1
2021년07월_남_총인구수,"10,906","3,619","1,042","1,166","2,212","1,022","1,048",797
2021년07월_남_연령구간인구수,"10,906","3,619","1,042","1,166","2,212","1,022","1,048",797
2021년07월_남_0~9세,562,278,36,39,121,21,39,28
2021년07월_남_10~19세,840,348,66,68,200,49,65,44
2021년07월_남_20~29세,907,354,79,73,207,73,78,43
2021년07월_남_30~39세,756,314,63,68,152,62,60,37
2021년07월_남_40~49세,"1,394",545,108,119,293,100,127,102
2021년07월_남_50~59세,"2,052",636,199,214,424,209,224,146
2021년07월_남_60~69세,"2,232",594,207,289,435,259,226,222
2021년07월_남_70~79세,"1,371",356,170,195,248,157,141,104
2021년07월_남_80~89세,717,182,95,95,121,81,82,61
2021년07월_남_90~99세,73,11,19,6,11,11,5,10
2021년07월_남_100세 이상,2,1,0,0,0,0,1,0
2021년07월_여_총인구수,"10,948","3,702","1,030","1,140","2,162","1,050","1,081",783
2021년07월_여_연령구간인구수,"10,948","3,702","1,030","1,140","2,162","1,050","1,081",783
2021년07월_여_0~9세,509,245,28,25,114,26,34,37
2021년07월_여_10~19세,811,391,50,55,156,45,71,43
2021년07월_여_20~29세,690,285,46,61,153,48,66,31
2021년07월_여_30~39세,708,326,43,47,151,43,53,45
2021년07월_여_40~49세,"1,068",452,68,74,253,75,96,50
2021년07월_여_50~59세,"1,586",505,153,158,332,152,170,116
2021년07월_여_60~69세,"2,126",627,200,270,395,250,211,173
2021년07월_여_70~79세,"1,731",480,202,229,291,208,197,124
2021년07월_여_80~89세,"1,480",334,210,183,281,171,158,143
2021년07월_여_90~99세,229,56,29,35,35,30,24,20
2021년07월_여_100세 이상,10,1,1,3,1,2,1,1
