카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년10월_계_총인구수,"157,319","40,401","5,821","20,001","11,847","15,083","21,051","8,973","21,793","12,349"
2020년10월_계_연령구간인구수,"157,319","40,401","5,821","20,001","11,847","15,083","21,051","8,973","21,793","12,349"
2020년10월_계_0~9세,"15,131","3,700",243,"2,211",949,"1,397","2,136",724,"2,466","1,305"
2020년10월_계_10~19세,"15,576","4,113",363,"1,919","1,180","1,368","2,312",913,"2,134","1,274"
2020년10월_계_20~29세,"17,893","4,634",731,"2,044","1,545","1,937","2,442",924,"2,458","1,178"
2020년10월_계_30~39세,"23,378","6,024",787,"3,021","1,549","2,270","2,770","1,171","3,916","1,870"
2020년10월_계_40~49세,"25,982","7,256",831,"3,254","1,975","2,306","3,476","1,408","3,414","2,062"
2020년10월_계_50~59세,"25,899","6,660","1,072","3,253","2,309","2,387","3,849","1,435","3,050","1,884"
2020년10월_계_60~69세,"22,469","5,281","1,144","2,749","1,643","2,196","2,812","1,584","3,214","1,846"
2020년10월_계_70~79세,"8,152","1,990",491,"1,096",496,953,920,626,910,670
2020년10월_계_80~89세,"2,451",624,142,401,180,231,284,163,199,227
2020년10월_계_90~99세,362,112,16,49,19,34,48,24,30,30
2020년10월_계_100세 이상,26,7,1,4,2,4,2,1,2,3
2020년10월_남_총인구수,"82,261","21,659","3,143","10,313","6,209","7,816","10,754","4,591","11,519","6,257"
2020년10월_남_연령구간인구수,"82,261","21,659","3,143","10,313","6,209","7,816","10,754","4,591","11,519","6,257"
2020년10월_남_0~9세,"7,736","1,888",128,"1,123",477,738,"1,045",369,"1,297",671
2020년10월_남_10~19세,"8,222","2,189",189,"1,008",638,745,"1,189",470,"1,149",645
2020년10월_남_20~29세,"10,081","2,653",417,"1,138",856,"1,015","1,366",543,"1,439",654
2020년10월_남_30~39세,"12,891","3,498",499,"1,549",865,"1,245","1,437",622,"2,179",997
2020년10월_남_40~49세,"14,116","4,125",490,"1,788","1,029","1,242","1,789",744,"1,840","1,069"
2020년10월_남_50~59세,"12,835","3,455",554,"1,658","1,164","1,160","1,903",680,"1,382",879
2020년10월_남_60~69세,"11,379","2,684",559,"1,386",863,"1,068","1,434",791,"1,642",952
2020년10월_남_70~79세,"4,155",971,253,540,248,511,487,319,508,318
2020년10월_남_80~89세,791,189,49,113,68,82,98,51,76,65
2020년10월_남_90~99세,50,7,5,10,1,7,5,2,6,7
2020년10월_남_100세 이상,5,0,0,0,0,3,1,0,1,0
2020년10월_여_총인구수,"75,058","18,742","2,678","9,688","5,638","7,267","10,297","4,382","10,274","6,092"
2020년10월_여_연령구간인구수,"75,058","18,742","2,678","9,688","5,638","7,267","10,297","4,382","10,274","6,092"
2020년10월_여_0~9세,"7,395","1,812",115,"1,088",472,659,"1,091",355,"1,169",634
2020년10월_여_10~19세,"7,354","1,924",174,911,542,623,"1,123",443,985,629
2020년10월_여_20~29세,"7,812","1,981",314,906,689,922,"1,076",381,"1,019",524
2020년10월_여_30~39세,"10,487","2,526",288,"1,472",684,"1,025","1,333",549,"1,737",873
2020년10월_여_40~49세,"11,866","3,131",341,"1,466",946,"1,064","1,687",664,"1,574",993
2020년10월_여_50~59세,"13,064","3,205",518,"1,595","1,145","1,227","1,946",755,"1,668","1,005"
2020년10월_여_60~69세,"11,090","2,597",585,"1,363",780,"1,128","1,378",793,"1,572",894
2020년10월_여_70~79세,"3,997","1,019",238,556,248,442,433,307,402,352
2020년10월_여_80~89세,"1,660",435,93,288,112,149,186,112,123,162
2020년10월_여_90~99세,312,105,11,39,18,27,43,22,24,23
2020년10월_여_100세 이상,21,7,1,4,2,1,1,1,1,3
