,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년05월_계_총인구수,"214,775","10,463","17,098","8,777","4,552","11,270","12,970","18,779","33,422","22,845","22,293","20,371","10,902","21,033"
2021년05월_계_연령구간인구수,"214,775","10,463","17,098","8,777","4,552","11,270","12,970","18,779","33,422","22,845","22,293","20,371","10,902","21,033"
2021년05월_계_0~9세,"16,013",457,"1,328",406,207,908,426,"1,276","3,336","1,018","1,445","1,982","1,299","1,925"
2021년05월_계_10~19세,"19,724",664,"1,297",591,294,"1,085",634,"1,554","3,675","1,969","2,232","1,922","1,269","2,538"
2021년05월_계_20~29세,"25,984","1,129","2,097","1,248",547,"1,479","1,529","2,236","3,741","3,109","2,897","2,198","1,308","2,466"
2021년05월_계_30~39세,"25,748","1,121","2,385","1,047",492,"1,571","1,287","2,302","4,261","2,022","2,281","2,776","1,654","2,549"
2021년05월_계_40~49세,"33,627","1,431","2,606","1,117",526,"1,774","1,568","2,741","5,919","3,286","3,243","3,387","1,819","4,210"
2021년05월_계_50~59세,"40,571","1,871","3,323","1,750",917,"2,040","2,530","3,414","5,777","5,031","4,695","3,612","1,961","3,650"
2021년05월_계_60~69세,"32,719","2,062","2,641","1,527",959,"1,474","2,837","3,144","4,360","3,824","3,571","2,955","1,066","2,299"
2021년05월_계_70~79세,"14,474","1,240","1,033",791,442,665,"1,518","1,444","1,718","1,792","1,402","1,084",366,979
2021년05월_계_80~89세,"5,276",432,343,264,154,243,585,607,549,725,467,414,138,355
2021년05월_계_90~99세,624,54,43,36,14,31,55,61,84,69,57,40,21,59
2021년05월_계_100세 이상,15,2,2,0,0,0,1,0,2,0,3,1,1,3
2021년05월_남_총인구수,"108,746","5,345","8,866","4,467","2,298","5,611","6,689","9,403","16,647","11,611","11,300","10,297","5,476","10,736"
2021년05월_남_연령구간인구수,"108,746","5,345","8,866","4,467","2,298","5,611","6,689","9,403","16,647","11,611","11,300","10,297","5,476","10,736"
2021년05월_남_0~9세,"8,250",233,668,218,122,440,229,690,"1,774",504,728,998,654,992
2021년05월_남_10~19세,"10,528",345,675,319,161,573,328,839,"1,931","1,092","1,215","1,030",674,"1,346"
2021년05월_남_20~29세,"14,482",632,"1,161",667,299,815,872,"1,241","2,100","1,781","1,627","1,238",716,"1,333"
2021년05월_남_30~39세,"13,520",625,"1,299",589,286,843,782,"1,183","2,075","1,134","1,188","1,413",788,"1,315"
2021년05월_남_40~49세,"17,206",826,"1,406",596,275,869,864,"1,400","2,899","1,631","1,598","1,795",890,"2,157"
2021년05월_남_50~59세,"20,185",998,"1,721",860,433,980,"1,300","1,673","2,728","2,496","2,340","1,765",987,"1,904"
2021년05월_남_60~69세,"15,936",988,"1,293",727,470,682,"1,425","1,527","2,123","1,892","1,737","1,432",542,"1,098"
2021년05월_남_70~79세,"6,673",534,508,388,196,326,658,619,816,826,676,489,163,474
2021년05월_남_80~89세,"1,869",156,131,96,53,76,220,216,191,242,187,134,57,110
2021년05월_남_90~99세,95,8,4,7,3,7,11,15,10,13,4,2,5,6
2021년05월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년05월_여_총인구수,"106,029","5,118","8,232","4,310","2,254","5,659","6,281","9,376","16,775","11,234","10,993","10,074","5,426","10,297"
2021년05월_여_연령구간인구수,"106,029","5,118","8,232","4,310","2,254","5,659","6,281","9,376","16,775","11,234","10,993","10,074","5,426","10,297"
2021년05월_여_0~9세,"7,763",224,660,188,85,468,197,586,"1,562",514,717,984,645,933
2021년05월_여_10~19세,"9,196",319,622,272,133,512,306,715,"1,744",877,"1,017",892,595,"1,192"
2021년05월_여_20~29세,"11,502",497,936,581,248,664,657,995,"1,641","1,328","1,270",960,592,"1,133"
2021년05월_여_30~39세,"12,228",496,"1,086",458,206,728,505,"1,119","2,186",888,"1,093","1,363",866,"1,234"
2021년05월_여_40~49세,"16,421",605,"1,200",521,251,905,704,"1,341","3,020","1,655","1,645","1,592",929,"2,053"
2021년05월_여_50~59세,"20,386",873,"1,602",890,484,"1,060","1,230","1,741","3,049","2,535","2,355","1,847",974,"1,746"
2021년05월_여_60~69세,"16,783","1,074","1,348",800,489,792,"1,412","1,617","2,237","1,932","1,834","1,523",524,"1,201"
2021년05월_여_70~79세,"7,801",706,525,403,246,339,860,825,902,966,726,595,203,505
2021년05월_여_80~89세,"3,407",276,212,168,101,167,365,391,358,483,280,280,81,245
2021년05월_여_90~99세,529,46,39,29,11,24,44,46,74,56,53,38,16,53
2021년05월_여_100세 이상,13,2,2,0,0,0,1,0,2,0,3,0,1,2
