카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년11월_계_총인구수,"487,201","36,601","14,953","12,707","36,958","31,751","14,995","12,196","31,221","22,109","17,759","6,897","35,172","16,571","18,779","33,364","28,860","16,122","19,955","30,802","12,534","13,909","22,986"
2021년11월_계_연령구간인구수,"487,201","36,601","14,953","12,707","36,958","31,751","14,995","12,196","31,221","22,109","17,759","6,897","35,172","16,571","18,779","33,364","28,860","16,122","19,955","30,802","12,534","13,909","22,986"
2021년11월_계_0~9세,"30,554","2,169",756,594,"2,346","2,333","1,009",561,"2,530","1,120","1,134",300,"2,659",815,"1,083","2,156","2,231",794,"1,406","1,730",957,784,"1,087"
2021년11월_계_10~19세,"41,625","2,810","1,159",823,"2,360","2,171",900,899,"3,719","1,996","1,701",485,"2,924","1,252","1,394","3,387","4,117","1,022","1,780","3,112","1,035","1,100","1,479"
2021년11월_계_20~29세,"67,444","5,774","2,042","1,579","6,044","5,032","2,033","1,505","3,868","2,794","2,530",867,"4,792","2,516","2,400","4,544","3,669","2,011","2,643","4,587","1,557","1,737","2,920"
2021년11월_계_30~39세,"66,058","5,824","2,055","1,645","6,621","5,729","2,357","1,484","3,510","2,274","2,117",812,"5,211","2,217","2,607","3,755","2,891","1,930","2,889","3,918","1,735","1,613","2,864"
2021년11월_계_40~49세,"74,961","5,548","2,286","1,835","5,576","5,182","2,260","1,676","5,444","3,026","2,674","1,023","5,239","2,366","2,470","5,404","5,496","2,297","3,177","4,859","1,775","2,088","3,260"
2021년11월_계_50~59세,"88,117","6,150","2,631","2,260","6,015","5,015","2,600","2,304","5,550","3,996","3,331","1,458","6,474","3,293","3,426","6,419","5,429","2,851","3,489","6,067","2,115","2,648","4,596"
2021년11월_계_60~69세,"70,117","4,865","2,225","2,180","4,688","3,734","2,227","2,191","4,085","3,763","2,527","1,206","4,887","2,529","3,261","4,581","3,070","2,991","2,728","3,974","2,093","2,252","4,060"
2021년11월_계_70~79세,"31,516","2,198","1,261","1,158","2,199","1,696","1,017","1,033","1,707","1,917","1,066",508,"1,962","1,050","1,364","1,896","1,250","1,547","1,244","1,645",857,"1,104","1,837"
2021년11월_계_80~89세,"14,575","1,081",476,547,981,748,532,458,702,"1,035",590,196,890,465,650,"1,051",601,603,538,771,364,508,788
2021년11월_계_90~99세,"2,160",175,62,84,125,105,60,82,103,179,89,40,128,64,119,167,101,74,57,136,46,72,92
2021년11월_계_100세 이상,74,7,0,2,3,6,0,3,3,9,0,2,6,4,5,4,5,2,4,3,0,3,3
2021년11월_남_총인구수,"240,572","17,632","7,444","6,333","18,270","15,659","7,388","6,129","15,359","10,741","8,485","3,698","17,578","8,393","9,127","16,318","13,974","8,098","9,751","14,817","6,398","7,061","11,919"
2021년11월_남_연령구간인구수,"240,572","17,632","7,444","6,333","18,270","15,659","7,388","6,129","15,359","10,741","8,485","3,698","17,578","8,393","9,127","16,318","13,974","8,098","9,751","14,817","6,398","7,061","11,919"
2021년11월_남_0~9세,"15,577","1,062",355,311,"1,203","1,175",543,298,"1,280",591,581,143,"1,394",404,540,"1,125","1,101",402,707,892,508,425,537
2021년11월_남_10~19세,"21,623","1,407",606,429,"1,241","1,072",480,481,"1,959","1,067",879,238,"1,543",694,727,"1,720","2,133",533,884,"1,583",565,578,804
2021년11월_남_20~29세,"34,537","2,769","1,058",836,"2,913","2,445",970,816,"2,038","1,504","1,283",485,"2,471","1,345","1,265","2,396","1,871","1,100","1,356","2,303",879,916,"1,518"
2021년11월_남_30~39세,"34,148","3,063","1,130",884,"3,493","3,030","1,187",793,"1,671","1,160","1,054",457,"2,656","1,198","1,332","1,901","1,379","1,014","1,451","1,917",921,864,"1,593"
2021년11월_남_40~49세,"37,860","2,728","1,186",965,"2,843","2,780","1,212",854,"2,604","1,500","1,266",581,"2,718","1,242","1,244","2,642","2,520","1,254","1,592","2,297",950,"1,088","1,794"
2021년11월_남_50~59세,"42,957","2,889","1,316","1,140","2,931","2,402","1,247","1,190","2,695","1,882","1,504",827,"3,159","1,628","1,556","3,125","2,714","1,443","1,656","2,850",988,"1,388","2,427"
2021년11월_남_60~69세,"34,110","2,284","1,023","1,064","2,264","1,726","1,082","1,036","2,020","1,778","1,224",651,"2,395","1,231","1,614","2,282","1,535","1,397","1,320","1,972","1,039","1,105","2,068"
2021년11월_남_70~79세,"14,299",974,579,509,"1,008",742,455,493,811,886,476,247,896,481,641,810,514,716,573,742,406,486,854
2021년11월_남_80~89세,"4,996",411,172,177,350,257,202,154,258,336,198,61,320,161,183,282,192,219,196,236,130,193,308
2021년11월_남_90~99세,453,44,19,18,24,29,10,14,23,35,20,8,24,9,23,33,15,20,14,25,12,18,16
2021년11월_남_100세 이상,12,1,0,0,0,1,0,0,0,2,0,0,2,0,2,2,0,0,2,0,0,0,0
2021년11월_여_총인구수,"246,629","18,969","7,509","6,374","18,688","16,092","7,607","6,067","15,862","11,368","9,274","3,199","17,594","8,178","9,652","17,046","14,886","8,024","10,204","15,985","6,136","6,848","11,067"
2021년11월_여_연령구간인구수,"246,629","18,969","7,509","6,374","18,688","16,092","7,607","6,067","15,862","11,368","9,274","3,199","17,594","8,178","9,652","17,046","14,886","8,024","10,204","15,985","6,136","6,848","11,067"
2021년11월_여_0~9세,"14,977","1,107",401,283,"1,143","1,158",466,263,"1,250",529,553,157,"1,265",411,543,"1,031","1,130",392,699,838,449,359,550
2021년11월_여_10~19세,"20,002","1,403",553,394,"1,119","1,099",420,418,"1,760",929,822,247,"1,381",558,667,"1,667","1,984",489,896,"1,529",470,522,675
2021년11월_여_20~29세,"32,907","3,005",984,743,"3,131","2,587","1,063",689,"1,830","1,290","1,247",382,"2,321","1,171","1,135","2,148","1,798",911,"1,287","2,284",678,821,"1,402"
2021년11월_여_30~39세,"31,910","2,761",925,761,"3,128","2,699","1,170",691,"1,839","1,114","1,063",355,"2,555","1,019","1,275","1,854","1,512",916,"1,438","2,001",814,749,"1,271"
2021년11월_여_40~49세,"37,101","2,820","1,100",870,"2,733","2,402","1,048",822,"2,840","1,526","1,408",442,"2,521","1,124","1,226","2,762","2,976","1,043","1,585","2,562",825,"1,000","1,466"
2021년11월_여_50~59세,"45,160","3,261","1,315","1,120","3,084","2,613","1,353","1,114","2,855","2,114","1,827",631,"3,315","1,665","1,870","3,294","2,715","1,408","1,833","3,217","1,127","1,260","2,169"
2021년11월_여_60~69세,"36,007","2,581","1,202","1,116","2,424","2,008","1,145","1,155","2,065","1,985","1,303",555,"2,492","1,298","1,647","2,299","1,535","1,594","1,408","2,002","1,054","1,147","1,992"
2021년11월_여_70~79세,"17,217","1,224",682,649,"1,191",954,562,540,896,"1,031",590,261,"1,066",569,723,"1,086",736,831,671,903,451,618,983
2021년11월_여_80~89세,"9,579",670,304,370,631,491,330,304,444,699,392,135,570,304,467,769,409,384,342,535,234,315,480
2021년11월_여_90~99세,"1,707",131,43,66,101,76,50,68,80,144,69,32,104,55,96,134,86,54,43,111,34,54,76
2021년11월_여_100세 이상,62,6,0,2,3,5,0,3,3,7,0,2,4,4,3,2,5,2,2,3,0,3,3
