카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년12월_계_총인구수,"281,436","2,640","4,464","17,902","33,227","12,836","2,919","1,791","3,107","1,481",848,"3,190","5,484","2,861","3,590","6,791","25,627","6,188","43,779","7,640","8,668","2,679","2,207","2,895","18,260","41,011","19,351"
2021년12월_계_연령구간인구수,"281,436","2,640","4,464","17,902","33,227","12,836","2,919","1,791","3,107","1,481",848,"3,190","5,484","2,861","3,590","6,791","25,627","6,188","43,779","7,640","8,668","2,679","2,207","2,895","18,260","41,011","19,351"
2021년12월_계_0~9세,"22,538",49,118,"1,383","5,863",809,56,36,55,10,15,75,128,59,126,437,"1,924",310,"3,118",335,325,100,49,79,"1,970","3,464","1,645"
2021년12월_계_10~19세,"29,444",110,189,"2,414","5,071","1,086",94,62,110,32,39,142,270,137,262,559,"2,591",528,"5,140",568,652,169,88,186,"1,745","4,758","2,442"
2021년12월_계_20~29세,"36,739",195,365,"3,040","3,186","1,371",152,114,170,63,46,218,416,291,338,"1,119","3,868",729,"6,448",889,"1,046",297,238,351,"2,067","6,470","3,252"
2021년12월_계_30~39세,"32,763",102,245,"2,127","6,430","1,363",121,89,136,61,25,144,258,151,272,853,"2,948",641,"4,775",712,755,238,196,259,"2,429","5,100","2,333"
2021년12월_계_40~49세,"42,487",191,418,"3,191","7,043","1,746",199,128,212,116,48,218,491,259,413,834,"3,710",822,"6,816",959,"1,003",277,264,358,"2,878","6,638","3,255"
2021년12월_계_50~59세,"49,217",489,855,"3,557","3,645","2,309",452,303,512,268,140,495,927,546,524,969,"4,479","1,125","8,602","1,289","1,633",413,408,494,"3,065","7,818","3,900"
2021년12월_계_60~69세,"36,527",599,973,"1,381","1,397","2,099",645,438,719,331,202,781,"1,180",624,754,949,"3,642","1,082","5,752","1,441","1,637",522,496,561,"2,258","4,324","1,740"
2021년12월_계_70~79세,"19,284",438,696,488,405,"1,232",642,338,616,306,159,620,916,435,583,679,"1,611",620,"2,109",961,"1,099",438,308,398,"1,127","1,548",512
2021년12월_계_80~89세,"10,716",409,519,275,158,717,481,244,498,260,145,422,779,300,275,348,720,279,880,430,457,194,132,181,610,767,236
2021년12월_계_90~99세,"1,670",57,86,43,28,101,76,38,79,33,29,72,115,53,42,43,127,49,133,55,59,31,27,28,107,123,36
2021년12월_계_100세 이상,51,1,0,3,1,3,1,1,0,1,0,3,4,6,1,1,7,3,6,1,2,0,1,0,4,1,0
2021년12월_남_총인구수,"140,466","1,306","2,308","8,827","16,919","6,423","1,477",857,"1,563",766,412,"1,557","2,737","1,470","1,758","3,365","12,583","3,112","21,865","3,798","4,384","1,304","1,158","1,469","9,205","20,296","9,547"
2021년12월_남_연령구간인구수,"140,466","1,306","2,308","8,827","16,919","6,423","1,477",857,"1,563",766,412,"1,557","2,737","1,470","1,758","3,365","12,583","3,112","21,865","3,798","4,384","1,304","1,158","1,469","9,205","20,296","9,547"
2021년12월_남_0~9세,"11,554",35,55,696,"3,050",424,27,16,31,6,8,38,66,38,63,215,991,165,"1,547",177,170,50,25,41,"1,028","1,755",837
2021년12월_남_10~19세,"15,290",51,102,"1,266","2,669",590,49,26,61,21,19,79,135,76,132,308,"1,286",284,"2,672",305,351,86,47,96,913,"2,468","1,198"
2021년12월_남_20~29세,"19,978",116,218,"1,631","1,694",704,92,51,106,38,31,119,243,183,188,572,"2,128",383,"3,586",496,606,158,115,197,"1,131","3,421","1,771"
2021년12월_남_30~39세,"16,902",55,148,"1,088","3,103",732,77,50,92,42,14,83,151,92,155,470,"1,503",352,"2,495",368,395,134,127,143,"1,235","2,598","1,200"
2021년12월_남_40~49세,"20,940",110,258,"1,423","3,484",896,138,80,147,80,32,129,311,143,221,420,"1,799",417,"3,256",535,564,145,157,191,"1,478","3,085","1,441"
2021년12월_남_50~59세,"24,842",301,529,"1,745","1,990","1,224",284,171,302,165,88,263,518,293,276,486,"2,093",592,"4,095",626,836,200,237,260,"1,540","3,830","1,898"
2021년12월_남_60~69세,"18,292",323,506,692,716,"1,073",334,240,365,196,104,405,641,337,354,452,"1,747",508,"2,878",675,755,235,239,277,"1,130","2,210",900
2021년12월_남_70~79세,"8,779",189,311,194,172,551,301,150,280,136,80,285,403,192,282,299,760,292,"1,009",418,506,189,144,185,540,688,223
2021년12월_남_80~89세,"3,550",108,169,86,37,211,157,65,161,75,34,142,242,105,78,134,248,111,304,187,188,100,60,70,191,214,73
2021년12월_남_90~99세,337,18,12,6,4,18,18,8,18,7,2,13,26,11,9,9,28,8,23,11,13,7,7,9,19,27,6
2021년12월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"140,970","1,334","2,156","9,075","16,308","6,413","1,442",934,"1,544",715,436,"1,633","2,747","1,391","1,832","3,426","13,044","3,076","21,914","3,842","4,284","1,375","1,049","1,426","9,055","20,715","9,804"
2021년12월_여_연령구간인구수,"140,970","1,334","2,156","9,075","16,308","6,413","1,442",934,"1,544",715,436,"1,633","2,747","1,391","1,832","3,426","13,044","3,076","21,914","3,842","4,284","1,375","1,049","1,426","9,055","20,715","9,804"
2021년12월_여_0~9세,"10,984",14,63,687,"2,813",385,29,20,24,4,7,37,62,21,63,222,933,145,"1,571",158,155,50,24,38,942,"1,709",808
2021년12월_여_10~19세,"14,154",59,87,"1,148","2,402",496,45,36,49,11,20,63,135,61,130,251,"1,305",244,"2,468",263,301,83,41,90,832,"2,290","1,244"
2021년12월_여_20~29세,"16,761",79,147,"1,409","1,492",667,60,63,64,25,15,99,173,108,150,547,"1,740",346,"2,862",393,440,139,123,154,936,"3,049","1,481"
2021년12월_여_30~39세,"15,861",47,97,"1,039","3,327",631,44,39,44,19,11,61,107,59,117,383,"1,445",289,"2,280",344,360,104,69,116,"1,194","2,502","1,133"
2021년12월_여_40~49세,"21,547",81,160,"1,768","3,559",850,61,48,65,36,16,89,180,116,192,414,"1,911",405,"3,560",424,439,132,107,167,"1,400","3,553","1,814"
2021년12월_여_50~59세,"24,375",188,326,"1,812","1,655","1,085",168,132,210,103,52,232,409,253,248,483,"2,386",533,"4,507",663,797,213,171,234,"1,525","3,988","2,002"
2021년12월_여_60~69세,"18,235",276,467,689,681,"1,026",311,198,354,135,98,376,539,287,400,497,"1,895",574,"2,874",766,882,287,257,284,"1,128","2,114",840
2021년12월_여_70~79세,"10,505",249,385,294,233,681,341,188,336,170,79,335,513,243,301,380,851,328,"1,100",543,593,249,164,213,587,860,289
2021년12월_여_80~89세,"7,166",301,350,189,121,506,324,179,337,185,111,280,537,195,197,214,472,168,576,243,269,94,72,111,419,553,163
2021년12월_여_90~99세,"1,333",39,74,37,24,83,58,30,61,26,27,59,89,42,33,34,99,41,110,44,46,24,20,19,88,96,30
2021년12월_여_100세 이상,49,1,0,3,1,3,1,1,0,1,0,2,3,6,1,1,7,3,6,1,2,0,1,0,4,1,0
