,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년08월_계_총인구수,"69,003","22,718","7,755","4,883","6,974","4,522","4,189","3,092","4,067","1,841","3,189","2,911","2,216",380,266
2020년08월_계_연령구간인구수,"69,003","22,718","7,755","4,883","6,974","4,522","4,189","3,092","4,067","1,841","3,189","2,911","2,216",380,266
2020년08월_계_0~9세,"3,316","1,461",521,179,312,163,155,75,117,61,131,70,58,6,7
2020년08월_계_10~19세,"4,625","2,190",660,209,405,206,226,124,155,72,137,121,105,12,3
2020년08월_계_20~29세,"5,422","2,313",719,313,515,268,251,193,235,88,206,177,115,20,9
2020년08월_계_30~39세,"5,384","2,179",669,332,614,328,245,188,231,73,216,156,126,19,8
2020년08월_계_40~49세,"7,771","3,231","1,065",437,738,389,429,271,353,149,283,201,188,23,14
2020년08월_계_50~59세,"12,066","3,840","1,336",874,"1,357",792,734,542,647,340,534,544,400,74,52
2020년08월_계_60~69세,"13,915","3,553","1,359","1,214","1,565","1,138",953,748,934,418,673,630,549,104,77
2020년08월_계_70~79세,"10,103","2,505",852,780,946,770,704,611,819,378,594,618,399,66,61
2020년08월_계_80~89세,"5,581","1,266",484,457,442,400,426,311,517,236,374,344,242,52,30
2020년08월_계_90~99세,783,164,89,85,77,67,63,28,56,26,37,49,33,4,5
2020년08월_계_100세 이상,37,16,1,3,3,1,3,1,3,0,4,1,1,0,0
2020년08월_남_총인구수,"34,585","11,221","3,873","2,466","3,529","2,301","2,084","1,520","2,077",921,"1,594","1,507","1,155",194,143
2020년08월_남_연령구간인구수,"34,585","11,221","3,873","2,466","3,529","2,301","2,084","1,520","2,077",921,"1,594","1,507","1,155",194,143
2020년08월_남_0~9세,"1,734",771,261,79,164,75,81,47,63,37,68,43,36,5,4
2020년08월_남_10~19세,"2,381","1,098",339,109,211,123,119,63,84,32,67,61,67,7,1
2020년08월_남_20~29세,"3,125","1,315",420,185,301,149,145,108,149,54,107,111,66,9,6
2020년08월_남_30~39세,"2,830","1,129",324,176,312,193,135,101,122,39,125,85,76,9,4
2020년08월_남_40~49세,"4,235","1,645",557,249,417,231,239,154,206,83,184,134,111,15,10
2020년08월_남_50~59세,"6,207","1,936",676,444,686,383,377,266,355,194,297,298,220,44,31
2020년08월_남_60~69세,"6,905","1,712",675,623,771,583,477,364,480,205,316,326,282,49,42
2020년08월_남_70~79세,"4,762","1,102",413,394,475,376,325,285,385,174,285,291,190,37,30
2020년08월_남_80~89세,"2,206",469,185,186,175,170,170,124,225,98,134,141,99,16,14
2020년08월_남_90~99세,190,39,23,21,15,18,15,7,8,5,11,16,8,3,1
2020년08월_남_100세 이상,10,5,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년08월_여_총인구수,"34,418","11,497","3,882","2,417","3,445","2,221","2,105","1,572","1,990",920,"1,595","1,404","1,061",186,123
2020년08월_여_연령구간인구수,"34,418","11,497","3,882","2,417","3,445","2,221","2,105","1,572","1,990",920,"1,595","1,404","1,061",186,123
2020년08월_여_0~9세,"1,582",690,260,100,148,88,74,28,54,24,63,27,22,1,3
2020년08월_여_10~19세,"2,244","1,092",321,100,194,83,107,61,71,40,70,60,38,5,2
2020년08월_여_20~29세,"2,297",998,299,128,214,119,106,85,86,34,99,66,49,11,3
2020년08월_여_30~39세,"2,554","1,050",345,156,302,135,110,87,109,34,91,71,50,10,4
2020년08월_여_40~49세,"3,536","1,586",508,188,321,158,190,117,147,66,99,67,77,8,4
2020년08월_여_50~59세,"5,859","1,904",660,430,671,409,357,276,292,146,237,246,180,30,21
2020년08월_여_60~69세,"7,010","1,841",684,591,794,555,476,384,454,213,357,304,267,55,35
2020년08월_여_70~79세,"5,341","1,403",439,386,471,394,379,326,434,204,309,327,209,29,31
2020년08월_여_80~89세,"3,375",797,299,271,267,230,256,187,292,138,240,203,143,36,16
2020년08월_여_90~99세,593,125,66,64,62,49,48,21,48,21,26,33,25,1,4
2020년08월_여_100세 이상,27,11,1,3,1,1,2,0,3,0,4,0,1,0,0
