,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년09월_계_총인구수,"416,285","20,621","25,645","32,482","30,876","26,821","5,725","34,208","15,740","22,175","19,083","20,862","16,953","19,639","18,879","23,498","43,303","22,056","17,719"
2021년09월_계_연령구간인구수,"416,285","20,621","25,645","32,482","30,876","26,821","5,725","34,208","15,740","22,175","19,083","20,862","16,953","19,639","18,879","23,498","43,303","22,056","17,719"
2021년09월_계_0~9세,"32,335","1,396","2,286","1,763","2,862","1,997",255,"3,278","1,723","1,875","1,621","1,422","1,090","1,113","1,340","1,582","3,529","1,357","1,846"
2021년09월_계_10~19세,"44,741","1,918","2,367","2,827","4,149","3,348",896,"3,786","2,824","3,007","2,188","2,769","1,326","1,630","1,818","2,657","4,339","1,572","1,320"
2021년09월_계_20~29세,"53,017","2,851","3,429","5,490","3,506","3,396",749,"4,206","1,323","2,418","2,221","2,640","2,372","2,641","2,293","3,055","5,203","3,335","1,889"
2021년09월_계_30~39세,"60,534","3,478","4,850","5,545","3,456","3,449",444,"5,624","1,371","2,451","2,493","2,345","2,870","3,024","2,490","3,384","6,366","4,331","2,563"
2021년09월_계_40~49세,"75,792","3,726","4,767","5,062","6,182","5,191","1,055","7,058","3,607","4,521","3,552","3,865","2,749","2,991","2,924","4,317","7,546","3,656","3,023"
2021년09월_계_50~59세,"62,769","2,983","3,397","4,913","4,846","4,561","1,132","4,523","2,194","3,588","2,882","3,479","2,459","3,065","3,091","3,621","6,249","3,338","2,448"
2021년09월_계_60~69세,"48,240","2,379","2,575","3,757","3,115","2,830",612,"3,289","1,378","2,300","2,344","2,301","2,175","2,883","2,797","2,469","5,788","2,705","2,543"
2021년09월_계_70~79세,"26,907","1,302","1,432","2,169","1,857","1,363",398,"1,764",922,"1,356","1,249","1,317","1,326","1,641","1,460","1,608","3,018","1,285","1,440"
2021년09월_계_80~89세,"10,096",497,464,821,761,566,158,569,344,542,442,615,511,551,563,710,"1,034",392,556
2021년09월_계_90~99세,"1,738",90,71,126,126,113,20,102,46,106,88,102,70,95,99,92,224,81,87
2021년09월_계_100세 이상,116,1,7,9,16,7,6,9,8,11,3,7,5,5,4,3,7,4,4
2021년09월_남_총인구수,"199,068","9,943","12,267","15,654","15,032","12,875","2,711","16,638","7,502","10,537","8,951","9,642","7,940","9,213","9,157","10,713","20,703","11,011","8,579"
2021년09월_남_연령구간인구수,"199,068","9,943","12,267","15,654","15,032","12,875","2,711","16,638","7,502","10,537","8,951","9,642","7,940","9,213","9,157","10,713","20,703","11,011","8,579"
2021년09월_남_0~9세,"16,622",733,"1,126",921,"1,523","1,029",137,"1,655",921,964,842,722,550,567,697,771,"1,809",731,924
