,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 개항동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년08월_계_총인구수,"141,341","6,156","5,105","13,169","3,969","3,230","5,831","7,081","17,992","43,278","31,567","3,963"
2021년08월_계_연령구간인구수,"141,341","6,156","5,105","13,169","3,969","3,230","5,831","7,081","17,992","43,278","31,567","3,963"
2021년08월_계_0~9세,"11,629",222,239,797,126,88,194,253,"1,130","6,792","1,715",73
2021년08월_계_10~19세,"12,919",324,344,"1,122",257,190,285,448,"1,410","5,088","3,342",109
2021년08월_계_20~29세,"18,875",621,536,"1,606",430,332,594,761,"2,379","3,714","7,643",259
2021년08월_계_30~39세,"21,524",604,510,"1,545",361,278,671,678,"2,796","8,553","5,271",257
2021년08월_계_40~49세,"24,873",802,788,"2,002",540,472,725,956,"2,926","9,573","5,638",451
2021년08월_계_50~59세,"20,750","1,262",861,"2,264",710,609,"1,109","1,238","3,077","4,636","4,120",864
2021년08월_계_60~69세,"16,850","1,328",827,"2,062",773,617,"1,107","1,394","2,623","3,001","2,031","1,087"
2021년08월_계_70~79세,"9,331",636,629,"1,179",536,450,689,910,"1,075","1,398","1,234",595
2021년08월_계_80~89세,"3,930",301,313,514,201,164,377,392,476,445,527,220
2021년08월_계_90~99세,635,54,56,78,34,30,75,49,95,76,43,45
2021년08월_계_100세 이상,25,2,2,0,1,0,5,2,5,2,3,3
2021년08월_남_총인구수,"73,472","3,331","2,596","6,721","2,018","1,663","3,080","3,556","9,877","21,743","16,675","2,212"
2021년08월_남_연령구간인구수,"73,472","3,331","2,596","6,721","2,018","1,663","3,080","3,556","9,877","21,743","16,675","2,212"
2021년08월_남_0~9세,"6,007",120,133,401,57,54,97,139,576,"3,500",895,35
2021년08월_남_10~19세,"6,659",151,178,580,145,93,142,218,739,"2,584","1,773",56
2021년08월_남_20~29세,"9,677",361,294,875,249,183,321,405,"1,312","1,853","3,655",169
2021년08월_남_30~39세,"11,736",369,283,831,197,166,386,389,"1,674","4,134","3,143",164
2021년08월_남_40~49세,"13,547",481,429,"1,068",298,265,437,530,"1,677","5,038","3,031",293
2021년08월_남_50~59세,"11,504",737,462,"1,218",380,348,653,678,"1,744","2,400","2,369",515
2021년08월_남_60~69세,"8,444",694,417,"1,018",364,299,580,659,"1,422","1,369","1,047",575
2021년08월_남_70~79세,"4,326",298,275,524,245,201,318,391,538,688,533,315
2021년08월_남_80~89세,"1,420",107,113,192,74,49,129,130,170,160,215,81
2021년08월_남_90~99세,144,13,12,14,9,5,16,17,22,16,12,8
2021년08월_남_100세 이상,8,0,0,0,0,0,1,0,3,1,2,1
2021년08월_여_총인구수,"67,869","2,825","2,509","6,448","1,951","1,567","2,751","3,525","8,115","21,535","14,892","1,751"
2021년08월_여_연령구간인구수,"67,869","2,825","2,509","6,448","1,951","1,567","2,751","3,525","8,115","21,535","14,892","1,751"
2021년08월_여_0~9세,"5,622",102,106,396,69,34,97,114,554,"3,292",820,38
2021년08월_여_10~19세,"6,260",173,166,542,112,97,143,230,671,"2,504","1,569",53
2021년08월_여_20~29세,"9,198",260,242,731,181,149,273,356,"1,067","1,861","3,988",90
2021년08월_여_30~39세,"9,788",235,227,714,164,112,285,289,"1,122","4,419","2,128",93
2021년08월_여_40~49세,"11,326",321,359,934,242,207,288,426,"1,249","4,535","2,607",158
2021년08월_여_50~59세,"9,246",525,399,"1,046",330,261,456,560,"1,333","2,236","1,751",349
2021년08월_여_60~69세,"8,406",634,410,"1,044",409,318,527,735,"1,201","1,632",984,512
2021년08월_여_70~79세,"5,005",338,354,655,291,249,371,519,537,710,701,280
2021년08월_여_80~89세,"2,510",194,200,322,127,115,248,262,306,285,312,139
2021년08월_여_90~99세,491,41,44,64,25,25,59,32,73,60,31,37
2021년08월_여_100세 이상,17,2,2,0,1,0,4,2,2,1,1,2
