카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년06월_계_총인구수,"26,924","6,718","6,074","2,342","3,638","8,152",0
2021년06월_계_연령구간인구수,"26,924","6,718","6,074","2,342","3,638","8,152",0
2021년06월_계_0~9세,"1,308",521,179,55,128,425,0
2021년06월_계_10~19세,"1,605",527,333,96,185,464,0
2021년06월_계_20~29세,"2,697",826,480,137,361,893,0
2021년06월_계_30~39세,"2,284",747,329,141,290,777,0
2021년06월_계_40~49세,"3,062",829,594,196,368,"1,075",0
2021년06월_계_50~59세,"4,761","1,106","1,084",417,641,"1,513",0
2021년06월_계_60~69세,"5,503","1,065","1,416",621,801,"1,600",0
2021년06월_계_70~79세,"3,431",644,972,416,512,887,0
2021년06월_계_80~89세,"1,930",380,572,222,310,446,0
2021년06월_계_90~99세,331,70,114,40,39,68,0
2021년06월_계_100세 이상,12,3,1,1,3,4,0
2021년06월_남_총인구수,"13,848","3,523","3,026","1,142","1,873","4,284",0
2021년06월_남_연령구간인구수,"13,848","3,523","3,026","1,142","1,873","4,284",0
2021년06월_남_0~9세,667,268,90,27,63,219,0
2021년06월_남_10~19세,878,298,172,54,95,259,0
2021년06월_남_20~29세,"1,708",516,316,78,221,577,0
2021년06월_남_30~39세,"1,311",412,187,84,181,447,0
2021년06월_남_40~49세,"1,673",438,325,125,211,574,0
2021년06월_남_50~59세,"2,579",609,615,216,331,808,0
2021년06월_남_60~69세,"2,801",540,696,318,417,830,0
2021년06월_남_70~79세,"1,480",295,401,165,229,390,0
2021년06월_남_80~89세,671,125,202,67,114,163,0
2021년06월_남_90~99세,77,21,22,8,11,15,0
2021년06월_남_100세 이상,3,1,0,0,0,2,0
2021년06월_여_총인구수,"13,076","3,195","3,048","1,200","1,765","3,868",0
2021년06월_여_연령구간인구수,"13,076","3,195","3,048","1,200","1,765","3,868",0
2021년06월_여_0~9세,641,253,89,28,65,206,0
2021년06월_여_10~19세,727,229,161,42,90,205,0
2021년06월_여_20~29세,989,310,164,59,140,316,0
2021년06월_여_30~39세,973,335,142,57,109,330,0
2021년06월_여_40~49세,"1,389",391,269,71,157,501,0
2021년06월_여_50~59세,"2,182",497,469,201,310,705,0
2021년06월_여_60~69세,"2,702",525,720,303,384,770,0
2021년06월_여_70~79세,"1,951",349,571,251,283,497,0
2021년06월_여_80~89세,"1,259",255,370,155,196,283,0
2021년06월_여_90~99세,254,49,92,32,28,53,0
2021년06월_여_100세 이상,9,2,1,1,3,2,0
