카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년01월_계_총인구수,"25,344","10,115",831,"1,096","1,398",873,"1,952","1,801","1,873","2,847","1,069","1,489"
2021년01월_계_연령구간인구수,"25,344","10,115",831,"1,096","1,398",873,"1,952","1,801","1,873","2,847","1,069","1,489"
2021년01월_계_0~9세,"1,261",675,16,46,54,38,78,71,59,133,56,35
2021년01월_계_10~19세,"1,663",845,27,81,80,37,85,88,81,209,63,67
2021년01월_계_20~29세,"1,939",943,33,67,76,50,146,128,149,199,65,83
2021년01월_계_30~39세,"1,635",845,29,50,57,64,100,103,91,182,72,42
2021년01월_계_40~49세,"2,723","1,332",62,92,122,74,181,179,147,314,93,127
2021년01월_계_50~59세,"4,516","1,677",183,202,251,163,366,307,346,548,197,276
2021년01월_계_60~69세,"4,887","1,618",226,220,301,198,411,381,365,616,229,322
2021년01월_계_70~79세,"3,825","1,251",153,185,242,136,315,317,370,390,156,310
2021년01월_계_80~89세,"2,497",813,88,129,178,108,229,195,230,213,118,196
2021년01월_계_90~99세,370,106,12,24,34,5,39,27,32,41,19,31
2021년01월_계_100세 이상,28,10,2,0,3,0,2,5,3,2,1,0
2021년01월_남_총인구수,"12,798","5,080",413,532,658,445,"1,019",910,934,"1,477",567,763
2021년01월_남_연령구간인구수,"12,798","5,080",413,532,658,445,"1,019",910,934,"1,477",567,763
2021년01월_남_0~9세,616,323,8,18,22,16,42,37,32,67,30,21
2021년01월_남_10~19세,887,434,17,43,41,16,50,49,42,118,40,37
2021년01월_남_20~29세,"1,106",533,18,41,41,32,82,70,75,125,43,46
2021년01월_남_30~39세,790,386,18,25,22,34,65,44,45,86,42,23
2021년01월_남_40~49세,"1,580",757,38,49,64,42,118,114,95,174,52,77
2021년01월_남_50~59세,"2,551",934,100,104,140,91,211,182,202,317,102,168
2021년01월_남_60~69세,"2,592",851,115,120,157,110,213,206,185,327,131,177
2021년01월_남_70~79세,"1,763",565,71,82,115,65,149,148,167,189,75,137
2021년01월_남_80~89세,815,265,25,44,45,37,84,53,81,64,47,70
2021년01월_남_90~99세,89,28,2,6,10,2,5,5,9,10,5,7
2021년01월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2021년01월_여_총인구수,"12,546","5,035",418,564,740,428,933,891,939,"1,370",502,726
2021년01월_여_연령구간인구수,"12,546","5,035",418,564,740,428,933,891,939,"1,370",502,726
2021년01월_여_0~9세,645,352,8,28,32,22,36,34,27,66,26,14
2021년01월_여_10~19세,776,411,10,38,39,21,35,39,39,91,23,30
2021년01월_여_20~29세,833,410,15,26,35,18,64,58,74,74,22,37
2021년01월_여_30~39세,845,459,11,25,35,30,35,59,46,96,30,19
2021년01월_여_40~49세,"1,143",575,24,43,58,32,63,65,52,140,41,50
2021년01월_여_50~59세,"1,965",743,83,98,111,72,155,125,144,231,95,108
2021년01월_여_60~69세,"2,295",767,111,100,144,88,198,175,180,289,98,145
2021년01월_여_70~79세,"2,062",686,82,103,127,71,166,169,203,201,81,173
2021년01월_여_80~89세,"1,682",548,63,85,133,71,145,142,149,149,71,126
2021년01월_여_90~99세,281,78,10,18,24,3,34,22,23,31,14,24
2021년01월_여_100세 이상,19,6,1,0,2,0,2,3,2,2,1,0
