,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년04월_계_총인구수,"89,673","4,888","5,899","10,590","6,537","4,305","10,174","4,304","5,741","11,301","12,297","9,005","4,632"
2020년04월_계_연령구간인구수,"89,673","4,888","5,899","10,590","6,537","4,305","10,174","4,304","5,741","11,301","12,297","9,005","4,632"
2020년04월_계_0~9세,"4,268",193,173,933,223,193,422,136,201,484,418,508,384
2020년04월_계_10~19세,"5,357",278,272,663,442,336,642,259,378,678,667,473,269
2020년04월_계_20~29세,"10,658",682,668,"1,576",669,497,"1,253",388,612,"1,344","1,364","1,171",434
2020년04월_계_30~39세,"10,586",537,564,"2,185",554,417,"1,175",323,474,"1,229","1,193","1,210",725
2020년04월_계_40~49세,"12,257",709,790,"1,627",874,625,"1,345",528,749,"1,489","1,510","1,297",714
2020년04월_계_50~59세,"15,056",790,"1,036","1,465","1,080",715,"1,733",754,"1,011","1,917","2,238","1,673",644
2020년04월_계_60~69세,"15,757",855,"1,220","1,175","1,223",739,"1,814",826,"1,075","2,009","2,534","1,537",750
2020년04월_계_70~79세,"10,622",588,797,629,957,549,"1,231",742,844,"1,473","1,568",778,466
2020년04월_계_80~89세,"4,445",225,319,267,444,205,495,308,342,606,715,315,204
2020년04월_계_90~99세,568,25,51,62,58,24,49,38,53,59,77,35,37
2020년04월_계_100세 이상,99,6,9,8,13,5,15,2,2,13,13,8,5
2020년04월_남_총인구수,"44,003","2,448","2,912","5,220","3,184","2,087","4,887","2,150","2,758","5,479","6,058","4,541","2,279"
2020년04월_남_연령구간인구수,"44,003","2,448","2,912","5,220","3,184","2,087","4,887","2,150","2,758","5,479","6,058","4,541","2,279"
2020년04월_남_0~9세,"2,263",89,101,492,114,97,212,79,117,270,225,275,192
2020년04월_남_10~19세,"2,777",157,143,359,244,163,319,146,190,336,324,247,149
2020년04월_남_20~29세,"5,405",347,337,663,375,266,626,222,338,701,728,596,206
2020년04월_남_30~39세,"5,677",288,325,"1,138",313,228,650,188,255,634,648,631,379
2020년04월_남_40~49세,"6,573",403,442,832,454,329,700,293,401,800,845,687,387
2020년04월_남_50~59세,"7,620",419,542,757,549,358,841,419,488,942,"1,126",857,322
2020년04월_남_60~69세,"7,468",402,558,586,563,330,836,397,487,939,"1,232",751,387
2020년04월_남_70~79세,"4,492",261,334,281,393,227,519,288,358,623,668,357,183
2020년04월_남_80~89세,"1,543",71,110,90,161,80,163,107,110,218,242,125,66
2020년04월_남_90~99세,155,8,16,17,13,9,18,11,14,12,17,13,7
2020년04월_남_100세 이상,30,3,4,5,5,0,3,0,0,4,3,2,1
2020년04월_여_총인구수,"45,670","2,440","2,987","5,370","3,353","2,218","5,287","2,154","2,983","5,822","6,239","4,464","2,353"
2020년04월_여_연령구간인구수,"45,670","2,440","2,987","5,370","3,353","2,218","5,287","2,154","2,983","5,822","6,239","4,464","2,353"
2020년04월_여_0~9세,"2,005",104,72,441,109,96,210,57,84,214,193,233,192
2020년04월_여_10~19세,"2,580",121,129,304,198,173,323,113,188,342,343,226,120
2020년04월_여_20~29세,"5,253",335,331,913,294,231,627,166,274,643,636,575,228
2020년04월_여_30~39세,"4,909",249,239,"1,047",241,189,525,135,219,595,545,579,346
2020년04월_여_40~49세,"5,684",306,348,795,420,296,645,235,348,689,665,610,327
2020년04월_여_50~59세,"7,436",371,494,708,531,357,892,335,523,975,"1,112",816,322
2020년04월_여_60~69세,"8,289",453,662,589,660,409,978,429,588,"1,070","1,302",786,363
2020년04월_여_70~79세,"6,130",327,463,348,564,322,712,454,486,850,900,421,283
2020년04월_여_80~89세,"2,902",154,209,177,283,125,332,201,232,388,473,190,138
2020년04월_여_90~99세,413,17,35,45,45,15,31,27,39,47,60,22,30
2020년04월_여_100세 이상,69,3,5,3,8,5,12,2,2,9,10,6,4
