,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년03월_계_총인구수,"1,595,714","845,025","193,300","192,804","265,571","193,350","209,443","132,542","32,206","50,337","46,577","36,536","84,118","37,688","92,407","28,835"
2021년03월_계_연령구간인구수,"1,595,714","845,025","193,300","192,804","265,571","193,350","209,443","132,542","32,206","50,337","46,577","36,536","84,118","37,688","92,407","28,835"
2021년03월_계_0~9세,"121,435","73,341","16,304","13,363","23,949","19,725","14,313","8,548","1,425","2,550","2,245","3,142","7,685","1,291","5,730","1,165"
2021년03월_계_10~19세,"147,917","85,548","19,894","19,959","26,392","19,303","18,682","11,536","2,079","3,847","3,282","3,349","8,134","1,993","7,534","1,933"
2021년03월_계_20~29세,"197,273","119,562","24,879","28,071","40,784","25,828","24,208","14,626","2,331","4,308","4,166","4,453","9,266","2,891","9,314","2,148"
2021년03월_계_30~39세,"192,814","117,883","23,472","22,071","41,062","31,278","23,089","12,802","2,144","3,842","3,178","4,617","11,521","2,396","9,409","1,933"
2021년03월_계_40~49세,"239,437","136,223","30,775","30,201","43,146","32,101","30,636","18,225","3,272","6,169","5,192","5,536","13,626","3,795","13,524","3,239"
2021년03월_계_50~59세,"270,956","137,272","33,267","33,796","42,743","27,466","37,138","23,792","5,782","8,821","8,229","5,992","13,668","7,197","17,529","5,536"
2021년03월_계_60~69세,"229,572","100,298","24,955","25,835","28,531","20,977","32,658","23,271","6,982","10,091","9,379","5,090","10,716","8,874","15,695","6,518"
2021년03월_계_70~79세,"120,213","47,448","12,388","12,458","12,200","10,402","17,298","12,463","4,552","6,322","6,452","2,672","5,507","5,403","8,213","3,883"
2021년03월_계_80~89세,"66,515","23,938","6,342","6,165","5,928","5,503","10,082","6,388","3,129","3,782","3,926","1,507","3,506","3,384","4,706","2,167"
2021년03월_계_90~99세,"9,260","3,406",991,862,820,733,"1,302",828,495,588,515,175,476,446,735,294
2021년03월_계_100세 이상,322,106,33,23,16,34,37,63,15,17,13,3,13,18,18,19
2021년03월_남_총인구수,"809,457","425,909","96,122","95,733","134,784","99,270","106,051","66,558","16,235","25,378","23,207","19,011","44,101","19,412","48,982","14,613"
2021년03월_남_연령구간인구수,"809,457","425,909","96,122","95,733","134,784","99,270","106,051","66,558","16,235","25,378","23,207","19,011","44,101","19,412","48,982","14,613"
2021년03월_남_0~9세,"62,073","37,425","8,248","6,827","12,214","10,136","7,236","4,377",731,"1,318","1,142","1,627","3,974",647,"2,989",607
2021년03월_남_10~19세,"76,956","44,392","10,344","10,355","13,707","9,986","9,726","5,994","1,117","2,046","1,709","1,746","4,253","1,037","3,904","1,032"
2021년03월_남_20~29세,"109,843","65,185","13,463","15,249","22,082","14,391","13,927","8,150","1,374","2,464","2,353","2,608","5,350","1,729","5,439","1,264"
2021년03월_남_30~39세,"102,529","61,820","11,959","11,367","21,665","16,829","12,555","6,728","1,188","1,992","1,668","2,576","6,339","1,355","5,280","1,028"
2021년03월_남_40~49세,"124,152","69,036","15,312","14,945","21,877","16,902","15,749","9,384","1,829","3,312","2,836","2,981","7,433","2,215","7,590","1,787"
2021년03월_남_50~59세,"139,496","68,785","16,590","16,637","21,444","14,114","18,976","12,147","3,191","4,736","4,383","3,170","7,470","3,901","9,774","2,963"
2021년03월_남_60~69세,"115,081","49,150","12,319","12,478","14,082","10,271","16,378","11,588","3,593","5,150","4,817","2,542","5,477","4,704","8,334","3,348"
2021년03월_남_70~79세,"54,292","21,251","5,512","5,520","5,556","4,663","7,712","5,651","2,046","2,920","2,833","1,204","2,515","2,528","3,886","1,746"
2021년03월_남_80~89세,"22,934","8,150","2,146","2,184","1,996","1,824","3,477","2,334","1,063","1,287","1,351",511,"1,202","1,194","1,609",756
2021년03월_남_90~99세,"2,025",695,224,165,160,146,307,184,103,150,113,44,85,97,172,75
2021년03월_남_100세 이상,76,20,5,6,1,8,8,21,0,3,2,2,3,5,5,7
2021년03월_여_총인구수,"786,257","419,116","97,178","97,071","130,787","94,080","103,392","65,984","15,971","24,959","23,370","17,525","40,017","18,276","43,425","14,222"
2021년03월_여_연령구간인구수,"786,257","419,116","97,178","97,071","130,787","94,080","103,392","65,984","15,971","24,959","23,370","17,525","40,017","18,276","43,425","14,222"
2021년03월_여_0~9세,"59,362","35,916","8,056","6,536","11,735","9,589","7,077","4,171",694,"1,232","1,103","1,515","3,711",644,"2,741",558
