카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년10월_계_총인구수,"32,476","14,916","1,917","1,469","2,219","1,668","2,310","1,943",758,"1,780","1,707","1,789"
2020년10월_계_연령구간인구수,"32,476","14,916","1,917","1,469","2,219","1,668","2,310","1,943",758,"1,780","1,707","1,789"
2020년10월_계_0~9세,"1,474","1,019",35,75,50,26,59,52,23,59,34,42
2020년10월_계_10~19세,"2,134","1,339",87,78,96,57,142,95,24,65,70,81
2020년10월_계_20~29세,"2,384","1,404",117,103,89,85,161,107,26,88,104,100
2020년10월_계_30~39세,"2,237","1,314",92,141,98,71,158,101,26,64,85,87
2020년10월_계_40~49세,"3,376","1,962",173,163,159,111,193,166,57,123,115,154
2020년10월_계_50~59세,"5,931","2,671",397,253,397,269,402,343,138,342,355,364
2020년10월_계_60~69세,"6,725","2,528",475,267,555,413,509,494,230,439,387,428
2020년10월_계_70~79세,"4,573","1,541",339,208,432,344,387,300,138,316,295,273
2020년10월_계_80~89세,"3,120",986,160,153,299,259,276,233,83,242,212,217
2020년10월_계_90~99세,495,141,39,26,42,30,22,51,13,41,49,41
2020년10월_계_100세 이상,27,11,3,2,2,3,1,1,0,1,1,2
2020년10월_남_총인구수,"16,328","7,425",989,765,"1,072",811,"1,177",970,407,888,875,949
2020년10월_남_연령구간인구수,"16,328","7,425",989,765,"1,072",811,"1,177",970,407,888,875,949
2020년10월_남_0~9세,761,514,20,38,25,17,29,27,14,31,18,28
2020년10월_남_10~19세,"1,134",719,45,33,52,31,78,46,14,33,39,44
2020년10월_남_20~29세,"1,401",797,73,69,51,49,105,57,13,58,62,67
2020년10월_남_30~39세,"1,228",660,59,96,55,45,105,61,12,33,47,55
2020년10월_남_40~49세,"1,902","1,040",107,94,101,69,118,97,35,87,71,83
2020년10월_남_50~59세,"3,263","1,414",213,148,214,158,223,192,86,196,211,208
2020년10월_남_60~69세,"3,438","1,253",255,132,276,194,254,271,127,222,212,242
2020년10월_남_70~79세,"2,027",668,142,95,189,147,163,137,74,144,127,141
2020년10월_남_80~89세,"1,066",329,68,53,97,91,99,79,32,76,72,70
2020년10월_남_90~99세,107,31,6,7,12,10,3,3,0,8,16,11
2020년10월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"16,148","7,491",928,704,"1,147",857,"1,133",973,351,892,832,840
2020년10월_여_연령구간인구수,"16,148","7,491",928,704,"1,147",857,"1,133",973,351,892,832,840
2020년10월_여_0~9세,713,505,15,37,25,9,30,25,9,28,16,14
2020년10월_여_10~19세,"1,000",620,42,45,44,26,64,49,10,32,31,37
2020년10월_여_20~29세,983,607,44,34,38,36,56,50,13,30,42,33
2020년10월_여_30~39세,"1,009",654,33,45,43,26,53,40,14,31,38,32
2020년10월_여_40~49세,"1,474",922,66,69,58,42,75,69,22,36,44,71
2020년10월_여_50~59세,"2,668","1,257",184,105,183,111,179,151,52,146,144,156
2020년10월_여_60~69세,"3,287","1,275",220,135,279,219,255,223,103,217,175,186
2020년10월_여_70~79세,"2,546",873,197,113,243,197,224,163,64,172,168,132
2020년10월_여_80~89세,"2,054",657,92,100,202,168,177,154,51,166,140,147
2020년10월_여_90~99세,388,110,33,19,30,20,19,48,13,33,33,30
2020년10월_여_100세 이상,26,11,2,2,2,3,1,1,0,1,1,2
