,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년03월_계_총인구수,"107,710","5,440","4,264","2,850","2,068","2,786","1,785","1,788","2,090","2,592","3,418","2,783","1,672","2,318","1,230","2,095","17,387","2,971","20,509","3,307","10,334","5,986","4,120","3,917"
2021년03월_계_연령구간인구수,"107,710","5,440","4,264","2,850","2,068","2,786","1,785","1,788","2,090","2,592","3,418","2,783","1,672","2,318","1,230","2,095","17,387","2,971","20,509","3,307","10,334","5,986","4,120","3,917"
2021년03월_계_0~9세,"6,227",244,172,56,63,71,49,36,40,83,72,53,49,85,32,55,"1,404",145,"1,597",157,971,474,189,130
2021년03월_계_10~19세,"9,561",363,273,149,73,114,71,100,93,110,155,66,63,143,53,94,"1,999",287,"2,734",263,"1,319",499,314,226
2021년03월_계_20~29세,"10,457",372,375,187,109,148,114,133,115,163,233,130,82,148,76,114,"2,189",332,"2,435",340,"1,202",602,425,433
2021년03월_계_30~39세,"8,704",366,309,141,114,194,79,87,95,146,164,169,105,110,48,97,"1,897",225,"1,859",243,"1,044",620,294,298
2021년03월_계_40~49세,"14,615",615,452,242,180,262,156,177,181,232,342,217,144,239,80,188,"3,106",468,"3,400",369,"1,731",930,485,419
2021년03월_계_50~59세,"18,219",885,837,548,346,435,257,342,331,453,562,434,273,400,240,361,"2,985",538,"3,355",528,"1,670",963,789,687
2021년03월_계_60~69세,"17,207","1,013",812,591,413,615,388,370,428,539,708,663,340,440,291,444,"1,981",419,"2,581",625,"1,226",874,747,699
2021년03월_계_70~79세,"13,256",933,580,487,414,525,374,294,416,470,618,594,329,408,235,408,"1,197",328,"1,619",499,772,684,510,562
2021년03월_계_80~89세,"8,235",570,396,393,319,371,250,211,341,349,487,395,238,306,153,292,558,203,804,235,364,283,323,394
2021년03월_계_90~99세,"1,165",75,53,54,36,49,45,36,49,44,74,58,47,36,21,42,63,24,120,47,34,55,38,65
2021년03월_계_100세 이상,64,4,5,2,1,2,2,2,1,3,3,4,2,3,1,0,8,2,5,1,1,2,6,4
2021년03월_남_총인구수,"53,490","2,664","2,152","1,431","1,057","1,398",883,904,"1,037","1,297","1,691","1,390",843,"1,191",623,"1,055","8,837","1,470","9,875","1,599","5,106","2,985","1,986","2,016"
2021년03월_남_연령구간인구수,"53,490","2,664","2,152","1,431","1,057","1,398",883,904,"1,037","1,297","1,691","1,390",843,"1,191",623,"1,055","8,837","1,470","9,875","1,599","5,106","2,985","1,986","2,016"
2021년03월_남_0~9세,"3,194",120,77,27,39,34,30,18,21,49,42,29,23,38,15,25,716,67,804,84,521,248,95,72
2021년03월_남_10~19세,"5,068",218,148,85,41,52,36,57,57,50,84,39,32,91,29,46,"1,068",144,"1,376",132,746,251,164,122
2021년03월_남_20~29세,"5,802",209,208,116,66,104,65,76,74,100,132,72,46,88,47,59,"1,235",182,"1,270",195,657,321,238,242
2021년03월_남_30~39세,"4,639",213,168,82,69,128,49,59,54,82,105,105,71,74,33,60,"1,005",114,900,122,495,320,154,177
2021년03월_남_40~49세,"7,689",350,254,144,115,180,103,107,119,146,213,148,97,140,48,119,"1,578",245,"1,581",200,814,503,247,238
2021년03월_남_50~59세,"9,818",479,469,326,213,250,150,195,200,271,329,258,158,244,138,232,"1,572",293,"1,678",257,814,497,410,385
2021년03월_남_60~69세,"8,555",503,427,316,209,316,197,188,220,281,340,320,178,234,165,232,969,219,"1,231",286,582,416,358,368
2021년03월_남_70~79세,"5,753",385,268,198,192,213,168,137,175,197,259,283,145,172,92,178,508,133,733,210,340,308,210,249
2021년03월_남_80~89세,"2,713",166,125,129,105,113,78,57,103,111,158,124,81,104,52,95,175,69,277,102,131,110,98,150
2021년03월_남_90~99세,249,21,8,8,8,7,7,10,14,10,27,12,12,6,4,9,11,3,23,11,6,10,10,12
2021년03월_남_100세 이상,10,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,2,1
2021년03월_여_총인구수,"54,220","2,776","2,112","1,419","1,011","1,388",902,884,"1,053","1,295","1,727","1,393",829,"1,127",607,"1,040","8,550","1,501","10,634","1,708","5,228","3,001","2,134","1,901"
2021년03월_여_연령구간인구수,"54,220","2,776","2,112","1,419","1,011","1,388",902,884,"1,053","1,295","1,727","1,393",829,"1,127",607,"1,040","8,550","1,501","10,634","1,708","5,228","3,001","2,134","1,901"
2021년03월_여_0~9세,"3,033",124,95,29,24,37,19,18,19,34,30,24,26,47,17,30,688,78,793,73,450,226,94,58
2021년03월_여_10~19세,"4,493",145,125,64,32,62,35,43,36,60,71,27,31,52,24,48,931,143,"1,358",131,573,248,150,104
2021년03월_여_20~29세,"4,655",163,167,71,43,44,49,57,41,63,101,58,36,60,29,55,954,150,"1,165",145,545,281,187,191
2021년03월_여_30~39세,"4,065",153,141,59,45,66,30,28,41,64,59,64,34,36,15,37,892,111,959,121,549,300,140,121
2021년03월_여_40~49세,"6,926",265,198,98,65,82,53,70,62,86,129,69,47,99,32,69,"1,528",223,"1,819",169,917,427,238,181
2021년03월_여_50~59세,"8,401",406,368,222,133,185,107,147,131,182,233,176,115,156,102,129,"1,413",245,"1,677",271,856,466,379,302
2021년03월_여_60~69세,"8,652",510,385,275,204,299,191,182,208,258,368,343,162,206,126,212,"1,012",200,"1,350",339,644,458,389,331
2021년03월_여_70~79세,"7,503",548,312,289,222,312,206,157,241,273,359,311,184,236,143,230,689,195,886,289,432,376,300,313
2021년03월_여_80~89세,"5,522",404,271,264,214,258,172,154,238,238,329,271,157,202,101,197,383,134,527,133,233,173,225,244
2021년03월_여_90~99세,916,54,45,46,28,42,38,26,35,34,47,46,35,30,17,33,52,21,97,36,28,45,28,53
2021년03월_여_100세 이상,54,4,5,2,1,1,2,2,1,3,1,4,2,3,1,0,8,1,3,1,1,1,4,3
