,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년10월_계_총인구수,"103,386","10,659","2,372","1,455","1,970","2,203","3,072","2,771","2,042","1,910","3,140","7,981","6,174","4,095","3,570","6,704","8,251","8,097","18,903","8,017"
2020년10월_계_연령구간인구수,"103,386","10,659","2,372","1,455","1,970","2,203","3,072","2,771","2,042","1,910","3,140","7,981","6,174","4,095","3,570","6,704","8,251","8,097","18,903","8,017"
2020년10월_계_0~9세,"6,150",469,57,25,56,55,86,72,41,27,53,493,340,168,166,505,443,463,"2,078",553
2020년10월_계_10~19세,"8,945",719,102,56,87,108,133,135,85,67,127,985,600,291,255,873,620,719,"2,163",820
2020년10월_계_20~29세,"9,646",931,189,84,147,150,206,162,143,102,140,781,611,308,297,707,943,984,"1,910",851
2020년10월_계_30~39세,"8,595",736,123,48,107,116,162,122,92,85,145,598,467,297,263,542,707,630,"2,564",791
2020년10월_계_40~49세,"13,982","1,251",182,102,180,196,273,285,143,157,210,"1,306",867,503,413,"1,155","1,067","1,075","3,376","1,241"
2020년10월_계_50~59세,"18,077","1,886",487,259,334,358,518,525,378,350,608,"1,390","1,114",708,643,"1,203","1,582","1,615","2,721","1,398"
2020년10월_계_60~69세,"18,225","2,275",542,341,450,514,715,707,543,464,821,"1,153","1,028",864,736,843,"1,455","1,392","2,161","1,221"
2020년10월_계_70~79세,"11,900","1,452",356,287,315,380,537,453,343,337,591,791,724,584,520,565,940,787,"1,238",700
2020년10월_계_80~89세,"6,809",786,289,216,245,271,383,264,230,278,388,403,380,330,245,278,440,373,616,394
2020년10월_계_90~99세,996,142,44,34,47,52,58,39,43,42,53,78,40,38,31,31,50,57,73,44
2020년10월_계_100세 이상,61,12,1,3,2,3,1,7,1,1,4,3,3,4,1,2,4,2,3,4
2020년10월_남_총인구수,"51,227","5,244","1,218",735,"1,003","1,118","1,551","1,410","1,020",955,"1,556","3,981","2,955","1,987","1,705","3,338","4,056","4,042","9,502","3,851"
2020년10월_남_연령구간인구수,"51,227","5,244","1,218",735,"1,003","1,118","1,551","1,410","1,020",955,"1,556","3,981","2,955","1,987","1,705","3,338","4,056","4,042","9,502","3,851"
2020년10월_남_0~9세,"3,173",248,29,16,29,32,43,36,24,14,30,257,174,98,96,251,206,233,"1,077",280
2020년10월_남_10~19세,"4,675",357,50,27,44,57,73,67,44,39,69,527,299,132,140,459,342,398,"1,120",431
2020년10월_남_20~29세,"5,657",585,122,57,95,94,129,101,96,71,74,469,348,185,161,432,528,584,"1,085",441
2020년10월_남_30~39세,"4,591",391,69,29,66,77,106,69,54,53,86,313,255,162,131,277,381,347,"1,310",415
2020년10월_남_40~49세,"7,249",667,106,68,113,114,171,178,80,98,133,629,429,267,205,550,546,518,"1,759",618
2020년10월_남_50~59세,"9,226",939,276,147,178,192,266,273,198,183,322,737,567,383,328,631,755,804,"1,383",664
2020년10월_남_60~69세,"8,722","1,117",280,171,244,270,367,357,277,251,411,541,457,385,318,372,667,646,"1,016",575
2020년10월_남_70~79세,"5,330",635,173,138,146,175,254,227,155,148,281,350,283,251,232,262,437,361,521,301
2020년10월_남_80~89세,"2,378",273,102,71,80,96,133,88,84,87,140,149,132,112,88,93,181,137,214,118
2020년10월_남_90~99세,213,28,11,11,8,11,9,12,7,10,9,9,10,11,6,11,12,14,16,8
2020년10월_남_100세 이상,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년10월_여_총인구수,"52,159","5,415","1,154",720,967,"1,085","1,521","1,361","1,022",955,"1,584","4,000","3,219","2,108","1,865","3,366","4,195","4,055","9,401","4,166"
2020년10월_여_연령구간인구수,"52,159","5,415","1,154",720,967,"1,085","1,521","1,361","1,022",955,"1,584","4,000","3,219","2,108","1,865","3,366","4,195","4,055","9,401","4,166"
2020년10월_여_0~9세,"2,977",221,28,9,27,23,43,36,17,13,23,236,166,70,70,254,237,230,"1,001",273
2020년10월_여_10~19세,"4,270",362,52,29,43,51,60,68,41,28,58,458,301,159,115,414,278,321,"1,043",389
2020년10월_여_20~29세,"3,989",346,67,27,52,56,77,61,47,31,66,312,263,123,136,275,415,400,825,410
2020년10월_여_30~39세,"4,004",345,54,19,41,39,56,53,38,32,59,285,212,135,132,265,326,283,"1,254",376
2020년10월_여_40~49세,"6,733",584,76,34,67,82,102,107,63,59,77,677,438,236,208,605,521,557,"1,617",623
2020년10월_여_50~59세,"8,851",947,211,112,156,166,252,252,180,167,286,653,547,325,315,572,827,811,"1,338",734
2020년10월_여_60~69세,"9,503","1,158",262,170,206,244,348,350,266,213,410,612,571,479,418,471,788,746,"1,145",646
2020년10월_여_70~79세,"6,570",817,183,149,169,205,283,226,188,189,310,441,441,333,288,303,503,426,717,399
2020년10월_여_80~89세,"4,431",513,187,145,165,175,250,176,146,191,248,254,248,218,157,185,259,236,402,276
2020년10월_여_90~99세,783,114,33,23,39,41,49,27,36,32,44,69,30,27,25,20,38,43,57,36
2020년10월_여_100세 이상,48,8,1,3,2,3,1,5,0,0,3,3,2,3,1,2,3,2,2,4
