카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년02월_계_총인구수,"77,151","9,081","6,601","4,953","4,604","5,287","8,286","5,228","3,439","7,179","12,216","7,730","2,547"
2020년02월_계_연령구간인구수,"77,151","9,081","6,601","4,953","4,604","5,287","8,286","5,228","3,439","7,179","12,216","7,730","2,547"
2020년02월_계_0~9세,"5,443",372,519,187,140,564,928,294,119,655,"1,008",576,81
2020년02월_계_10~19세,"5,194",506,381,249,206,265,570,331,222,526,"1,115",649,174
2020년02월_계_20~29세,"11,564","1,520","1,689","1,290",804,661,852,840,534,740,"1,384",991,259
2020년02월_계_30~39세,"11,031","1,213","1,244",756,533,"1,060","1,467",684,383,"1,023","1,470",975,223
2020년02월_계_40~49세,"10,995","1,212",912,578,525,705,"1,178",693,491,"1,145","1,977","1,196",383
2020년02월_계_50~59세,"11,530","1,411",692,638,767,760,"1,279",849,570,"1,107","1,829","1,196",432
2020년02월_계_60~69세,"10,144","1,312",582,576,787,664,"1,022",705,490,961,"1,688",933,424
2020년02월_계_70~79세,"7,404","1,027",359,435,564,408,671,566,404,673,"1,141",757,399
2020년02월_계_80~89세,"3,270",425,187,192,222,162,272,244,184,312,533,390,147
2020년02월_계_90~99세,482,72,29,46,42,33,37,20,28,33,63,60,19
2020년02월_계_100세 이상,94,11,7,6,14,5,10,2,14,4,8,7,6
2020년02월_남_총인구수,"37,184","4,505","3,129","2,356","2,341","2,643","4,027","2,516","1,652","3,331","5,800","3,636","1,248"
2020년02월_남_연령구간인구수,"37,184","4,505","3,129","2,356","2,341","2,643","4,027","2,516","1,652","3,331","5,800","3,636","1,248"
2020년02월_남_0~9세,"2,804",175,262,98,76,277,446,158,59,354,542,316,41
2020년02월_남_10~19세,"2,657",250,179,114,103,142,318,157,118,267,595,318,96
2020년02월_남_20~29세,"5,590",754,756,537,400,327,446,407,263,340,722,502,136
2020년02월_남_30~39세,"5,688",681,651,427,310,547,718,336,195,510,730,461,122
2020년02월_남_40~49세,"5,636",664,474,295,293,378,612,371,245,572,962,569,201
2020년02월_남_50~59세,"5,652",720,327,342,399,386,600,427,293,510,852,574,222
2020년02월_남_60~69세,"4,696",650,247,290,402,326,492,334,226,399,713,420,197
2020년02월_남_70~79세,"3,135",440,153,172,259,194,281,246,174,268,488,292,168
2020년02월_남_80~89세,"1,191",153,74,65,86,56,105,73,73,105,180,161,60
2020년02월_남_90~99세,117,16,5,13,10,9,8,6,3,6,14,22,5
2020년02월_남_100세 이상,18,2,1,3,3,1,1,1,3,0,2,1,0
2020년02월_여_총인구수,"39,967","4,576","3,472","2,597","2,263","2,644","4,259","2,712","1,787","3,848","6,416","4,094","1,299"
2020년02월_여_연령구간인구수,"39,967","4,576","3,472","2,597","2,263","2,644","4,259","2,712","1,787","3,848","6,416","4,094","1,299"
2020년02월_여_0~9세,"2,639",197,257,89,64,287,482,136,60,301,466,260,40
2020년02월_여_10~19세,"2,537",256,202,135,103,123,252,174,104,259,520,331,78
2020년02월_여_20~29세,"5,974",766,933,753,404,334,406,433,271,400,662,489,123
2020년02월_여_30~39세,"5,343",532,593,329,223,513,749,348,188,513,740,514,101
2020년02월_여_40~49세,"5,359",548,438,283,232,327,566,322,246,573,"1,015",627,182
2020년02월_여_50~59세,"5,878",691,365,296,368,374,679,422,277,597,977,622,210
2020년02월_여_60~69세,"5,448",662,335,286,385,338,530,371,264,562,975,513,227
2020년02월_여_70~79세,"4,269",587,206,263,305,214,390,320,230,405,653,465,231
2020년02월_여_80~89세,"2,079",272,113,127,136,106,167,171,111,207,353,229,87
2020년02월_여_90~99세,365,56,24,33,32,24,29,14,25,27,49,38,14
2020년02월_여_100세 이상,76,9,6,3,11,4,9,1,11,4,6,6,6
