카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년09월_계_총인구수,"34,442","6,752","1,416","1,051","2,009","2,857","1,812","4,133","5,614","5,577","1,164","2,057"
2021년09월_계_연령구간인구수,"34,442","6,752","1,416","1,051","2,009","2,857","1,812","4,133","5,614","5,577","1,164","2,057"
2021년09월_계_0~9세,"1,218",352,47,32,46,82,28,112,158,296,33,32
2021년09월_계_10~19세,"2,032",542,38,46,91,157,72,275,202,458,45,106
2021년09월_계_20~29세,"2,266",606,57,38,97,146,92,276,338,484,49,83
2021년09월_계_30~39세,"1,993",582,59,39,78,178,63,195,271,402,57,69
2021년09월_계_40~49세,"3,324",804,101,87,131,256,137,440,511,613,83,161
2021년09월_계_50~59세,"6,330","1,134",238,161,298,521,382,883,"1,137","1,050",170,356
2021년09월_계_60~69세,"7,715","1,218",353,222,472,618,464,966,"1,420","1,168",312,502
2021년09월_계_70~79세,"5,174",854,259,197,406,468,324,578,884,588,223,393
2021년09월_계_80~89세,"3,785",553,230,194,338,365,222,352,598,457,161,315
2021년09월_계_90~99세,588,104,33,34,50,64,27,53,92,61,31,39
2021년09월_계_100세 이상,17,3,1,1,2,2,1,3,3,0,0,1
2021년09월_남_총인구수,"16,939","3,277",698,502,965,"1,401",887,"2,059","2,820","2,743",562,"1,025"
2021년09월_남_연령구간인구수,"16,939","3,277",698,502,965,"1,401",887,"2,059","2,820","2,743",562,"1,025"
2021년09월_남_0~9세,626,174,25,13,31,46,19,52,92,147,14,13
2021년09월_남_10~19세,"1,101",285,26,28,54,84,45,157,107,226,23,66
2021년09월_남_20~29세,"1,303",341,30,19,60,82,54,157,209,278,29,44
2021년09월_남_30~39세,"1,064",298,36,17,46,96,39,93,153,212,33,41
2021년09월_남_40~49세,"1,836",410,59,55,87,147,78,225,303,311,57,104
2021년09월_남_50~59세,"3,454",590,154,102,172,293,195,480,602,543,105,218
2021년09월_남_60~69세,"4,015",621,182,115,242,326,239,482,754,624,160,270
2021년09월_남_70~79세,"2,307",379,116,81,161,201,140,270,415,269,96,179
2021년09월_남_80~89세,"1,116",160,61,66,102,110,74,126,176,123,39,79
2021년09월_남_90~99세,114,19,9,6,9,16,4,15,9,10,6,11
2021년09월_남_100세 이상,3,0,0,0,1,0,0,2,0,0,0,0
2021년09월_여_총인구수,"17,503","3,475",718,549,"1,044","1,456",925,"2,074","2,794","2,834",602,"1,032"
2021년09월_여_연령구간인구수,"17,503","3,475",718,549,"1,044","1,456",925,"2,074","2,794","2,834",602,"1,032"
2021년09월_여_0~9세,592,178,22,19,15,36,9,60,66,149,19,19
2021년09월_여_10~19세,931,257,12,18,37,73,27,118,95,232,22,40
2021년09월_여_20~29세,963,265,27,19,37,64,38,119,129,206,20,39
2021년09월_여_30~39세,929,284,23,22,32,82,24,102,118,190,24,28
2021년09월_여_40~49세,"1,488",394,42,32,44,109,59,215,208,302,26,57
2021년09월_여_50~59세,"2,876",544,84,59,126,228,187,403,535,507,65,138
2021년09월_여_60~69세,"3,700",597,171,107,230,292,225,484,666,544,152,232
2021년09월_여_70~79세,"2,867",475,143,116,245,267,184,308,469,319,127,214
2021년09월_여_80~89세,"2,669",393,169,128,236,255,148,226,422,334,122,236
2021년09월_여_90~99세,474,85,24,28,41,48,23,38,83,51,25,28
2021년09월_여_100세 이상,14,3,1,1,1,2,1,1,3,0,0,1
