카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년07월_계_총인구수,"42,772","6,810","18,373","8,929","8,660"
2020년07월_계_연령구간인구수,"42,772","6,810","18,373","8,929","8,660"
2020년07월_계_0~9세,"4,004",625,"1,278","1,346",755
2020년07월_계_10~19세,"6,424",893,"2,392","2,027","1,112"
2020년07월_계_20~29세,"4,859",714,"2,368",785,992
2020년07월_계_30~39세,"4,691",677,"1,666","1,412",936
2020년07월_계_40~49세,"8,442","1,128","3,226","2,526","1,562"
2020년07월_계_50~59세,"6,876","1,270","3,466",668,"1,472"
2020년07월_계_60~69세,"4,234",918,"2,086",84,"1,146"
2020년07월_계_70~79세,"1,993",380,"1,109",54,450
2020년07월_계_80~89세,"1,075",161,685,25,204
2020년07월_계_90~99세,164,41,92,2,29
2020년07월_계_100세 이상,10,3,5,0,2
2020년07월_남_총인구수,"21,306","3,316","9,013","4,633","4,344"
2020년07월_남_연령구간인구수,"21,306","3,316","9,013","4,633","4,344"
2020년07월_남_0~9세,"2,034",311,674,672,377
2020년07월_남_10~19세,"3,354",451,"1,259","1,058",586
2020년07월_남_20~29세,"2,724",382,"1,301",454,587
2020년07월_남_30~39세,"2,318",324,839,689,466
2020년07월_남_40~49세,"4,096",524,"1,530","1,310",732
2020년07월_남_50~59세,"3,469",630,"1,702",409,728
2020년07월_남_60~69세,"2,043",455,"1,000",19,569
2020년07월_남_70~79세,887,185,472,13,217
2020년07월_남_80~89세,345,47,217,8,73
2020년07월_남_90~99세,36,7,19,1,9
2020년07월_남_100세 이상,0,0,0,0,0
2020년07월_여_총인구수,"21,466","3,494","9,360","4,296","4,316"
2020년07월_여_연령구간인구수,"21,466","3,494","9,360","4,296","4,316"
2020년07월_여_0~9세,"1,970",314,604,674,378
2020년07월_여_10~19세,"3,070",442,"1,133",969,526
2020년07월_여_20~29세,"2,135",332,"1,067",331,405
2020년07월_여_30~39세,"2,373",353,827,723,470
2020년07월_여_40~49세,"4,346",604,"1,696","1,216",830
2020년07월_여_50~59세,"3,407",640,"1,764",259,744
2020년07월_여_60~69세,"2,191",463,"1,086",65,577
2020년07월_여_70~79세,"1,106",195,637,41,233
2020년07월_여_80~89세,730,114,468,17,131
2020년07월_여_90~99세,128,34,73,1,20
2020년07월_여_100세 이상,10,3,5,0,2
