,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년04월_계_총인구수,"312,809","18,236","17,040","17,814","18,851","37,805","24,570","16,045","14,386","23,049","27,322","16,231","29,553","18,760","33,147"
2020년04월_계_연령구간인구수,"312,809","18,236","17,040","17,814","18,851","37,805","24,570","16,045","14,386","23,049","27,322","16,231","29,553","18,760","33,147"
2020년04월_계_0~9세,"20,662","1,340","1,487",779,813,"1,792","1,662",810,872,"1,464","1,412","2,229","2,692","1,513","1,797"
2020년04월_계_10~19세,"24,532","1,563","1,151","1,198",989,"2,666","1,978","1,190","1,147","1,889","2,291","1,454","2,445","1,988","2,583"
2020년04월_계_20~29세,"49,833","2,304","2,455","3,074","6,906","7,771","3,193","2,170","1,880","2,947","4,187","1,624","4,210","2,203","4,909"
2020년04월_계_30~39세,"45,332","2,503","3,024","2,556","3,176","5,824","3,541","2,007","1,940","2,947","3,601","2,636","4,566","2,550","4,461"
2020년04월_계_40~49세,"48,237","2,956","2,775","2,555","1,987","5,482","3,865","2,309","2,154","3,484","4,173","3,094","4,850","3,362","5,191"
2020년04월_계_50~59세,"49,621","3,042","2,813","3,018","1,998","5,518","4,093","2,750","2,619","4,045","4,618","2,181","4,376","3,011","5,539"
2020년04월_계_60~69세,"37,490","2,134","1,747","2,401","1,388","4,206","3,218","2,309","1,892","3,204","3,622","1,559","3,181","2,126","4,503"
2020년04월_계_70~79세,"24,346","1,486","1,039","1,400","1,008","2,962","2,001","1,597","1,255","1,982","2,224",966,"2,143","1,364","2,919"
2020년04월_계_80~89세,"10,876",772,448,669,474,"1,359",879,789,539,930,"1,024",422,919,554,"1,098"
2020년04월_계_90~99세,"1,599",106,74,129,87,196,127,94,83,138,149,51,149,79,137
2020년04월_계_100세 이상,281,30,27,35,25,29,13,20,5,19,21,15,22,10,10
2020년04월_남_총인구수,"150,069","8,679","8,153","8,584","8,428","18,281","11,561","7,813","6,851","11,163","13,254","7,856","14,255","9,085","16,106"
2020년04월_남_연령구간인구수,"150,069","8,679","8,153","8,584","8,428","18,281","11,561","7,813","6,851","11,163","13,254","7,856","14,255","9,085","16,106"
2020년04월_남_0~9세,"10,623",678,764,393,467,923,833,424,465,750,724,"1,130","1,341",797,934
2020년04월_남_10~19세,"12,233",756,564,595,424,"1,358",957,627,567,967,"1,156",686,"1,201","1,047","1,328"
2020년04월_남_20~29세,"24,089","1,148","1,113","1,492","2,718","3,986","1,592","1,081",952,"1,459","2,138",801,"2,082","1,053","2,474"
2020년04월_남_30~39세,"22,526","1,229","1,484","1,270","1,557","2,937","1,732","1,059",957,"1,497","1,891","1,185","2,224","1,209","2,295"
2020년04월_남_40~49세,"23,858","1,452","1,383","1,288",979,"2,624","1,862","1,173","1,032","1,713","2,057","1,636","2,447","1,683","2,529"
2020년04월_남_50~59세,"24,040","1,510","1,403","1,500",999,"2,626","1,866","1,364","1,256","2,001","2,188","1,075","2,138","1,450","2,664"
2020년04월_남_60~69세,"17,613","1,011",829,"1,142",625,"1,962","1,483","1,086",902,"1,535","1,668",716,"1,502","1,013","2,139"
2020년04월_남_70~79세,"10,406",587,428,607,433,"1,249",858,661,500,854,995,430,921,592,"1,291"
2020년04월_남_80~89세,"4,166",268,161,257,190,538,342,301,194,341,398,180,355,222,419
2020년04월_남_90~99세,440,32,21,29,28,70,35,28,23,41,36,13,39,17,28
2020년04월_남_100세 이상,75,8,3,11,8,8,1,9,3,5,3,4,5,2,5
2020년04월_여_총인구수,"162,740","9,557","8,887","9,230","10,423","19,524","13,009","8,232","7,535","11,886","14,068","8,375","15,298","9,675","17,041"
2020년04월_여_연령구간인구수,"162,740","9,557","8,887","9,230","10,423","19,524","13,009","8,232","7,535","11,886","14,068","8,375","15,298","9,675","17,041"
2020년04월_여_0~9세,"10,039",662,723,386,346,869,829,386,407,714,688,"1,099","1,351",716,863
2020년04월_여_10~19세,"12,299",807,587,603,565,"1,308","1,021",563,580,922,"1,135",768,"1,244",941,"1,255"
2020년04월_여_20~29세,"25,744","1,156","1,342","1,582","4,188","3,785","1,601","1,089",928,"1,488","2,049",823,"2,128","1,150","2,435"
2020년04월_여_30~39세,"22,806","1,274","1,540","1,286","1,619","2,887","1,809",948,983,"1,450","1,710","1,451","2,342","1,341","2,166"
2020년04월_여_40~49세,"24,379","1,504","1,392","1,267","1,008","2,858","2,003","1,136","1,122","1,771","2,116","1,458","2,403","1,679","2,662"
2020년04월_여_50~59세,"25,581","1,532","1,410","1,518",999,"2,892","2,227","1,386","1,363","2,044","2,430","1,106","2,238","1,561","2,875"
2020년04월_여_60~69세,"19,877","1,123",918,"1,259",763,"2,244","1,735","1,223",990,"1,669","1,954",843,"1,679","1,113","2,364"
2020년04월_여_70~79세,"13,940",899,611,793,575,"1,713","1,143",936,755,"1,128","1,229",536,"1,222",772,"1,628"
2020년04월_여_80~89세,"6,710",504,287,412,284,821,537,488,345,589,626,242,564,332,679
2020년04월_여_90~99세,"1,159",74,53,100,59,126,92,66,60,97,113,38,110,62,109
2020년04월_여_100세 이상,206,22,24,24,17,21,12,11,2,14,18,11,17,8,5
