카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년02월_계_총인구수,"407,369","14,537","13,985","17,150","17,265","18,172","7,670","47,167","32,390","19,658","23,949","26,943","20,687","18,344","9,024","14,642","17,877","23,059","13,381","21,901","15,843","13,725"
2020년02월_계_연령구간인구수,"407,369","14,537","13,985","17,150","17,265","18,172","7,670","47,167","32,390","19,658","23,949","26,943","20,687","18,344","9,024","14,642","17,877","23,059","13,381","21,901","15,843","13,725"
2020년02월_계_0~9세,"28,780","1,172","1,056","1,104",704,"1,386",312,"4,489","2,438","1,310","1,796","2,223","1,445","1,050",542,660,904,"2,191",671,"1,438","1,108",781
2020년02월_계_10~19세,"32,874",959,843,"1,386","1,040","1,409",395,"4,939","3,608","1,903","1,669","2,074",920,"1,212",710,930,"1,297","1,890","1,064","2,016","1,362","1,248"
2020년02월_계_20~29세,"56,970","1,874","2,029","2,169","3,708","2,785",864,"6,202","4,278","2,554","3,386","3,485","4,296","2,351","1,131","1,745","2,596","2,861","1,636","2,967","2,205","1,848"
2020년02월_계_30~39세,"57,370","2,210","2,387","2,320","1,886","2,946",875,"6,488","3,580","2,393","3,886","4,362","4,487","2,285","1,022","1,703","2,465","3,833","1,524","2,733","2,053","1,932"
2020년02월_계_40~49세,"64,586","2,176","2,036","2,598","2,206","2,705","1,069","8,473","5,750","3,155","3,682","4,126","3,117","2,659","1,450","2,004","2,744","3,951","2,043","3,487","2,347","2,808"
2020년02월_계_50~59세,"68,310","2,382","2,249","2,839","2,706","2,710","1,353","7,736","5,720","3,443","3,829","4,414","3,103","3,215","1,554","2,560","3,207","3,472","2,417","4,073","2,869","2,459"
2020년02월_계_60~69세,"53,472","1,983","1,775","2,420","2,481","2,273","1,394","5,027","3,964","2,595","3,033","3,545","2,006","2,920","1,370","2,595","2,508","2,712","2,141","2,928","2,263","1,539"
2020년02월_계_70~79세,"30,621","1,192","1,002","1,564","1,756","1,383",928,"2,622","2,134","1,537","1,805","1,850",915,"1,813",886,"1,686","1,414","1,418","1,269","1,569","1,106",772
2020년02월_계_80~89세,"12,350",512,499,656,655,482,403,"1,039",800,648,735,752,345,726,316,643,633,628,519,614,457,288
2020년02월_계_90~99세,"1,859",73,92,88,108,80,64,150,111,109,120,100,50,101,38,105,100,95,89,72,66,48
2020년02월_계_100세 이상,177,4,17,6,15,13,13,2,7,11,8,12,3,12,5,11,9,8,8,4,7,2
2020년02월_남_총인구수,"205,288","7,356","7,065","8,635","9,278","9,179","4,031","23,442","16,144","9,717","11,925","13,708","10,787","9,311","4,595","7,298","8,879","11,531","6,534","10,755","7,810","7,308"
2020년02월_남_연령구간인구수,"205,288","7,356","7,065","8,635","9,278","9,179","4,031","23,442","16,144","9,717","11,925","13,708","10,787","9,311","4,595","7,298","8,879","11,531","6,534","10,755","7,810","7,308"
2020년02월_남_0~9세,"14,709",589,541,563,373,726,160,"2,290","1,239",654,924,"1,106",768,542,283,324,442,"1,126",330,746,595,388
2020년02월_남_10~19세,"17,006",495,433,755,538,781,202,"2,570","1,883",987,821,"1,078",454,639,362,465,651,980,558,"1,017",694,643
2020년02월_남_20~29세,"30,189",990,"1,014","1,131","2,378","1,396",502,"3,242","2,277","1,394","1,715","1,797","2,160","1,296",642,957,"1,321","1,469",859,"1,562","1,113",974
2020년02월_남_30~39세,"30,731","1,191","1,334","1,284","1,071","1,590",522,"3,220","1,814","1,251","2,056","2,398","2,521","1,241",555,940,"1,366","1,980",824,"1,448","1,048","1,077"
2020년02월_남_40~49세,"34,079","1,219","1,097","1,337","1,281","1,407",645,"4,312","2,840","1,565","1,972","2,225","1,721","1,444",785,"1,083","1,476","2,091","1,068","1,733","1,200","1,578"
2020년02월_남_50~59세,"34,181","1,210","1,135","1,448","1,388","1,352",743,"3,823","2,856","1,678","1,906","2,206","1,569","1,662",794,"1,290","1,591","1,713","1,143","1,930","1,322","1,422"
2020년02월_남_60~69세,"25,652",956,898,"1,142","1,166","1,077",669,"2,409","1,951","1,242","1,435","1,772","1,012","1,364",663,"1,198","1,188","1,245",994,"1,385","1,113",773
2020년02월_남_70~79세,"13,840",510,434,734,801,655,400,"1,201",961,711,797,831,440,832,386,765,616,660,538,688,542,338
