,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년12월_계_총인구수,"425,126","20,990","21,503","31,979","31,470","28,346","11,940","32,317","16,076","22,352","19,390","21,102","17,264","20,258","21,311","23,760","44,522","22,464","18,082"
2020년12월_계_연령구간인구수,"425,126","20,990","21,503","31,979","31,470","28,346","11,940","32,317","16,076","22,352","19,390","21,102","17,264","20,258","21,311","23,760","44,522","22,464","18,082"
2020년12월_계_0~9세,"33,851","1,522","1,793","1,788","2,992","2,173",591,"3,083","1,858","2,000","1,688","1,509","1,180","1,181","1,324","1,672","4,037","1,441","2,019"
2020년12월_계_10~19세,"45,329","1,960","1,907","2,797","4,227","3,464","1,896","3,517","2,771","2,980","2,171","2,767","1,337","1,640","1,996","2,628","4,340","1,629","1,302"
2020년12월_계_20~29세,"55,091","2,830","3,063","5,256","3,594","3,678","1,494","4,232","1,360","2,495","2,328","2,680","2,503","2,862","2,790","3,213","5,404","3,373","1,936"
2020년12월_계_30~39세,"63,224","3,589","4,262","5,407","3,728","3,851",891,"5,500","1,538","2,621","2,649","2,428","2,970","3,178","2,940","3,625","6,768","4,545","2,734"
2020년12월_계_40~49세,"77,355","3,803","3,855","5,056","6,398","5,547","2,256","6,624","3,721","4,575","3,581","3,962","2,800","3,086","3,224","4,299","7,762","3,734","3,072"
2020년12월_계_50~59세,"63,197","2,997","2,852","4,895","4,772","4,627","2,174","4,119","2,139","3,489","2,869","3,427","2,461","3,167","3,535","3,532","6,302","3,342","2,498"
2020년12월_계_60~69세,"47,797","2,386","2,105","3,665","3,065","2,847","1,260","2,991","1,341","2,257","2,334","2,279","2,128","2,859","3,163","2,406","5,625","2,627","2,459"
2020년12월_계_70~79세,"27,434","1,335","1,203","2,164","1,860","1,425",996,"1,622",937,"1,301","1,249","1,322","1,335","1,649","1,636","1,642","3,016","1,299","1,443"
2020년12월_계_80~89세,"9,787",471,367,797,694,592,331,512,323,517,418,616,459,527,588,646,"1,037",375,517
2020년12월_계_90~99세,"1,829",94,77,137,121,122,38,98,62,103,96,104,78,96,112,85,225,91,90
2020년12월_계_100세 이상,232,3,19,17,19,20,13,19,26,14,7,8,13,13,3,12,6,8,12
2020년12월_남_총인구수,"203,359","10,088","10,245","15,588","15,287","13,584","5,635","15,599","7,664","10,591","9,171","9,800","8,095","9,499","10,304","10,853","21,275","11,272","8,809"
2020년12월_남_연령구간인구수,"203,359","10,088","10,245","15,588","15,287","13,584","5,635","15,599","7,664","10,591","9,171","9,800","8,095","9,499","10,304","10,853","21,275","11,272","8,809"
2020년12월_남_0~9세,"17,490",799,883,940,"1,578","1,144",312,"1,533",983,"1,046",892,766,597,600,684,841,"2,087",791,"1,014"
2020년12월_남_10~19세,"23,120","1,008","1,019","1,619","2,183","1,762",964,"1,811","1,353","1,517","1,131","1,296",716,835,"1,025","1,197","2,206",817,661
2020년12월_남_20~29세,"26,439","1,353","1,369","2,466","1,739","1,767",720,"1,921",665,"1,231","1,113","1,253","1,190","1,420","1,457","1,409","2,642","1,709","1,015"
2020년12월_남_30~39세,"29,140","1,642","1,955","2,572","1,600","1,761",400,"2,491",607,"1,155","1,169","1,077","1,346","1,475","1,408","1,602","3,239","2,368","1,273"
2020년12월_남_40~49세,"36,364","1,827","1,840","2,396","2,974","2,545",924,"3,327","1,697","2,049","1,625","1,755","1,293","1,441","1,484","1,925","3,786","1,913","1,563"
2020년12월_남_50~59세,"31,100","1,453","1,425","2,412","2,490","2,320","1,104","2,133","1,150","1,768","1,374","1,708","1,147","1,435","1,652","1,713","2,998","1,644","1,174"
2020년12월_남_60~69세,"22,041","1,126",974,"1,723","1,443","1,355",600,"1,400",624,"1,020","1,062","1,073",950,"1,253","1,492","1,091","2,466","1,230","1,159"
2020년12월_남_70~79세,"12,850",659,566,"1,047",902,646,432,739,411,569,588,583,619,776,814,748,"1,415",619,717
2020년12월_남_80~89세,"4,241",190,185,367,333,240,165,215,151,207,183,257,202,236,256,306,387,159,202
2020년12월_남_90~99세,512,30,26,41,39,34,12,25,14,28,31,32,29,27,32,19,48,17,28
2020년12월_남_100세 이상,62,1,3,5,6,10,2,4,9,1,3,0,6,1,0,2,1,5,3
2020년12월_여_총인구수,"221,767","10,902","11,258","16,391","16,183","14,762","6,305","16,718","8,412","11,761","10,219","11,302","9,169","10,759","11,007","12,907","23,247","11,192","9,273"
2020년12월_여_연령구간인구수,"221,767","10,902","11,258","16,391","16,183","14,762","6,305","16,718","8,412","11,761","10,219","11,302","9,169","10,759","11,007","12,907","23,247","11,192","9,273"
2020년12월_여_0~9세,"16,361",723,910,848,"1,414","1,029",279,"1,550",875,954,796,743,583,581,640,831,"1,950",650,"1,005"
2020년12월_여_10~19세,"22,209",952,888,"1,178","2,044","1,702",932,"1,706","1,418","1,463","1,040","1,471",621,805,971,"1,431","2,134",812,641
2020년12월_여_20~29세,"28,652","1,477","1,694","2,790","1,855","1,911",774,"2,311",695,"1,264","1,215","1,427","1,313","1,442","1,333","1,804","2,762","1,664",921
2020년12월_여_30~39세,"34,084","1,947","2,307","2,835","2,128","2,090",491,"3,009",931,"1,466","1,480","1,351","1,624","1,703","1,532","2,023","3,529","2,177","1,461"
2020년12월_여_40~49세,"40,991","1,976","2,015","2,660","3,424","3,002","1,332","3,297","2,024","2,526","1,956","2,207","1,507","1,645","1,740","2,374","3,976","1,821","1,509"
2020년12월_여_50~59세,"32,097","1,544","1,427","2,483","2,282","2,307","1,070","1,986",989,"1,721","1,495","1,719","1,314","1,732","1,883","1,819","3,304","1,698","1,324"
2020년12월_여_60~69세,"25,756","1,260","1,131","1,942","1,622","1,492",660,"1,591",717,"1,237","1,272","1,206","1,178","1,606","1,671","1,315","3,159","1,397","1,300"
2020년12월_여_70~79세,"14,584",676,637,"1,117",958,779,564,883,526,732,661,739,716,873,822,894,"1,601",680,726
2020년12월_여_80~89세,"5,546",281,182,430,361,352,166,297,172,310,235,359,257,291,332,340,650,216,315
2020년12월_여_90~99세,"1,317",64,51,96,82,88,26,73,48,75,65,72,49,69,80,66,177,74,62
2020년12월_여_100세 이상,170,2,16,12,13,10,11,15,17,13,4,8,7,12,3,10,5,3,9
