,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년10월_계_총인구수,"300,278","23,756","21,617","29,629","26,522","31,376","18,432","15,897","16,945","20,625","21,329","23,089","20,610","30,451"
2021년10월_계_연령구간인구수,"300,278","23,756","21,617","29,629","26,522","31,376","18,432","15,897","16,945","20,625","21,329","23,089","20,610","30,451"
2021년10월_계_0~9세,"14,359","1,195",700,"1,447",975,"2,778",621,611,882,921,"1,011",753,"1,031","1,434"
2021년10월_계_10~19세,"20,960","1,870","1,270","1,959","1,552","3,914","1,010","1,005","1,250","1,293","1,363","1,081","1,358","2,035"
2021년10월_계_20~29세,"41,376","3,068","3,710","4,186","3,447","3,325","3,148","2,159","1,832","2,978","2,898","4,156","2,565","3,904"
2021년10월_계_30~39세,"37,326","2,858","2,858","3,951","3,123","3,611","2,667","1,711","1,650","2,730","2,511","3,328","2,574","3,754"
2021년10월_계_40~49세,"44,259","3,444","2,912","4,378","3,685","6,245","2,729","2,248","2,461","2,862","2,978","3,191","2,895","4,231"
2021년10월_계_50~59세,"51,586","4,287","3,711","5,094","4,871","5,091","3,073","2,698","2,787","3,499","3,736","3,942","3,539","5,258"
2021년10월_계_60~69세,"47,218","3,820","3,434","4,718","4,724","3,458","2,723","2,697","2,698","3,397","3,501","3,515","3,393","5,140"
2021년10월_계_70~79세,"29,381","2,210","2,034","2,705","2,848","1,998","1,722","1,946","2,441","1,969","2,148","2,137","2,108","3,115"
2021년10월_계_80~89세,"12,323",879,889,"1,072","1,161",852,664,747,857,867,"1,047",891,"1,012","1,385"
2021년10월_계_90~99세,"1,439",119,98,116,125,98,73,73,85,105,135,93,130,189
2021년10월_계_100세 이상,51,6,1,3,11,6,2,2,2,4,1,2,5,6
2021년10월_남_총인구수,"146,240","11,845","10,404","14,216","13,185","15,062","9,316","7,697","7,936","10,192","10,185","11,499","9,974","14,729"
2021년10월_남_연령구간인구수,"146,240","11,845","10,404","14,216","13,185","15,062","9,316","7,697","7,936","10,192","10,185","11,499","9,974","14,729"
2021년10월_남_0~9세,"7,408",625,363,735,490,"1,436",324,325,440,469,525,388,536,752
2021년10월_남_10~19세,"10,743",986,668,944,794,"1,979",521,530,633,649,720,587,709,"1,023"
2021년10월_남_20~29세,"20,318","1,591","1,620","2,058","1,756","1,660","1,564","1,122",942,"1,483","1,383","1,988","1,201","1,950"
2021년10월_남_30~39세,"19,495","1,507","1,511","1,977","1,652","1,672","1,437",933,852,"1,479","1,327","1,827","1,359","1,962"
2021년10월_남_40~49세,"22,756","1,758","1,527","2,223","1,979","3,019","1,471","1,148","1,221","1,542","1,503","1,699","1,498","2,168"
2021년10월_남_50~59세,"25,436","2,176","1,797","2,424","2,459","2,544","1,610","1,340","1,367","1,701","1,782","1,997","1,732","2,507"
2021년10월_남_60~69세,"22,083","1,814","1,672","2,187","2,314","1,570","1,305","1,231","1,207","1,607","1,580","1,634","1,562","2,400"
2021년10월_남_70~79세,"12,670","1,008",875,"1,185","1,251",860,776,779,915,872,912,963,907,"1,367"
2021년10월_남_80~89세,"4,935",344,349,455,454,301,284,273,341,355,410,381,432,556
2021년10월_남_90~99세,382,33,22,27,34,19,24,16,17,35,42,35,37,41
2021년10월_남_100세 이상,14,3,0,1,2,2,0,0,1,0,1,0,1,3
2021년10월_여_총인구수,"154,038","11,911","11,213","15,413","13,337","16,314","9,116","8,200","9,009","10,433","11,144","11,590","10,636","15,722"
2021년10월_여_연령구간인구수,"154,038","11,911","11,213","15,413","13,337","16,314","9,116","8,200","9,009","10,433","11,144","11,590","10,636","15,722"
2021년10월_여_0~9세,"6,951",570,337,712,485,"1,342",297,286,442,452,486,365,495,682
2021년10월_여_10~19세,"10,217",884,602,"1,015",758,"1,935",489,475,617,644,643,494,649,"1,012"
2021년10월_여_20~29세,"21,058","1,477","2,090","2,128","1,691","1,665","1,584","1,037",890,"1,495","1,515","2,168","1,364","1,954"
2021년10월_여_30~39세,"17,831","1,351","1,347","1,974","1,471","1,939","1,230",778,798,"1,251","1,184","1,501","1,215","1,792"
2021년10월_여_40~49세,"21,503","1,686","1,385","2,155","1,706","3,226","1,258","1,100","1,240","1,320","1,475","1,492","1,397","2,063"
2021년10월_여_50~59세,"26,150","2,111","1,914","2,670","2,412","2,547","1,463","1,358","1,420","1,798","1,954","1,945","1,807","2,751"
2021년10월_여_60~69세,"25,135","2,006","1,762","2,531","2,410","1,888","1,418","1,466","1,491","1,790","1,921","1,881","1,831","2,740"
2021년10월_여_70~79세,"16,711","1,202","1,159","1,520","1,597","1,138",946,"1,167","1,526","1,097","1,236","1,174","1,201","1,748"
2021년10월_여_80~89세,"7,388",535,540,617,707,551,380,474,516,512,637,510,580,829
2021년10월_여_90~99세,"1,057",86,76,89,91,79,49,57,68,70,93,58,93,148
2021년10월_여_100세 이상,37,3,1,2,9,4,2,2,1,4,0,2,4,3
