,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년10월_계_총인구수,"22,276","14,224","3,377","2,031","1,325","1,319"
2020년10월_계_연령구간인구수,"22,276","14,224","3,377","2,031","1,325","1,319"
2020년10월_계_0~9세,"1,744","1,463",119,73,49,40
2020년10월_계_10~19세,"2,084","1,661",183,91,65,84
2020년10월_계_20~29세,"3,097","1,825",439,439,275,119
2020년10월_계_30~39세,"2,576","2,006",238,134,107,91
2020년10월_계_40~49세,"2,562","1,872",308,159,83,140
2020년10월_계_50~59세,"3,548","2,041",664,351,208,284
2020년10월_계_60~69세,"3,335","1,776",678,350,264,267
2020년10월_계_70~79세,"2,034",956,462,272,160,184
2020년10월_계_80~89세,"1,133",548,247,139,102,97
2020년10월_계_90~99세,149,65,36,23,12,13
2020년10월_계_100세 이상,14,11,3,0,0,0
2020년10월_남_총인구수,"11,793","7,309","1,839","1,159",777,709
2020년10월_남_연령구간인구수,"11,793","7,309","1,839","1,159",777,709
2020년10월_남_0~9세,890,738,63,37,26,26
2020년10월_남_10~19세,"1,048",821,99,43,38,47
2020년10월_남_20~29세,"2,065","1,100",326,337,228,74
2020년10월_남_30~39세,"1,428","1,076",143,91,68,50
2020년10월_남_40~49세,"1,394",992,181,90,47,84
2020년10월_남_50~59세,"1,886","1,053",372,186,119,156
2020년10월_남_60~69세,"1,772",921,362,196,145,148
2020년10월_남_70~79세,883,404,202,121,67,89
2020년10월_남_80~89세,383,180,81,52,37,33
2020년10월_남_90~99세,38,19,9,6,2,2
2020년10월_남_100세 이상,6,5,1,0,0,0
2020년10월_여_총인구수,"10,483","6,915","1,538",872,548,610
2020년10월_여_연령구간인구수,"10,483","6,915","1,538",872,548,610
2020년10월_여_0~9세,854,725,56,36,23,14
2020년10월_여_10~19세,"1,036",840,84,48,27,37
2020년10월_여_20~29세,"1,032",725,113,102,47,45
2020년10월_여_30~39세,"1,148",930,95,43,39,41
2020년10월_여_40~49세,"1,168",880,127,69,36,56
2020년10월_여_50~59세,"1,662",988,292,165,89,128
2020년10월_여_60~69세,"1,563",855,316,154,119,119
2020년10월_여_70~79세,"1,151",552,260,151,93,95
2020년10월_여_80~89세,750,368,166,87,65,64
2020년10월_여_90~99세,111,46,27,17,10,11
2020년10월_여_100세 이상,8,6,2,0,0,0
