,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년04월_계_총인구수,"27,895","7,494","1,338","1,683","1,497","1,703","3,826","1,337","1,537","3,442","1,608","1,192","1,238"
2020년04월_계_연령구간인구수,"27,895","7,494","1,338","1,683","1,497","1,703","3,826","1,337","1,537","3,442","1,608","1,192","1,238"
2020년04월_계_0~9세,"1,407",693,36,46,61,49,120,49,38,161,51,48,55
2020년04월_계_10~19세,"1,779",725,54,70,72,85,254,55,70,194,88,52,60
2020년04월_계_20~29세,"2,253",776,80,129,107,117,298,90,77,276,157,68,78
2020년04월_계_30~39세,"2,089",830,70,109,109,92,254,64,83,248,77,81,72
2020년04월_계_40~49세,"2,997","1,073",138,157,139,159,373,128,131,353,164,85,97
2020년04월_계_50~59세,"4,820","1,061",214,351,243,307,680,255,245,680,321,239,224
2020년04월_계_60~69세,"4,856",981,245,385,294,303,730,256,309,626,280,219,228
2020년04월_계_70~79세,"4,319",765,268,235,269,330,599,265,308,543,266,247,224
2020년04월_계_80~89세,"2,929",511,202,172,174,228,455,155,237,322,169,132,172
2020년04월_계_90~99세,423,75,29,29,26,31,62,19,39,37,32,16,28
2020년04월_계_100세 이상,23,4,2,0,3,2,1,1,0,2,3,5,0
2020년04월_남_총인구수,"14,219","3,832",676,867,755,878,"1,920",704,755,"1,764",858,597,613
2020년04월_남_연령구간인구수,"14,219","3,832",676,867,755,878,"1,920",704,755,"1,764",858,597,613
2020년04월_남_0~9세,737,369,17,27,32,26,66,29,17,78,28,17,31
2020년04월_남_10~19세,948,367,28,39,45,52,144,28,33,95,57,27,33
2020년04월_남_20~29세,"1,321",461,51,67,58,73,171,57,46,155,102,35,45
2020년04월_남_30~39세,"1,147",431,40,58,68,54,144,32,44,145,50,48,33
2020년04월_남_40~49세,"1,821",604,96,93,81,99,221,82,87,224,119,53,62
2020년04월_남_50~59세,"2,722",579,120,197,137,169,384,159,143,389,180,147,118
2020년04월_남_60~69세,"2,554",493,133,210,150,165,370,155,159,315,152,117,135
2020년04월_남_70~79세,"1,894",344,112,108,121,147,247,105,143,261,111,101,94
2020년04월_남_80~89세,972,171,70,55,57,85,155,53,74,92,53,50,57
2020년04월_남_90~99세,96,12,7,13,6,7,17,3,9,10,6,1,5
2020년04월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년04월_여_총인구수,"13,676","3,662",662,816,742,825,"1,906",633,782,"1,678",750,595,625
2020년04월_여_연령구간인구수,"13,676","3,662",662,816,742,825,"1,906",633,782,"1,678",750,595,625
2020년04월_여_0~9세,670,324,19,19,29,23,54,20,21,83,23,31,24
2020년04월_여_10~19세,831,358,26,31,27,33,110,27,37,99,31,25,27
2020년04월_여_20~29세,932,315,29,62,49,44,127,33,31,121,55,33,33
2020년04월_여_30~39세,942,399,30,51,41,38,110,32,39,103,27,33,39
2020년04월_여_40~49세,"1,176",469,42,64,58,60,152,46,44,129,45,32,35
2020년04월_여_50~59세,"2,098",482,94,154,106,138,296,96,102,291,141,92,106
2020년04월_여_60~69세,"2,302",488,112,175,144,138,360,101,150,311,128,102,93
2020년04월_여_70~79세,"2,425",421,156,127,148,183,352,160,165,282,155,146,130
2020년04월_여_80~89세,"1,957",340,132,117,117,143,300,102,163,230,116,82,115
2020년04월_여_90~99세,327,63,22,16,20,24,45,16,30,27,26,15,23
2020년04월_여_100세 이상,16,3,0,0,3,1,0,0,0,2,3,4,0
