카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년08월_계_총인구수,"50,287","29,101","3,218","1,402","1,908","2,377","2,976","4,115","2,209","2,981"
2021년08월_계_연령구간인구수,"50,287","29,101","3,218","1,402","1,908","2,377","2,976","4,115","2,209","2,981"
2021년08월_계_0~9세,"2,473","2,029",86,38,39,36,45,93,48,59
2021년08월_계_10~19세,"3,800","2,995",124,64,65,63,145,166,71,107
2021년08월_계_20~29세,"4,216","3,101",202,53,85,80,128,255,135,177
2021년08월_계_30~39세,"3,753","2,727",172,66,74,77,109,238,118,172
2021년08월_계_40~49세,"6,104","4,465",283,94,142,129,205,352,162,272
2021년08월_계_50~59세,"8,763","4,953",598,252,318,433,477,738,399,595
2021년08월_계_60~69세,"10,367","4,588",873,374,538,700,835,"1,045",585,829
2021년08월_계_70~79세,"6,342","2,728",482,245,341,420,587,710,382,447
2021년08월_계_80~89세,"3,846","1,313",337,178,263,376,393,445,265,276
2021년08월_계_90~99세,610,199,60,38,40,60,51,73,44,45
2021년08월_계_100세 이상,13,3,1,0,3,3,1,0,0,2
2021년08월_남_총인구수,"25,333","14,544","1,651",700,980,"1,196","1,443","2,121","1,148","1,550"
2021년08월_남_연령구간인구수,"25,333","14,544","1,651",700,980,"1,196","1,443","2,121","1,148","1,550"
2021년08월_남_0~9세,"1,270","1,044",46,20,22,19,16,43,30,30
2021년08월_남_10~19세,"2,021","1,596",60,35,34,34,79,92,33,58
2021년08월_남_20~29세,"2,401","1,716",133,33,53,55,71,154,79,107
2021년08월_남_30~39세,"1,934","1,360",91,42,44,36,58,143,62,98
2021년08월_남_40~49세,"3,280","2,272",160,57,92,85,125,230,108,151
2021년08월_남_50~59세,"4,714","2,581",332,136,186,246,275,407,221,330
2021년08월_남_60~69세,"5,304","2,230",472,197,285,384,422,549,320,445
2021년08월_남_70~79세,"2,952","1,217",231,117,167,198,267,349,194,212
2021년08월_남_80~89세,"1,303",487,109,53,84,120,114,136,93,107
2021년08월_남_90~99세,153,41,17,10,12,19,16,18,8,12
2021년08월_남_100세 이상,1,0,0,0,1,0,0,0,0,0
2021년08월_여_총인구수,"24,954","14,557","1,567",702,928,"1,181","1,533","1,994","1,061","1,431"
2021년08월_여_연령구간인구수,"24,954","14,557","1,567",702,928,"1,181","1,533","1,994","1,061","1,431"
2021년08월_여_0~9세,"1,203",985,40,18,17,17,29,50,18,29
2021년08월_여_10~19세,"1,779","1,399",64,29,31,29,66,74,38,49
2021년08월_여_20~29세,"1,815","1,385",69,20,32,25,57,101,56,70
2021년08월_여_30~39세,"1,819","1,367",81,24,30,41,51,95,56,74
2021년08월_여_40~49세,"2,824","2,193",123,37,50,44,80,122,54,121
2021년08월_여_50~59세,"4,049","2,372",266,116,132,187,202,331,178,265
2021년08월_여_60~69세,"5,063","2,358",401,177,253,316,413,496,265,384
2021년08월_여_70~79세,"3,390","1,511",251,128,174,222,320,361,188,235
2021년08월_여_80~89세,"2,543",826,228,125,179,256,279,309,172,169
2021년08월_여_90~99세,457,158,43,28,28,41,35,55,36,33
2021년08월_여_100세 이상,12,3,1,0,2,3,1,0,0,2
