카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년02월_계_총인구수,"281,759","7,869","19,700","1,485","2,581","1,096","3,902","2,587",964,"17,381","3,562","3,616","2,957","2,403","8,982","10,101","11,995","15,254","21,454","4,694","11,983","4,674","36,053","48,972","17,007","20,487"
2020년02월_계_연령구간인구수,"281,759","7,869","19,700","1,485","2,581","1,096","3,902","2,587",964,"17,381","3,562","3,616","2,957","2,403","8,982","10,101","11,995","15,254","21,454","4,694","11,983","4,674","36,053","48,972","17,007","20,487"
2020년02월_계_0~9세,"22,256",385,"2,335",29,107,20,127,81,20,"1,589",94,108,84,101,986,831,563,"1,353","1,795",355,440,172,"2,788","4,504","1,311","2,078"
2020년02월_계_10~19세,"27,815",498,"2,412",62,142,37,199,154,22,"1,736",170,206,148,133,701,804,902,"1,544","2,117",421,736,260,"4,599","6,137","1,464","2,211"
2020년02월_계_20~29세,"36,898",861,"1,904",128,268,45,265,178,41,"2,181",268,833,421,280,"1,045","1,262","1,897","2,182","2,694",552,"2,626","1,048","5,126","6,138","2,243","2,412"
2020년02월_계_30~39세,"34,798",702,"2,587",101,213,71,239,119,39,"2,495",282,427,315,240,"1,493","1,340","1,388","2,203","2,952",525,"1,291",626,"3,990","6,269","2,217","2,674"
2020년02월_계_40~49세,"42,956",953,"3,590",122,268,90,353,232,69,"2,882",369,393,369,283,"1,193","1,434","1,596","2,274","3,194",732,"1,482",536,"6,243","8,516","2,467","3,316"
2020년02월_계_50~59세,"47,036","1,466","3,060",275,516,225,759,524,202,"2,786",716,535,529,438,"1,315","1,770","2,109","2,484","3,506",798,"1,841",717,"6,223","8,124","2,998","3,120"
2020년02월_계_60~69세,"35,817","1,369","2,201",375,548,259,908,614,278,"2,043",848,518,503,400,"1,047","1,298","1,799","1,607","2,750",623,"1,677",638,"3,704","5,100","2,370","2,340"
2020년02월_계_70~79세,"21,225",962,"1,018",223,286,196,577,423,193,"1,042",518,376,358,309,760,847,"1,126",995,"1,528",450,"1,174",420,"2,114","2,609","1,257","1,464"
2020년02월_계_80~89세,"11,050",587,489,154,210,129,386,220,88,538,252,195,189,173,372,433,520,513,797,203,631,226,"1,091","1,352",572,730
