,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년03월_계_총인구수,"41,212","8,473","1,639",880,"1,658","5,232","5,720","3,080","8,619","5,911"
2021년03월_계_연령구간인구수,"41,212","8,473","1,639",880,"1,658","5,232","5,720","3,080","8,619","5,911"
2021년03월_계_0~9세,"1,836",410,36,19,51,218,286,110,412,294
2021년03월_계_10~19세,"2,825",702,74,45,67,310,425,206,637,359
2021년03월_계_20~29세,"3,346",760,106,52,90,404,411,214,722,587
2021년03월_계_30~39세,"3,003",663,65,41,87,309,448,153,610,627
2021년03월_계_40~49세,"5,218","1,064",178,76,142,621,784,373,"1,099",881
2021년03월_계_50~59세,"7,893","1,583",339,177,352,969,"1,128",667,"1,592","1,086"
2021년03월_계_60~69세,"9,014","1,725",436,241,481,"1,231","1,273",716,"1,817","1,094"
2021년03월_계_70~79세,"4,938",912,249,142,248,678,610,355,"1,107",637
2021년03월_계_80~89세,"2,753",561,130,77,117,432,326,256,541,313
2021년03월_계_90~99세,370,88,25,9,23,59,27,30,78,31
2021년03월_계_100세 이상,16,5,1,1,0,1,2,0,4,2
2021년03월_남_총인구수,"21,151","4,313",858,457,868,"2,677","2,991","1,542","4,354","3,091"
2021년03월_남_연령구간인구수,"21,151","4,313",858,457,868,"2,677","2,991","1,542","4,354","3,091"
2021년03월_남_0~9세,913,209,17,12,24,101,132,49,221,148
2021년03월_남_10~19세,"1,489",349,39,25,34,160,237,110,326,209
2021년03월_남_20~29세,"1,987",454,64,36,48,237,247,124,424,353
2021년03월_남_30~39세,"1,625",358,40,19,48,170,239,74,316,361
2021년03월_남_40~49세,"2,843",554,110,42,82,349,424,200,580,502
2021년03월_남_50~59세,"4,228",847,186,86,188,525,605,361,847,583
2021년03월_남_60~69세,"4,704",886,245,140,271,654,672,370,929,537
2021년03월_남_70~79세,"2,299",445,115,61,128,302,309,160,511,268
2021년03월_남_80~89세,987,197,40,35,43,164,120,85,183,120
2021년03월_남_90~99세,72,13,2,0,2,15,6,9,15,10
2021년03월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년03월_여_총인구수,"20,061","4,160",781,423,790,"2,555","2,729","1,538","4,265","2,820"
2021년03월_여_연령구간인구수,"20,061","4,160",781,423,790,"2,555","2,729","1,538","4,265","2,820"
2021년03월_여_0~9세,923,201,19,7,27,117,154,61,191,146
2021년03월_여_10~19세,"1,336",353,35,20,33,150,188,96,311,150
2021년03월_여_20~29세,"1,359",306,42,16,42,167,164,90,298,234
2021년03월_여_30~39세,"1,378",305,25,22,39,139,209,79,294,266
2021년03월_여_40~49세,"2,375",510,68,34,60,272,360,173,519,379
2021년03월_여_50~59세,"3,665",736,153,91,164,444,523,306,745,503
2021년03월_여_60~69세,"4,310",839,191,101,210,577,601,346,888,557
2021년03월_여_70~79세,"2,639",467,134,81,120,376,301,195,596,369
2021년03월_여_80~89세,"1,766",364,90,42,74,268,206,171,358,193
2021년03월_여_90~99세,298,75,23,9,21,44,21,21,63,21
2021년03월_여_100세 이상,12,4,1,0,0,1,2,0,2,2
