,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년08월_계_총인구수,"186,104","58,409","5,460","7,517","3,406","5,756","15,474","5,275","6,283","7,706","6,910","3,911","1,961","12,556","23,102","22,378"
2020년08월_계_연령구간인구수,"186,104","58,409","5,460","7,517","3,406","5,756","15,474","5,275","6,283","7,706","6,910","3,911","1,961","12,556","23,102","22,378"
2020년08월_계_0~9세,"14,378","6,070",188,440,88,238,"1,479",151,396,300,245,92,51,730,"2,134","1,776"
2020년08월_계_10~19세,"18,579","7,514",310,667,154,278,"1,144",277,406,557,393,540,88,"1,083","2,549","2,619"
2020년08월_계_20~29세,"22,190","6,665",519,729,297,539,"2,066",469,781,667,705,453,189,"1,600","3,241","3,270"
2020년08월_계_30~39세,"23,175","8,447",439,691,258,519,"2,658",399,889,631,570,287,152,"1,392","3,121","2,722"
2020년08월_계_40~49세,"30,131","11,902",565,"1,085",353,718,"2,535",572,885,855,799,350,194,"1,791","3,966","3,561"
2020년08월_계_50~59세,"31,200","8,496","1,072","1,340",703,"1,094","2,383","1,066","1,189","1,429","1,447",663,377,"2,261","3,737","3,943"
2020년08월_계_60~69세,"24,443","5,095","1,133","1,334",738,"1,173","1,794","1,158",944,"1,639","1,368",743,449,"1,927","2,485","2,463"
2020년08월_계_70~79세,"13,520","2,768",725,706,469,690,900,652,487,962,828,487,258,"1,100","1,203","1,285"
2020년08월_계_80~89세,"7,430","1,288",446,455,309,449,451,436,262,579,505,271,173,578,585,643
2020년08월_계_90~99세,"1,002",158,58,67,35,53,60,91,41,82,45,24,29,87,79,93
2020년08월_계_100세 이상,56,6,5,3,2,5,4,4,3,5,5,1,1,7,2,3
2020년08월_남_총인구수,"95,880","29,421","2,890","3,777","1,793","3,117","8,619","2,777","3,545","4,024","3,661","2,050","1,017","6,314","11,640","11,235"
2020년08월_남_연령구간인구수,"95,880","29,421","2,890","3,777","1,793","3,117","8,619","2,777","3,545","4,024","3,661","2,050","1,017","6,314","11,640","11,235"
2020년08월_남_0~9세,"7,393","3,055",103,245,54,130,790,80,229,145,118,50,28,351,"1,091",924
2020년08월_남_10~19세,"9,677","3,903",178,332,87,147,582,129,240,320,200,259,49,555,"1,337","1,359"
2020년08월_남_20~29세,"12,269","3,537",310,394,185,342,"1,192",286,484,371,400,251,104,867,"1,731","1,815"
2020년08월_남_30~39세,"12,610","4,376",273,361,146,323,"1,550",234,549,387,348,192,93,756,"1,607","1,415"
2020년08월_남_40~49세,"16,095","6,089",333,588,209,448,"1,540",345,539,497,471,210,114,947,"2,046","1,719"
2020년08월_남_50~59세,"16,528","4,409",590,693,397,584,"1,385",605,650,772,821,365,197,"1,146","1,918","1,996"
2020년08월_남_60~69세,"12,302","2,382",606,685,375,636,949,622,515,834,724,386,228,942,"1,199","1,219"
2020년08월_남_70~79세,"6,171","1,213",325,305,216,336,445,313,235,470,387,235,132,502,514,543
2020년08월_남_80~89세,"2,623",422,162,163,116,160,175,150,89,210,183,98,67,226,176,226
2020년08월_남_90~99세,200,34,10,10,7,10,10,13,14,16,8,4,5,20,20,19
2020년08월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년08월_여_총인구수,"90,224","28,988","2,570","3,740","1,613","2,639","6,855","2,498","2,738","3,682","3,249","1,861",944,"6,242","11,462","11,143"
2020년08월_여_연령구간인구수,"90,224","28,988","2,570","3,740","1,613","2,639","6,855","2,498","2,738","3,682","3,249","1,861",944,"6,242","11,462","11,143"
2020년08월_여_0~9세,"6,985","3,015",85,195,34,108,689,71,167,155,127,42,23,379,"1,043",852
2020년08월_여_10~19세,"8,902","3,611",132,335,67,131,562,148,166,237,193,281,39,528,"1,212","1,260"
2020년08월_여_20~29세,"9,921","3,128",209,335,112,197,874,183,297,296,305,202,85,733,"1,510","1,455"
2020년08월_여_30~39세,"10,565","4,071",166,330,112,196,"1,108",165,340,244,222,95,59,636,"1,514","1,307"
2020년08월_여_40~49세,"14,036","5,813",232,497,144,270,995,227,346,358,328,140,80,844,"1,920","1,842"
2020년08월_여_50~59세,"14,672","4,087",482,647,306,510,998,461,539,657,626,298,180,"1,115","1,819","1,947"
2020년08월_여_60~69세,"12,141","2,713",527,649,363,537,845,536,429,805,644,357,221,985,"1,286","1,244"
2020년08월_여_70~79세,"7,349","1,555",400,401,253,354,455,339,252,492,441,252,126,598,689,742
2020년08월_여_80~89세,"4,807",866,284,292,193,289,276,286,173,369,322,173,106,352,409,417
2020년08월_여_90~99세,802,124,48,57,28,43,50,78,27,66,37,20,24,67,59,74
2020년08월_여_100세 이상,44,5,5,2,1,4,3,4,2,3,4,1,1,5,1,3
