,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년10월_계_총인구수,"9,200","6,526",875,454,"1,345"
2020년10월_계_연령구간인구수,"9,200","6,526",875,454,"1,345"
2020년10월_계_0~9세,408,301,41,17,49
2020년10월_계_10~19세,471,378,36,15,42
2020년10월_계_20~29세,853,622,84,26,121
2020년10월_계_30~39세,889,670,57,34,128
2020년10월_계_40~49세,"1,307",996,99,33,179
2020년10월_계_50~59세,"1,878","1,341",192,92,253
2020년10월_계_60~69세,"1,769","1,219",169,104,277
2020년10월_계_70~79세,"1,040",670,115,87,168
2020년10월_계_80~89세,497,281,76,30,110
2020년10월_계_90~99세,76,36,6,16,18
2020년10월_계_100세 이상,12,12,0,0,0
2020년10월_남_총인구수,"5,030","3,562",476,244,748
2020년10월_남_연령구간인구수,"5,030","3,562",476,244,748
2020년10월_남_0~9세,215,158,20,11,26
2020년10월_남_10~19세,232,174,24,11,23
2020년10월_남_20~29세,514,361,63,12,78
2020년10월_남_30~39세,536,406,29,22,79
2020년10월_남_40~49세,806,604,61,22,119
2020년10월_남_50~59세,"1,088",779,112,51,146
2020년10월_남_60~69세,939,645,95,53,146
2020년10월_남_70~79세,477,306,45,45,81
2020년10월_남_80~89세,197,113,26,12,46
2020년10월_남_90~99세,21,11,1,5,4
2020년10월_남_100세 이상,5,5,0,0,0
2020년10월_여_총인구수,"4,170","2,964",399,210,597
2020년10월_여_연령구간인구수,"4,170","2,964",399,210,597
2020년10월_여_0~9세,193,143,21,6,23
2020년10월_여_10~19세,239,204,12,4,19
2020년10월_여_20~29세,339,261,21,14,43
2020년10월_여_30~39세,353,264,28,12,49
2020년10월_여_40~49세,501,392,38,11,60
2020년10월_여_50~59세,790,562,80,41,107
2020년10월_여_60~69세,830,574,74,51,131
2020년10월_여_70~79세,563,364,70,42,87
2020년10월_여_80~89세,300,168,50,18,64
2020년10월_여_90~99세,55,25,5,11,14
2020년10월_여_100세 이상,7,7,0,0,0
