,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년12월_계_총인구수,"42,842","13,518","6,110","3,638","3,143","2,003","1,196","2,427","3,041","4,439","3,327"
2021년12월_계_연령구간인구수,"42,842","13,518","6,110","3,638","3,143","2,003","1,196","2,427","3,041","4,439","3,327"
2021년12월_계_0~9세,"1,819",879,203,106,86,55,25,67,101,177,120
2021년12월_계_10~19세,"2,182","1,254",188,99,106,35,32,88,83,188,109
2021년12월_계_20~29세,"3,200","1,408",414,195,149,107,60,174,184,286,223
2021년12월_계_30~39세,"3,149","1,317",444,227,168,114,57,130,181,292,219
2021년12월_계_40~49세,"4,509","1,957",579,315,233,157,100,213,250,418,287
2021년12월_계_50~59세,"8,085","2,395","1,272",752,563,393,234,433,536,855,652
2021년12월_계_60~69세,"9,853","2,201","1,597","1,014",861,543,297,597,839,"1,067",837
2021년12월_계_70~79세,"5,935","1,293",897,534,513,316,219,420,531,678,534
2021년12월_계_80~89세,"3,583",711,436,341,402,244,153,265,291,426,314
2021년12월_계_90~99세,516,103,74,55,61,37,19,40,44,52,31
2021년12월_계_100세 이상,11,0,6,0,1,2,0,0,1,0,1
2021년12월_남_총인구수,"22,216","6,856","3,337","1,998","1,568","1,000",627,"1,230","1,571","2,261","1,768"
2021년12월_남_연령구간인구수,"22,216","6,856","3,337","1,998","1,568","1,000",627,"1,230","1,571","2,261","1,768"
2021년12월_남_0~9세,918,417,107,58,50,26,18,36,47,95,64
2021년12월_남_10~19세,"1,194",698,100,59,47,16,20,45,40,109,60
2021년12월_남_20~29세,"1,920",809,273,121,92,63,38,103,112,178,131
2021년12월_남_30~39세,"1,708",672,266,145,91,72,38,70,92,147,115
2021년12월_남_40~49세,"2,670","1,033",398,204,133,107,63,134,173,249,176
2021년12월_남_50~59세,"4,486","1,283",708,456,307,207,126,250,299,479,371
2021년12월_남_60~69세,"5,231","1,115",875,578,469,276,164,303,438,542,471
2021년12월_남_70~79세,"2,788",571,448,263,237,148,105,186,261,313,256
2021년12월_남_80~89세,"1,189",237,147,104,125,78,51,93,95,143,116
2021년12월_남_90~99세,110,21,14,10,16,7,4,10,14,6,8
2021년12월_남_100세 이상,2,0,1,0,1,0,0,0,0,0,0
2021년12월_여_총인구수,"20,626","6,662","2,773","1,640","1,575","1,003",569,"1,197","1,470","2,178","1,559"
2021년12월_여_연령구간인구수,"20,626","6,662","2,773","1,640","1,575","1,003",569,"1,197","1,470","2,178","1,559"
2021년12월_여_0~9세,901,462,96,48,36,29,7,31,54,82,56
2021년12월_여_10~19세,988,556,88,40,59,19,12,43,43,79,49
2021년12월_여_20~29세,"1,280",599,141,74,57,44,22,71,72,108,92
2021년12월_여_30~39세,"1,441",645,178,82,77,42,19,60,89,145,104
2021년12월_여_40~49세,"1,839",924,181,111,100,50,37,79,77,169,111
2021년12월_여_50~59세,"3,599","1,112",564,296,256,186,108,183,237,376,281
2021년12월_여_60~69세,"4,622","1,086",722,436,392,267,133,294,401,525,366
2021년12월_여_70~79세,"3,147",722,449,271,276,168,114,234,270,365,278
2021년12월_여_80~89세,"2,394",474,289,237,277,166,102,172,196,283,198
2021년12월_여_90~99세,406,82,60,45,45,30,15,30,30,46,23
2021년12월_여_100세 이상,9,0,5,0,0,2,0,0,1,0,1
