,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년08월_계_총인구수,"463,373","32,292","31,380","36,124","34,957","20,314","43,159","47,852","42,817","33,565","46,892","27,087","25,990","19,176","21,768"
2021년08월_계_연령구간인구수,"463,373","32,292","31,380","36,124","34,957","20,314","43,159","47,852","42,817","33,565","46,892","27,087","25,990","19,176","21,768"
2021년08월_계_0~9세,"33,597","1,126","1,726","2,172","2,335","1,423","2,692","3,388","3,647","2,700","6,509","1,865","1,483","1,108","1,423"
2021년08월_계_10~19세,"41,795","1,610","2,079","2,810","3,370","2,000","3,787","4,982","3,663","4,167","5,287","2,426","2,006","1,549","2,059"
2021년08월_계_20~29세,"64,818","6,726","5,428","4,667","4,499","2,363","6,000","6,825","5,869","4,583","5,026","3,785","3,551","2,575","2,921"
2021년08월_계_30~39세,"60,080","4,969","4,579","4,432","3,873","2,205","4,974","5,466","6,464","3,730","8,006","3,237","3,301","2,325","2,519"
2021년08월_계_40~49세,"73,828","4,372","4,709","5,640","5,519","3,361","6,532","7,491","6,844","6,140","9,252","4,046","3,755","2,724","3,443"
2021년08월_계_50~59세,"80,779","5,492","5,502","5,963","6,004","3,395","8,501","8,824","7,286","6,075","6,213","5,114","4,911","3,567","3,932"
2021년08월_계_60~69세,"60,503","4,629","4,184","5,428","4,708","2,913","6,166","6,351","5,328","3,171","3,993","3,691","3,916","2,989","3,036"
2021년08월_계_70~79세,"31,230","2,194","2,116","3,486","3,034","1,711","2,934","2,910","2,277","1,903","1,765","1,850","2,016","1,497","1,537"
2021년08월_계_80~89세,"14,762","1,033",944,"1,380","1,448",816,"1,399","1,391","1,257",954,729,958,939,743,771
2021년08월_계_90~99세,"1,905",134,108,144,161,118,170,219,174,139,109,110,105,90,124
2021년08월_계_100세 이상,76,7,5,2,6,9,4,5,8,3,3,5,7,9,3
2021년08월_남_총인구수,"228,349","16,538","15,608","17,595","16,923","9,714","21,205","23,232","21,276","16,601","22,772","13,270","12,974","9,769","10,872"
2021년08월_남_연령구간인구수,"228,349","16,538","15,608","17,595","16,923","9,714","21,205","23,232","21,276","16,601","22,772","13,270","12,974","9,769","10,872"
2021년08월_남_0~9세,"17,320",605,908,"1,114","1,200",712,"1,421","1,760","1,852","1,404","3,337",920,753,579,755
2021년08월_남_10~19세,"21,643",803,"1,132","1,439","1,714","1,033","1,931","2,629","1,902","2,137","2,655","1,269","1,057",821,"1,121"
2021년08월_남_20~29세,"32,820","3,146","2,643","2,267","2,285","1,180","3,121","3,477","3,021","2,415","2,489","1,975","1,859","1,391","1,551"
2021년08월_남_30~39세,"30,721","2,758","2,431","2,250","1,951","1,111","2,574","2,759","3,334","1,840","3,759","1,639","1,772","1,262","1,281"
2021년08월_남_40~49세,"37,089","2,453","2,452","2,913","2,654","1,665","3,193","3,608","3,469","2,964","4,650","1,985","1,892","1,462","1,729"
2021년08월_남_50~59세,"39,737","3,013","2,742","2,897","2,964","1,597","4,089","4,140","3,527","3,108","2,982","2,485","2,424","1,800","1,969"
2021년08월_남_60~69세,"29,292","2,367","1,982","2,497","2,191","1,400","3,008","3,044","2,675","1,535","1,863","1,815","1,956","1,502","1,457"
2021년08월_남_70~79세,"13,759",983,922,"1,580","1,298",710,"1,341","1,268","1,040",804,790,806,885,653,679
2021년08월_남_80~89세,"5,511",381,364,595,608,286,494,498,425,363,217,347,356,282,295
2021년08월_남_90~99세,443,27,30,42,57,19,33,49,29,30,29,28,19,16,35
2021년08월_남_100세 이상,14,2,2,1,1,1,0,0,2,1,1,1,1,1,0
2021년08월_여_총인구수,"235,024","15,754","15,772","18,529","18,034","10,600","21,954","24,620","21,541","16,964","24,120","13,817","13,016","9,407","10,896"
2021년08월_여_연령구간인구수,"235,024","15,754","15,772","18,529","18,034","10,600","21,954","24,620","21,541","16,964","24,120","13,817","13,016","9,407","10,896"
2021년08월_여_0~9세,"16,277",521,818,"1,058","1,135",711,"1,271","1,628","1,795","1,296","3,172",945,730,529,668
2021년08월_여_10~19세,"20,152",807,947,"1,371","1,656",967,"1,856","2,353","1,761","2,030","2,632","1,157",949,728,938
2021년08월_여_20~29세,"31,998","3,580","2,785","2,400","2,214","1,183","2,879","3,348","2,848","2,168","2,537","1,810","1,692","1,184","1,370"
2021년08월_여_30~39세,"29,359","2,211","2,148","2,182","1,922","1,094","2,400","2,707","3,130","1,890","4,247","1,598","1,529","1,063","1,238"
2021년08월_여_40~49세,"36,739","1,919","2,257","2,727","2,865","1,696","3,339","3,883","3,375","3,176","4,602","2,061","1,863","1,262","1,714"
2021년08월_여_50~59세,"41,042","2,479","2,760","3,066","3,040","1,798","4,412","4,684","3,759","2,967","3,231","2,629","2,487","1,767","1,963"
2021년08월_여_60~69세,"31,211","2,262","2,202","2,931","2,517","1,513","3,158","3,307","2,653","1,636","2,130","1,876","1,960","1,487","1,579"
2021년08월_여_70~79세,"17,471","1,211","1,194","1,906","1,736","1,001","1,593","1,642","1,237","1,099",975,"1,044","1,131",844,858
2021년08월_여_80~89세,"9,251",652,580,785,840,530,905,893,832,591,512,611,583,461,476
2021년08월_여_90~99세,"1,462",107,78,102,104,99,137,170,145,109,80,82,86,74,89
2021년08월_여_100세 이상,62,5,3,1,5,8,4,5,6,2,2,4,6,8,3
