,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년04월_계_총인구수,"41,188","8,459","1,649",879,"1,662","5,222","5,736","3,077","8,611","5,893"
2021년04월_계_연령구간인구수,"41,188","8,459","1,649",879,"1,662","5,222","5,736","3,077","8,611","5,893"
2021년04월_계_0~9세,"1,826",406,35,19,53,215,289,109,413,287
2021년04월_계_10~19세,"2,810",697,73,44,68,308,423,201,631,365
2021년04월_계_20~29세,"3,337",764,108,51,89,400,405,218,721,581
2021년04월_계_30~39세,"2,974",654,63,41,85,312,451,152,602,614
2021년04월_계_40~49세,"5,222","1,063",179,75,145,619,786,372,"1,099",884
2021년04월_계_50~59세,"7,869","1,572",345,171,351,968,"1,126",668,"1,591","1,077"
2021년04월_계_60~69세,"9,059","1,730",437,247,485,"1,225","1,285",716,"1,833","1,101"
2021년04월_계_70~79세,"4,929",917,251,141,245,681,610,354,"1,092",638
2021년04월_계_80~89세,"2,778",567,131,80,118,432,332,258,546,314
2021년04월_계_90~99세,367,84,26,9,23,61,26,29,79,30
2021년04월_계_100세 이상,17,5,1,1,0,1,3,0,4,2
2021년04월_남_총인구수,"21,139","4,306",863,453,868,"2,669","3,004","1,544","4,352","3,080"
2021년04월_남_연령구간인구수,"21,139","4,306",863,453,868,"2,669","3,004","1,544","4,352","3,080"
2021년04월_남_0~9세,906,206,16,13,25,99,135,48,220,144
2021년04월_남_10~19세,"1,478",346,40,24,34,157,234,107,323,213
2021년04월_남_20~29세,"1,982",457,64,34,47,235,242,126,426,351
2021년04월_남_30~39세,"1,604",350,39,19,47,172,246,70,313,348
2021년04월_남_40~49세,"2,852",555,111,41,84,347,426,204,579,505
2021년04월_남_50~59세,"4,226",845,190,83,187,522,603,366,849,581
2021년04월_남_60~69세,"4,731",890,245,141,273,654,681,367,936,544
2021년04월_남_70~79세,"2,289",445,116,61,126,302,308,160,505,266
2021년04월_남_80~89세,997,198,40,36,43,166,123,87,185,119
2021년04월_남_90~99세,70,13,2,0,2,15,6,9,14,9
2021년04월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년04월_여_총인구수,"20,049","4,153",786,426,794,"2,553","2,732","1,533","4,259","2,813"
2021년04월_여_연령구간인구수,"20,049","4,153",786,426,794,"2,553","2,732","1,533","4,259","2,813"
2021년04월_여_0~9세,920,200,19,6,28,116,154,61,193,143
2021년04월_여_10~19세,"1,332",351,33,20,34,151,189,94,308,152
2021년04월_여_20~29세,"1,355",307,44,17,42,165,163,92,295,230
2021년04월_여_30~39세,"1,370",304,24,22,38,140,205,82,289,266
2021년04월_여_40~49세,"2,370",508,68,34,61,272,360,168,520,379
2021년04월_여_50~59세,"3,643",727,155,88,164,446,523,302,742,496
2021년04월_여_60~69세,"4,328",840,192,106,212,571,604,349,897,557
2021년04월_여_70~79세,"2,640",472,135,80,119,379,302,194,587,372
2021년04월_여_80~89세,"1,781",369,91,44,75,266,209,171,361,195
2021년04월_여_90~99세,297,71,24,9,21,46,20,20,65,21
2021년04월_여_100세 이상,13,4,1,0,0,1,3,0,2,2
