,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년01월_계_총인구수,"657,661","339,406","7,576","4,227","12,523","4,925","6,412","8,772","14,675","19,614","41,400","12,898","46,385","11,689","13,498","22,320","11,058","10,290","14,838","39,760","36,546","318,255","14,360","18,534","11,422","32,315","20,267","7,661","9,959","7,709","9,727","14,565","20,577","61,576","26,710","12,578","30,600","19,695",0
2021년01월_계_연령구간인구수,"657,661","339,406","7,576","4,227","12,523","4,925","6,412","8,772","14,675","19,614","41,400","12,898","46,385","11,689","13,498","22,320","11,058","10,290","14,838","39,760","36,546","318,255","14,360","18,534","11,422","32,315","20,267","7,661","9,959","7,709","9,727","14,565","20,577","61,576","26,710","12,578","30,600","19,695",0
2021년01월_계_0~9세,"53,808","24,573",320,95,622,177,300,345,940,"1,410","3,328",579,"4,023",677,666,"1,548",622,530,977,"4,449","2,965","29,235",633,"1,460",554,"2,657","2,020",207,424,301,648,837,"1,522","8,067","2,119",854,"3,794","3,138",0
2021년01월_계_10~19세,"71,627","36,056",450,183,803,352,447,656,"1,308","2,655","5,035",845,"5,403","1,105","1,238","2,503",942,904,"1,537","5,034","4,656","35,571","1,102","2,360",745,"4,142","1,597",323,659,505,788,"1,267","2,554","8,720","3,151","1,003","3,089","3,566",0
2021년01월_계_20~29세,"92,972","49,474",922,387,"1,444",526,678,"1,020","2,330","3,199","6,429","1,376","5,915","1,686","2,027","3,119","1,419","1,481","2,091","6,251","7,174","43,498","1,695","2,339","1,568","4,710","3,297","2,268","1,551",841,"1,308","2,040","2,772","7,885","3,995","1,587","3,809","1,833",0
2021년01월_계_30~39세,"81,874","39,883",761,377,"1,325",440,566,777,"1,674","2,347","5,176","1,321","5,312","1,195","1,297","2,186","1,113","1,058","1,650","5,360","5,948","41,991","1,309","1,909","1,316","4,048","3,425",931,"1,016",753,"1,275","1,955","2,011","9,338","2,981","1,736","5,264","2,724",0
2021년01월_계_40~49세,"106,862","53,230",908,531,"1,684",657,789,"1,180","1,927","3,479","7,052","1,722","7,578","1,623","1,737","3,487","1,528","1,414","2,117","6,964","6,853","53,632","1,827","3,131","1,471","6,108","3,049",859,"1,272","1,118","1,430","2,447","3,170","11,905","4,162","1,868","5,155","4,660",0
2021년01월_계_50~59세,"106,210","57,136","1,283",675,"1,996",812,"1,060","1,536","2,536","3,242","7,062","2,304","7,723","2,239","2,627","4,297","1,816","1,806","2,520","6,090","5,512","49,074","2,340","2,846","1,864","5,161","2,735","1,086","1,597","1,454","1,646","2,606","3,607","8,510","4,688","2,159","4,493","2,282",0
2021년01월_계_60~69세,"77,369","42,655","1,420",886,"2,184",856,"1,281","1,634","2,175","1,939","4,003","2,280","5,952","1,765","2,290","2,851","1,821","1,668","2,125","3,489","2,036","34,714","2,350","2,253","1,899","2,851","2,146",970,"1,616","1,386","1,471","1,883","2,829","4,332","3,131","1,770","2,874",953,0
2021년01월_계_70~79세,"44,310","24,049",985,711,"1,576",703,833,"1,109","1,174",880,"2,176","1,608","2,983",928,"1,139","1,458","1,226","1,021","1,185","1,423",931,"20,261","1,972","1,557","1,374","1,774","1,328",669,"1,283",936,770,979,"1,352","1,873","1,648",978,"1,417",351,0
