,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년04월_계_총인구수,"470,096","48,326","13,253","10,500","29,950","9,012","13,303","11,283","3,866","7,502",0,553,0,164,0,"22,176","33,064","27,470","42,622","49,340","63,002","84,710"
2021년04월_계_연령구간인구수,"470,096","48,326","13,253","10,500","29,950","9,012","13,303","11,283","3,866","7,502",0,553,0,164,0,"22,176","33,064","27,470","42,622","49,340","63,002","84,710"
2021년04월_계_0~9세,"43,744","4,777",617,328,"1,716",185,628,457,90,568,0,18,0,5,0,"1,092","3,216","2,252","3,849","5,265","8,834","9,847"
2021년04월_계_10~19세,"49,431","4,765",814,695,"2,731",277,997,628,186,514,0,31,0,14,0,"1,498","4,248","2,743","5,518","6,169","7,609","9,994"
2021년04월_계_20~29세,"57,651","5,747","1,511","1,294","3,701","1,926","1,483","1,228",421,957,0,53,0,3,0,"3,450","4,228","3,842","5,003","6,026","6,620","10,158"
2021년04월_계_30~39세,"67,016","7,553","1,336",869,"2,922","2,163","1,456","1,004",240,855,0,48,0,10,0,"2,793","4,364","3,593","5,310","7,270","11,586","13,644"
2021년04월_계_40~49세,"81,282","7,538","1,700","1,158","4,475",999,"2,102","1,297",344,809,0,70,0,17,0,"3,245","5,992","4,308","8,306","9,467","12,521","16,934"
2021년04월_계_50~59세,"74,234","6,994","2,545","2,100","5,925","1,327","2,591","2,282",766,"1,184",0,106,0,30,0,"4,173","5,308","4,769","7,021","7,417","7,692","12,004"
2021년04월_계_60~69세,"51,267","5,424","2,341","2,047","4,600","1,165","2,082","2,284",806,"1,261",0,97,0,30,0,"3,194","2,957","3,242","4,138","4,422","4,405","6,772"
2021년04월_계_70~79세,"28,724","3,455","1,400","1,256","2,462",577,"1,169","1,242",589,890,0,85,0,33,0,"1,771","1,757","1,716","2,181","2,162","2,450","3,529"
2021년04월_계_80~89세,"14,590","1,832",851,655,"1,245",340,678,710,352,388,0,42,0,19,0,839,874,886,"1,124",995,"1,123","1,637"
2021년04월_계_90~99세,"2,081",231,130,98,162,53,110,148,69,74,0,3,0,3,0,118,116,117,167,141,157,184
2021년04월_계_100세 이상,76,10,8,0,11,0,7,3,3,2,0,0,0,0,0,3,4,2,5,6,5,7
2021년04월_남_총인구수,"238,389","24,747","7,068","5,612","15,231","5,782","7,232","6,160","2,035","4,062",0,281,0,90,0,"11,782","16,154","14,086","21,625","24,177","30,763","41,502"
2021년04월_남_연령구간인구수,"238,389","24,747","7,068","5,612","15,231","5,782","7,232","6,160","2,035","4,062",0,281,0,90,0,"11,782","16,154","14,086","21,625","24,177","30,763","41,502"
2021년04월_남_0~9세,"22,333","2,411",330,180,861,89,339,236,51,290,0,8,0,2,0,558,"1,642","1,117","1,959","2,683","4,511","5,066"
2021년04월_남_10~19세,"25,402","2,457",424,372,"1,368",156,515,345,97,298,0,13,0,5,0,793,"2,188","1,449","2,888","3,069","3,850","5,115"
2021년04월_남_20~29세,"30,626","3,177",914,810,"2,008","1,180",878,760,280,613,0,27,0,3,0,"1,949","2,125","2,113","2,702","2,931","3,158","4,998"
