,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년12월_계_총인구수,"191,948","30,653","37,266","23,258","16,260","21,817","15,617","25,158","21,919"
2021년12월_계_연령구간인구수,"191,948","30,653","37,266","23,258","16,260","21,817","15,617","25,158","21,919"
2021년12월_계_0~9세,"13,946","4,267","2,487","1,623",680,"1,469",749,"1,232","1,439"
2021년12월_계_10~19세,"17,311","2,410","3,738","2,302","1,039","2,578","1,076","1,978","2,190"
2021년12월_계_20~29세,"25,915","3,087","5,367","3,334","2,146","2,969","2,318","3,632","3,062"
2021년12월_계_30~39세,"25,118","5,299","4,519","2,993","2,046","2,438","2,000","3,060","2,763"
2021년12월_계_40~49세,"31,306","6,064","5,890","3,829","2,403","3,644","2,202","3,505","3,769"
2021년12월_계_50~59세,"34,889","4,117","7,239","4,262","3,194","3,938","3,108","4,968","4,063"
2021년12월_계_60~69세,"26,034","3,465","4,723","2,872","2,751","2,899","2,559","4,099","2,666"
2021년12월_계_70~79세,"11,548","1,455","2,080","1,356","1,296","1,233","1,090","1,768","1,270"
2021년12월_계_80~89세,"5,201",422,"1,067",622,623,576,456,819,616
2021년12월_계_90~99세,662,65,155,64,79,69,58,94,78
2021년12월_계_100세 이상,18,2,1,1,3,4,1,3,3
2021년12월_남_총인구수,"95,172","15,161","18,332","11,358","8,350","10,585","7,810","12,514","11,062"
2021년12월_남_연령구간인구수,"95,172","15,161","18,332","11,358","8,350","10,585","7,810","12,514","11,062"
2021년12월_남_0~9세,"7,204","2,208","1,296",825,353,745,407,622,748
2021년12월_남_10~19세,"8,872","1,185","1,981","1,181",498,"1,291",569,"1,037","1,130"
2021년12월_남_20~29세,"13,320","1,552","2,758","1,671","1,139","1,542","1,142","1,898","1,618"
2021년12월_남_30~39세,"12,660","2,473","2,300","1,499","1,118","1,199","1,104","1,562","1,405"
2021년12월_남_40~49세,"15,668","3,240","2,799","1,821","1,311","1,685","1,120","1,834","1,858"
2021년12월_남_50~59세,"17,142","1,978","3,445","2,104","1,645","1,886","1,513","2,464","2,107"
2021년12월_남_60~69세,"12,952","1,649","2,389","1,387","1,418","1,410","1,301","2,025","1,373"
2021년12월_남_70~79세,"5,217",715,908,612,611,574,481,752,564
2021년12월_남_80~89세,"1,955",145,410,235,235,233,157,302,238
2021년12월_남_90~99세,177,16,46,22,22,19,15,17,20
2021년12월_남_100세 이상,5,0,0,1,0,1,1,1,1
2021년12월_여_총인구수,"96,776","15,492","18,934","11,900","7,910","11,232","7,807","12,644","10,857"
2021년12월_여_연령구간인구수,"96,776","15,492","18,934","11,900","7,910","11,232","7,807","12,644","10,857"
2021년12월_여_0~9세,"6,742","2,059","1,191",798,327,724,342,610,691
2021년12월_여_10~19세,"8,439","1,225","1,757","1,121",541,"1,287",507,941,"1,060"
2021년12월_여_20~29세,"12,595","1,535","2,609","1,663","1,007","1,427","1,176","1,734","1,444"
2021년12월_여_30~39세,"12,458","2,826","2,219","1,494",928,"1,239",896,"1,498","1,358"
2021년12월_여_40~49세,"15,638","2,824","3,091","2,008","1,092","1,959","1,082","1,671","1,911"
2021년12월_여_50~59세,"17,747","2,139","3,794","2,158","1,549","2,052","1,595","2,504","1,956"
2021년12월_여_60~69세,"13,082","1,816","2,334","1,485","1,333","1,489","1,258","2,074","1,293"
2021년12월_여_70~79세,"6,331",740,"1,172",744,685,659,609,"1,016",706
2021년12월_여_80~89세,"3,246",277,657,387,388,343,299,517,378
2021년12월_여_90~99세,485,49,109,42,57,50,43,77,58
2021년12월_여_100세 이상,13,2,1,0,3,3,0,2,2
