카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년08월_계_총인구수,"30,429","9,861","2,108","2,230","3,566","1,509","1,900","2,281","2,718","2,179","2,077"
2021년08월_계_연령구간인구수,"30,429","9,861","2,108","2,230","3,566","1,509","1,900","2,281","2,718","2,179","2,077"
2021년08월_계_0~9세,"1,188",614,48,69,135,37,45,71,73,50,46
2021년08월_계_10~19세,"1,977",951,86,83,265,86,99,102,104,106,95
2021년08월_계_20~29세,"2,502","1,196",137,150,324,83,106,124,167,113,102
2021년08월_계_30~39세,"1,948",874,96,102,255,63,100,95,130,116,117
2021년08월_계_40~49세,"2,993","1,228",162,210,390,119,162,191,198,173,160
2021년08월_계_50~59세,"5,057","1,640",343,414,599,302,291,350,457,309,352
2021년08월_계_60~69세,"6,465","1,621",498,543,717,347,463,549,640,553,534
2021년08월_계_70~79세,"4,464","1,003",365,343,496,235,339,447,477,401,358
2021년08월_계_80~89세,"3,358",628,330,278,340,206,256,315,423,306,276
2021년08월_계_90~99세,468,104,43,37,45,30,38,36,49,51,35
2021년08월_계_100세 이상,9,2,0,1,0,1,1,1,0,1,2
2021년08월_남_총인구수,"15,475","4,978","1,057","1,170","1,874",796,981,"1,150","1,356","1,096","1,017"
2021년08월_남_연령구간인구수,"15,475","4,978","1,057","1,170","1,874",796,981,"1,150","1,356","1,096","1,017"
2021년08월_남_0~9세,614,319,26,38,69,24,19,34,38,27,20
2021년08월_남_10~19세,"1,037",479,53,43,147,52,51,47,62,50,53
2021년08월_남_20~29세,"1,476",687,83,89,208,52,67,62,95,71,62
2021년08월_남_30~39세,"1,100",451,56,63,155,36,62,59,80,71,67
2021년08월_남_40~49세,"1,755",655,92,134,223,72,110,132,122,113,102
2021년08월_남_50~59세,"2,780",870,184,236,326,179,175,205,258,161,186
2021년08월_남_60~69세,"3,323",785,267,289,379,190,242,279,338,281,273
2021년08월_남_70~79세,"2,064",485,167,171,224,107,157,197,208,193,155
2021년08월_남_80~89세,"1,200",220,119,99,123,76,87,125,145,113,93
2021년08월_남_90~99세,123,26,10,8,20,7,10,10,10,16,6
2021년08월_남_100세 이상,3,1,0,0,0,1,1,0,0,0,0
2021년08월_여_총인구수,"14,954","4,883","1,051","1,060","1,692",713,919,"1,131","1,362","1,083","1,060"
2021년08월_여_연령구간인구수,"14,954","4,883","1,051","1,060","1,692",713,919,"1,131","1,362","1,083","1,060"
2021년08월_여_0~9세,574,295,22,31,66,13,26,37,35,23,26
2021년08월_여_10~19세,940,472,33,40,118,34,48,55,42,56,42
2021년08월_여_20~29세,"1,026",509,54,61,116,31,39,62,72,42,40
2021년08월_여_30~39세,848,423,40,39,100,27,38,36,50,45,50
2021년08월_여_40~49세,"1,238",573,70,76,167,47,52,59,76,60,58
2021년08월_여_50~59세,"2,277",770,159,178,273,123,116,145,199,148,166
2021년08월_여_60~69세,"3,142",836,231,254,338,157,221,270,302,272,261
2021년08월_여_70~79세,"2,400",518,198,172,272,128,182,250,269,208,203
2021년08월_여_80~89세,"2,158",408,211,179,217,130,169,190,278,193,183
2021년08월_여_90~99세,345,78,33,29,25,23,28,26,39,35,29
2021년08월_여_100세 이상,6,1,0,1,0,0,0,1,0,1,2
