카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년12월_계_총인구수,"296,576","4,015","4,765","11,071","5,125","8,639","10,770","30,602","25,076","24,062","15,838","20,945","10,317","15,833","5,944","20,570","29,122","37,513","16,369"
2020년12월_계_연령구간인구수,"296,576","4,015","4,765","11,071","5,125","8,639","10,770","30,602","25,076","24,062","15,838","20,945","10,317","15,833","5,944","20,570","29,122","37,513","16,369"
2020년12월_계_0~9세,"21,775",99,391,583,179,578,880,"2,196","1,680","1,205",879,"2,397",567,"1,079",392,"1,285","2,681","3,079","1,625"
2020년12월_계_10~19세,"31,567",152,361,665,274,629,"1,300","3,116","2,488","1,734","1,109","2,379","1,046","1,628",417,"2,116","4,421","5,275","2,457"
2020년12월_계_20~29세,"45,348",427,504,"1,689",875,"1,118","1,673","5,474","4,717","4,372","3,066","2,468","1,577","2,177",730,"3,050","4,052","5,480","1,899"
2020년12월_계_30~39세,"36,685",355,614,"1,544",617,"1,035","1,444","4,399","3,614","2,959","2,369","3,024","1,076","1,730",711,"2,064","3,166","4,216","1,748"
2020년12월_계_40~49세,"48,764",452,722,"1,534",684,"1,336","1,899","4,933","4,008","3,247","2,264","3,638","1,427","2,251",755,"3,001","5,739","7,459","3,415"
2020년12월_계_50~59세,"49,510",667,691,"1,745",889,"1,596","1,768","5,391","3,984","4,093","2,349","3,006","1,742","2,688","1,183","3,951","5,056","6,216","2,495"
2020년12월_계_60~69세,"34,356",773,779,"1,547",795,"1,243",938,"2,738","2,599","3,415","1,900","2,403","1,587","2,593",952,"2,957","2,298","3,169","1,670"
2020년12월_계_70~79세,"19,271",748,504,"1,198",548,740,542,"1,534","1,419","2,052","1,217","1,177",873,"1,151",490,"1,414","1,153","1,749",762
2020년12월_계_80~89세,"8,011",298,171,493,236,302,282,735,481,852,595,378,349,460,254,647,475,757,246
2020년12월_계_90~99세,"1,213",36,28,69,27,53,43,84,83,119,86,73,69,70,54,82,74,112,51
2020년12월_계_100세 이상,76,8,0,4,1,9,1,2,3,14,4,2,4,6,6,3,7,1,1
2020년12월_남_총인구수,"145,374","1,972","2,323","5,482","2,646","4,427","5,495","14,655","12,512","11,716","7,577","10,515","5,101","7,663","3,082","9,784","14,254","18,421","7,749"
