,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년04월_계_총인구수,"96,793","6,515","1,414","3,870","3,016","1,004","2,636","3,992","1,657","1,946","2,581","1,746",757,"1,978","2,774","1,222",331,"2,703","1,136",379,"2,134","2,050",830,"12,102","9,026","8,120","8,263","3,587","9,024"
2021년04월_계_연령구간인구수,"96,793","6,515","1,414","3,870","3,016","1,004","2,636","3,992","1,657","1,946","2,581","1,746",757,"1,978","2,774","1,222",331,"2,703","1,136",379,"2,134","2,050",830,"12,102","9,026","8,120","8,263","3,587","9,024"
2021년04월_계_0~9세,"5,090",276,41,103,86,29,86,95,55,51,96,59,23,62,144,26,5,86,20,9,32,58,30,878,709,583,562,160,726
2021년04월_계_10~19세,"7,503",533,60,165,156,34,96,226,66,80,149,66,39,98,146,63,10,149,44,19,94,86,33,"1,291",835,851,757,339,"1,018"
2021년04월_계_20~29세,"7,863",382,67,193,158,52,141,188,76,101,152,96,26,98,143,65,14,117,42,10,95,93,45,"1,267",965,751,846,295,"1,385"
2021년04월_계_30~39세,"7,285",442,74,211,120,37,149,199,81,95,130,90,45,105,175,66,9,139,30,9,96,68,36,"1,224","1,008",815,737,253,842
2021년04월_계_40~49세,"11,328",718,105,331,248,76,197,303,131,132,248,149,61,165,255,113,24,279,80,23,169,190,64,"1,768","1,364","1,181","1,147",476,"1,331"
2021년04월_계_50~59세,"16,576","1,060",237,631,500,202,427,629,285,376,502,332,147,381,517,257,67,477,163,72,298,303,164,"2,077","1,539","1,389","1,524",618,"1,402"
2021년04월_계_60~69세,"18,747","1,363",312,906,671,237,639,995,386,513,653,443,200,464,630,282,101,606,303,76,541,439,192,"1,878","1,459","1,247","1,312",654,"1,245"
2021년04월_계_70~79세,"12,483",946,295,662,552,150,464,751,298,326,383,276,111,344,410,186,53,451,251,71,414,417,141,"1,113",704,751,848,479,636
2021년04월_계_80~89세,"8,537",686,197,574,436,167,373,520,237,244,232,202,94,213,318,141,43,345,175,79,336,327,98,521,387,493,458,271,370
2021년04월_계_90~99세,"1,340",104,25,90,86,20,62,84,42,27,33,33,11,48,36,21,5,52,26,11,58,67,27,84,56,56,69,39,68
2021년04월_계_100세 이상,41,5,1,4,3,0,2,2,0,1,3,0,0,0,0,2,0,2,2,0,1,2,0,1,0,3,3,3,1
2021년04월_남_총인구수,"47,438","3,129",692,"1,892","1,465",493,"1,290","1,967",827,993,"1,294",886,366,994,"1,353",616,171,"1,279",524,199,"1,012",986,401,"5,924","4,501","3,876","4,008","1,746","4,554"
2021년04월_남_연령구간인구수,"47,438","3,129",692,"1,892","1,465",493,"1,290","1,967",827,993,"1,294",886,366,994,"1,353",616,171,"1,279",524,199,"1,012",986,401,"5,924","4,501","3,876","4,008","1,746","4,554"
2021년04월_남_0~9세,"2,634",152,27,52,45,15,47,44,25,21,51,27,13,31,81,17,2,36,8,2,13,36,15,449,348,295,302,93,387
2021년04월_남_10~19세,"3,935",242,28,102,80,14,65,134,41,48,76,34,21,54,68,29,5,77,26,13,44,39,16,722,454,426,372,181,524
2021년04월_남_20~29세,"4,571",220,40,126,94,34,96,120,45,60,99,68,15,51,83,30,10,69,21,7,65,54,18,713,537,417,473,178,828
2021년04월_남_30~39세,"3,914",251,44,123,77,21,83,114,40,59,64,55,21,62,93,43,5,78,16,6,63,41,13,656,522,440,376,133,415
2021년04월_남_40~49세,"6,002",385,75,218,148,44,129,197,91,72,149,89,38,104,142,62,15,156,49,13,107,108,39,846,680,598,531,261,656
2021년04월_남_50~59세,"8,784",565,145,358,270,121,234,338,173,207,260,191,72,215,264,146,41,264,91,49,159,180,96,"1,019",804,679,830,317,696
2021년04월_남_60~69세,"9,214",676,153,476,361,120,320,491,198,287,335,233,110,242,322,143,56,292,151,40,273,220,103,859,710,564,593,276,610
2021년04월_남_70~79세,"5,424",398,121,272,241,70,187,337,128,152,165,116,47,156,176,83,23,196,100,35,181,183,67,484,307,310,372,211,306
