,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년10월_계_총인구수,"104,924","5,400","1,292","7,169","5,271","3,092","2,838","3,936","4,344","8,462","3,429","5,058","1,756","2,790","15,645","20,445","8,069","5,928"
2020년10월_계_연령구간인구수,"104,924","5,400","1,292","7,169","5,271","3,092","2,838","3,936","4,344","8,462","3,429","5,058","1,756","2,790","15,645","20,445","8,069","5,928"
2020년10월_계_0~9세,"5,662",147,20,282,124,63,63,91,77,462,79,119,33,68,"1,310","1,983",387,354
2020년10월_계_10~19세,"7,894",254,47,437,248,98,126,213,154,530,134,271,59,150,"1,357","2,599",651,566
2020년10월_계_20~29세,"9,211",336,113,495,383,160,187,224,252,670,172,319,78,251,"1,922","2,193",808,648
2020년10월_계_30~39세,"8,958",322,71,497,331,152,160,188,252,672,164,253,70,197,"2,077","2,213",718,621
2020년10월_계_40~49세,"13,014",518,100,775,487,213,263,358,323,"1,010",312,391,125,312,"2,365","3,487","1,085",890
2020년10월_계_50~59세,"18,854",999,229,"1,331","1,047",542,567,741,907,"1,498",590,890,282,554,"2,754","3,341","1,461","1,121"
2020년10월_계_60~69세,"20,961","1,381",334,"1,608","1,313",933,707,"1,048","1,248","1,757",936,"1,285",498,601,"2,262","2,575","1,471","1,004"
2020년10월_계_70~79세,"12,573",913,216,"1,056",793,546,475,673,694,"1,152",631,849,340,428,"1,038","1,339",927,503
2020년10월_계_80~89세,"6,858",464,143,616,477,334,251,349,384,628,367,595,242,202,479,630,498,199
2020년10월_계_90~99세,894,65,19,65,67,51,36,50,50,77,40,83,29,21,78,82,62,19
2020년10월_계_100세 이상,45,1,0,7,1,0,3,1,3,6,4,3,0,6,3,3,1,3
2020년10월_남_총인구수,"51,422","2,657",642,"3,578","2,696","1,487","1,449","2,016","2,151","4,190","1,701","2,462",851,"1,359","7,703","9,876","3,752","2,852"
2020년10월_남_연령구간인구수,"51,422","2,657",642,"3,578","2,696","1,487","1,449","2,016","2,151","4,190","1,701","2,462",851,"1,359","7,703","9,876","3,752","2,852"
2020년10월_남_0~9세,"2,885",75,10,154,69,30,33,48,44,224,39,65,14,34,637,"1,040",205,164
2020년10월_남_10~19세,"4,157",131,25,234,134,54,72,110,81,280,71,148,29,82,707,"1,387",320,292
2020년10월_남_20~29세,"5,300",192,63,294,244,104,119,150,158,401,102,180,56,164,"1,072","1,235",415,351
2020년10월_남_30~39세,"4,742",192,44,286,200,89,91,111,145,359,103,144,39,100,"1,083","1,050",383,323
2020년10월_남_40~49세,"6,892",306,66,471,289,132,158,228,190,577,196,222,81,166,"1,199","1,649",525,437
2020년10월_남_50~59세,"9,548",512,128,701,571,267,305,396,462,763,314,499,129,285,"1,350","1,596",730,540
2020년10월_남_60~69세,"10,193",691,161,777,680,459,359,538,627,890,454,631,269,274,"1,073","1,164",675,471
2020년10월_남_70~79세,"5,439",397,97,460,337,253,226,326,329,496,297,373,153,184,414,545,338,214
2020년10월_남_80~89세,"2,089",148,45,190,160,89,81,103,108,182,117,185,77,64,147,192,145,56
2020년10월_남_90~99세,170,13,3,10,12,10,4,6,6,18,7,15,4,4,21,17,16,4
2020년10월_남_100세 이상,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020년10월_여_총인구수,"53,502","2,743",650,"3,591","2,575","1,605","1,389","1,920","2,193","4,272","1,728","2,596",905,"1,431","7,942","10,569","4,317","3,076"
2020년10월_여_연령구간인구수,"53,502","2,743",650,"3,591","2,575","1,605","1,389","1,920","2,193","4,272","1,728","2,596",905,"1,431","7,942","10,569","4,317","3,076"
2020년10월_여_0~9세,"2,777",72,10,128,55,33,30,43,33,238,40,54,19,34,673,943,182,190
2020년10월_여_10~19세,"3,737",123,22,203,114,44,54,103,73,250,63,123,30,68,650,"1,212",331,274
2020년10월_여_20~29세,"3,911",144,50,201,139,56,68,74,94,269,70,139,22,87,850,958,393,297
2020년10월_여_30~39세,"4,216",130,27,211,131,63,69,77,107,313,61,109,31,97,994,"1,163",335,298
2020년10월_여_40~49세,"6,122",212,34,304,198,81,105,130,133,433,116,169,44,146,"1,166","1,838",560,453
2020년10월_여_50~59세,"9,306",487,101,630,476,275,262,345,445,735,276,391,153,269,"1,404","1,745",731,581
2020년10월_여_60~69세,"10,768",690,173,831,633,474,348,510,621,867,482,654,229,327,"1,189","1,411",796,533
2020년10월_여_70~79세,"7,134",516,119,596,456,293,249,347,365,656,334,476,187,244,624,794,589,289
2020년10월_여_80~89세,"4,769",316,98,426,317,245,170,246,276,446,250,410,165,138,332,438,353,143
2020년10월_여_90~99세,724,52,16,55,55,41,32,44,44,59,33,68,25,17,57,65,46,15
2020년10월_여_100세 이상,38,1,0,6,1,0,2,1,2,6,3,3,0,4,3,2,1,3
